R del Campo;EAS Perez;;;;;
S Romaguera;EAS Perez;O Valero;;;;
F Torrens;ES Perez;JS Marin;;;;
E Erdogan;EAS Perez;;;;;
A Ferrer Sapena;E Erdogan;E Jimenez Fernandez;EAS Perez;;;
A Ferrer Sapena;S Diaz Novillo;EAS Perez;;;;
D Pellegrino;P Rueda;EAS Perez;;;;
EAS Perez;;;;;;
JM Calabuig;J Rodriguez;EAS Perez;;;;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;;
JM Calabuig;F Galaz Fontes;E Jimenez Fernandez;EAS Perez;;;
E Fuster Garcia;V Romero Garcia;JVS Perez;LM Garcia Raffi;;;
R Arnau;N Jonard Perez;EAS Perez;;;;
E Erdogan;E Jimenez Fernandez;;;;;
A Manzano;P Rueda;EAS Perez;;;;
A Ferrer Sapena;EAS Perez;;;;;
JM Calabuig;J Rodriguez;EAS Perez;;;;
JM Calabuig;M Fernandez Unzueta;F Galaz Fontes;EAS Perez;;;
EAS Perez;;;;;;
JM Calabuig Rodriguez;J Rodriguez Ruiz;EAS Perez;;;;
S Ramirez;R Aguilar;R Herrera;V Vallejo;E Perez;L Giral;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;
L Rivero;R Samino;E Perez;;;;
JA Lopez Molina;EAS Perez;;;;;
EAS Perez;;;;;;
F Torrens;J Sanchez Marin;EAS Perez;;;;
F Torrens;J Sanchez Marin;EAS Perez;;;;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;;
E Erdogan;EAS Perez;;;;;
JM Calabuig;E Jimenez Fernandez;EAS Perez;S Manzanares;;;
WV Cavalcante;P Rueda;EAS Perez;;;;
JM Calabuig;M Fernandez Unzueta;F Galaz Fontes;EAS Perez;;;
E Erdogan;EAS Perez;;;;;
EAS Perez;P Tradacete;;;;;
JM Calabuig;OG Bravo;MA Juan;EAS Perez;;;
M Mastylo;EAS Perez;;;;;
JM Calabuig;EJ Fernandez;MA Juan;EAS Perez;;;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;;
X Garcia Masso;P Serra Ano;LM Garcia Raffi;EAS Perez;;;
EJ Fernandez;EAS Perez;;;;;
EAS Perez;D Werner;;;;;
EAS Perez;D Werner;;;;;
LM Garcia Raffi;;;;;;
S Romaguera;EAS Perez;O Valero;;;;
JAL Molina;EAS Perez;;;;;
M Mastylo;EAS Perez;;;;;
S Okada;J Rodriguez;EAS Perez;;;;
R del Campo;A Fernandez;F Mayoral;F Naranjo;EAS Perez;;
R Del Campo;A Fernandez;F Mayoral;F Naranjo;EAS Perez;;
J Rodriguez;EAS Perez;;;;;
M Mastylo;EAS Perez;;;;;
N Jonard Perez;EAS Perez;;;;;
A Ferrer Sapena;R Aleixandre Benavent;F Peset;EAS Perez;;;
JM Calabuig;E Jimenez Fernandez;MA Juan;EAS Perez;;;
EAS Perez;P Tradacete;;;;;
L Agud;JM Calabuig;EAS Perez;;;;
R Del Campo;A Fernandez;F Mayoral;F Naranjo;EAS Perez;;
LM Garcia Raffi;EAS Perez;;;;;
AR Arnau Notari;JM Calabuig;C Catalan;LM Garcia Raffi;JM Pardo Gila;;
P Lara Navarra;EAS Perez;A Ferrer Sapena;A Fito Bertran;;;
JM Calabuig;H Falciani;AF Sapena;LM Garcia Raffi;EAS Perez;;
JM Calabuig;EAS Perez;;;;;
X Blasco;G Reynoso Meza;EAS Perez;EAS Perez;;;
E Jimenez Fernandez;J Rodriguez Lopez;EAS Perez;;;;
L Agud;JM Calabuig;EAS Perez;;;;
A Defant;M Mastylo;EAS Perez;I Steinwart;;;
EAS Perez;R Szwedek;;;;;
JM Calabuig;MF Unzueta;F Galaz Fontes;EAS Perez;;;
D Achour;E Dahia;P Rueda;EAS Perez;R Yahi;;
JM Calabuig;H Falciani;A Ferrer Sapena;LM Garcia Raffi;E Raso;;
O Delgado;EAS Perez;;;;;
L Agud;JM Calabuig;S Lajara;EAS Perez;;;
M Mastylo;P Rueda;EAS Perez;;;;
JM Calabuig;A Ferrer Sapena;EAS Perez;;;;
E Jimenez Fernandez;MA Juan;EAS Perez;;;;
E Jimenez Fernandez;EAS Perez;;;;;
JF Capdevila;JM Ruiz;JL Salinas;EAS Perez;;;
A Fernandez;F Mayoral;F Naranjo;EAS Perez;;;
IF Palomares;EAS Perez;;;;;
LM Garcia Raffi;EAS Perez;MS Novales;;;;
S Oltra;EAS Perez;;;;;
EAS Perez;O Valero;S Pueblas;EAS Perez;LM Garcia Raffi;;
S Pueblas;LM Garcia Raffi;EAS Perez;EAS Perez;;;
JVS Perez;EAS Perez;LM Garcia Raffi;;;;
EAS Perez;;;;;;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;;
