LM Garcia Raffi;S Romaguera;EAS Perez;O Valero;;;;
MS Escarti-Guillem;LM Garcia Raffi;S Hoyas;;;;;
A Cebrecos;N Jimenez;V Romero-Garcia;R Pico;VJ Sanchez-Morcillo;;;
JV Sanchez-Perez;CR Michavila;LM Garcia Raffi;V Romero-Garcia;;;;
JV Gomez Urgelles;L Garcia Rafi;L Sierra Galdon;J Blanco;;;;
LM Garcia Raffi;D Ginestar;EAS Perez;;;;;
EAS Perez;JVS Perez;F de Campo;LM Garcia Raffi;;;;
S Kuznetsova;JP Groby;LM Garcia Raffi;V Romero-Garcia;;;;
EM Hamham;N Jimenez;R Pico;VJ Sanchez-Morcillo;LM Garcia Raffi;;;
LM Garcia Raffi;;;;;;;
LM Garcia Raffi;EAS Perez;;;;;;
A Gadea;B Rubio;JL Tain;J Rico;J Bea;LM Garcia Raffi;P Kleinheinz;
JJ Aguilar-Fuertes;F Noguero-Rodriguez;JC Jaen Ruiz;LM Garcia Raffi;;;;
A Mehrem;LJ Salmeron-Contreras;N Jimenez;VJ Sanchez-Morcillo;;;;
LM Garcia Raffi;B Jefferies;;;;;;
V Romero-Garcia;E Ruster-Garcia;JV Sanchez-Perez;LM Garcia Raffi;;;;
E Fuster-Garcia;LM Garcia Raffi;V Romero-Garcia;;;;;
V Romero-Garcia;JV Sanchez-Perez;LM Garcia Raffi;JM Herrero;;;;
FN Ramirez;MS Escarti-Guillem;LM Garcia Raffi;S Hoyas;;;;
LJ Rodriguez-Muniz;R Crespo;I Diaz;M Fioravanti;LM Garcia Raffi;;;
I Herrero Dura;A Cebrecos Ruiz;LM Garcia Raffi;V Romero-Garcia;;;;
JM Calabuig;I Ferrando Palomares;C Gallart-Palau;LM Garcia Raffi;;;;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;;;
J Gustincic;LM Garcia Raffi;;;;;;
V Romero-Garcia;S Castineira-Ibanez;JV Sanchez-Perez;;;;;
V Romero-Garcia;E Fuster-Garcia;JV Sanchez-Perez;LM Garcia Raffi;;;;
V Romero-Garcia;E Fuster-Garcia;LM Garcia Raffi;JV Sanchez-Perez;;;;
E Fuster-Garcia;V Romero-Garcia;JVS Perez;LM Garcia Raffi;;;;
R Carrasco;PF de Cordoba;LM Garcia Raffi;J Sanchis;;;;
M Lazaro;A Niemczynowicz;A Siemaszko;LM Garcia Raffi;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;;
R Boutami;MJG Borge;H Mach;W Kurcewicz;LM Fraile;K Gulda;AJ Aas;
V Romero-Garci  a;E Fuster-Garcia;LM Garci  a-Raffi;;;;;
JV SANCHEZ-PEREZ;EAS Perez;LM Garcia Raffi;;;;;
J Rico;B Rubio;JL Tain;A Gadea;J Bea;LM Garcia Raffi;O Tengblad;
I Ferrando;L Albarracin;C Gallart;LM Garcia Raffi;N Gorgorio;;;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;;;
X Garcia-Masso;P Serra-Ano;LM Garcia Raffi;EAS Perez;;;;
JFR Archilla;YA Kosevich;N Jimenez;VJ Sanchez-Morcillo;;;;
JV Sanchez-Perez;S Castineira;V Romero-Garcia;LM Garcia Raffi;;;;
MS Escarti-Guillem;P Barriuso Feijoo;A Cebrecos;M Chimeno Manguan;;;;
R Pico;I Herrero-Dura;V Sanchez Morcillo;L Salmeron-Contreras;;;;
V Romero-Garcia;E Fuster-Garcia;JV Sanchez-Perez;LM Garcia Raffi;;;;
LM Garcia Raffi;V Romero-Garcia;J Sanchez-Perez;S Castineira-Ibanez;;;;
R Boutami;MJG Borge;H Mach;LM Fraile;K Gulda;AJ Aas;;
LM Garcia Raffi;EAS Perez;;;;;;
LM Garcia Raffi;B Rubio;JL Tain;J Bea;A Gadea;J Rico;P Kleinheinz;
R Arnau;JM Calabuig;C Catalan;LM Garcia Raffi;JM Pardo Gila;;;
F Alcantara-Avila;LM Garcia Raffi;S Hoyas;M Oberlack;;;;
JM Calabuig;H Falciani;A Ferrer Sapena;LM Garcia Raffi;EAS Perez;;;
MS Escarti-Guillem;LM Garcia Raffi;S Hoyas;O Gloth;;;;
M Lazaro;LM Garcia Raffi;;;;;;
M Lazaro;LM Garcia Raffi;;;;;;
JM Calabuig;H Falciani;A Ferrer Sapena;LM Garcia Raffi;E Raso;;;
CG Palau;I Ferrando;LM Garcia Raffi;;;;;
I Herrero-Dura;R Pico;V Sanchez Morcillo;LM Garcia Raffi;;;;
CG Palau;IF Palomares;LM Garcia Raffi;;;;;
