H Herrero;S Hoyas;A Donoso;AM Mancho;JM Chacon;RF Portugues;B Yeste;;;;;;;;
S Hoyas;A Gil;P Fajardo;D Khuong Anh;F Ravet;;;;;;;;;;
M Prieto;MS Escarti Guillem;S Hoyas;;;;;;;;;;;;
F Alcantara Avila;S Gandia Barbera;S Hoyas;;;;;;;;;;;;
MZ Yousif;L Yu;S Hoyas;R Vinuesa;HC Lim;;;;;;;;;;
E Lazpita;A Sanchez;A Corrochano;S Hoyas;S Le Clainche;R Vinuesa;;;;;;;;;
Navarro MC;H Herrero;S Hoyas;;;;;;;;;;;;
S Hoyas;M Oberlack;R Vinuesa;PF de Cordoba;JM Isidro;MJ Perez Quiles;;;;;;;;;
F Alcantara Avila;S Hoyas;;;;;;;;;;;;;
F Lluesma;S Hoyas;;;;;;;;;;;;;
S Hoyas;M Oberlack;;;;;;;;;;;;;
S Hoyas;SV Kraheberger;M Oberlack;;;;;;;;;;;;
S Hoyas;P Fajardo;A Gil;MJ Perez Quiles;;;;;;;;;;;
S Hoyas;H Herrero;AM Mancho;;;;;;;;;;;;
J Jimenez;S Hoyas;MP Simens;Y Mizuno;;;;;;;;;;;
S Kraheberger;S Hoyas;M Oberlack;;;;;;;;;;;;
A Sanchez Roncero;O Garibo i Orts;JA Conejero;H Eivazi;E Rosenberg;F Fuso Nerini;J Garcia Martinez;S Hoyas;R Vinuesa;;;;;;
F Alcantara Avila;S Hoyas;MJ Perez Quiles;;;;;;;;;;;;
S Hoyas;A Gil;X Margot;D Khuong Anh;F Ravet;;;;;;;;;;
S Hoyas;H Herrero;AM Mancho;;;;;;;;;;;;
S Hoyas;M Oberlack;F Alcantara Avila;SV Kraheberger;J Laux;;;;;;;;;;
F Alcantara Avila;LM Garcia Raffi;S Hoyas;M Oberlack;;;;;;;;;;;
S Hoyas;J Jimenez;;;;;;;;;;;;;
AM Mancho;L Vazquez;H Herrero;S Hoyas;;;;;;;;;;;
S Gandia Barbera;F Alcantara Avila;S Hoyas;V Avsarkisov;;;;;;;;;;;
O Sanchez;H Herrero;S Hoyas;AE Mucientes;;;;;;;;;;;
F Lluesma;S Hoyas;MJ Perez Quiles;;;;;;;;;;;;
AJ Torregrosa;S Hoyas;A Gil;JPG Galache;;;;;;;;;;;
F Lluesma;T Gonzalez;S Hoyas;;;;;;;;;;;;
H Nagib;V Baxerres;R Vinuesa;S Hoyas;;;;;;;;;;;
P Torres;B Sirmacek;S Hoyas;R Vinuesa;;;;;;;;;;;
J Jimenez;S Hoyas;;;;;;;;;;;;;
AJ Torregrosa;S Hoyas;MJ Perez Quiles;JM Mompo Laborda;;;;;;;;;;;
J Amo Navarro;R Vinuesa;JA Conejero;S Hoyas;;;;;;;;;;;
V Avsarkisov;M Oberlack;S Hoyas;;;;;;;;;;;;
