JM Montanana;A Hervas;S Morillas;;;
JM Montanana;A Hervas;S Morillas;J Pellicer;;
JM Montanana;A Hervas;S Morillas;A Mendez;;
C Perez Benito;JA Conejero;C Jordan;S Morillas;;
C Perez Benito;S Morillas;C Jordan;JA Conejero;;
J Oliver;A Albiol;S Morillas;G Peris Fajarnes;;
S Grecova;S Morillas;A Sostak;;;
S Morillas;A Sapena;;;;
S Morillas;A Sapena;;;;
S Morillas;V Gregori;A Sapena;N Ortigosa;;
DC Toledo;S Morillas;T Magal;G Peris Fajarnes;;
