A Geslain;JP Groby;V Romero Garcia;F Cervera;J Sanchez Dehesa;;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
T Cavalieri;J Boulvert;L Schwan;G Gabard;V Romero Garcia;JP Groby;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
MJ Rivera;JAL Molina;M Trujillo;V Romero Garcia;EJ Berjano;;;
V Romero Garcia;E Cheron;S Kuznetsova;JP Groby;S Felix;V Pagneux;;
M Mallejac;A Merkel;J Sanchez Dehesa;J Christensen;V Tournat;;;
V Romero Garcia;;;;;;;
J Boulvert;G Gabard;V Romero Garcia;JP Groby;;;;
A Cebrecos;D Krattiger;VJ Sanchez Morcillo;V Romero Garcia;;;;
N Jimenez;V Romero Garcia;R Pico;LM Garcia Raffi;K Staliunas;;;
M Botey;YC Cheng;V Romero Garcia;R Pico;R Herrero;;;
V Romero Garcia;;;;;;;
E Cheron;S Felix;JP Groby;V Pagneux;V Romero Garcia;;;
Y Meng;V Romero Garcia;G Gabard;JP Groby;C Bricault;S Goude;;
SM Kuznetsova;JP Groby;LM Garcia Raffi;V Romero Garcia;;;;
M Mallejac;A Merkel;V Tournat;JP Groby;V Romero Garcia;;;
D Rusirawan;I Farkas;;;;;;
A Cebrecos;R Pico;V Romero Garcia;AM Yasser;L Maigyte;R Herrero;;
V Romero Garcia;R Pico;A Cebrecos;K Staliunas;VJ Sanchez Morcillo;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;;
Y Meng;V Romero Garcia;G Gabard;JP Groby;C Bricault;S Goude;;
G Raybaud;M Ouisse;J Leng;A Pelat;JP Groby;V Romero Garcia;;
A Cebrecos;N Jimenez;V Romero Garcia;R Pico;VJ Sanchez Morcillo;;;
JV Sanchez Perez;CR Michavila;LM Garcia Raffi;V Romero Garcia;;;;
S Kuznetsova;JP Groby;LM Garcia Raffi;V Romero Garcia;;;;
E Ballestero;N Jimenez;JP Groby;H Aygun;S Dance;V Romero Garcia;;
M Mallejac;A Merkel;J Sanchez Dehesa;J Christensen;V Tournat;;;
JP Groby;N Jimenez;V Romero Garcia;;;;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
A Cebrecos;V Romero Garcia;JP Groby;;;;;
A Cebrecos;V Romero Garcia;R Pico;VJ Sanchez Morcillo;M Botey;;;
V Romero Garcia;E Ruster Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;
E Fuster Garcia;LM Garcia Raffi;V Romero Garcia;;;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;JM Herrero;;;;
E Cheron;JP Groby;V Pagneux;S Felix;V Romero Garcia;;;
I Herrero Dura;A Cebrecos Ruiz;LM Garcia Raffi;V Romero Garcia;;;;
V Romero Garcia;S Castineira Ibanez;JV Sanchez Perez;;;;;
V Romero Garcia;E Fuster Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;
V Romero Garcia;E Fuster Garcia;LM Garcia Raffi;JV Sanchez Perez;;;;
E Fuster Garcia;V Romero Garcia;JVS Perez;LM Garcia Raffi;;;;
N Aberkane Gauthier;V Romero Garcia;D Lecoq;M Moleron;;;;
C Casarini;V Romero Garcia;JP Groby;B Tiller;JFC Windmill;;;
N Jimenez;V Romero Garcia;V Pagneux;JP Groby;;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;;
V Romero Garci  a;E Fuster Garcia;LM Garci  a Raffi;;;;;
J Leng;V Romero Garcia;F Gautier;A Pelat;R Pico;JP Groby;;
M Mallejac;P Sheng;V Tournat;V Romero Garcia;JP Groby;;;
VR Garcia;AC Hladky Hennion;;;;;;
V Romero Garcia;N Jimenez;V Pagneux;JP Groby;;;;
A Merkel;G Theocharis;O Richoux;V Romero Garcia;V Pagneux;;;
JV Sanchez Perez;S Castineira;V Romero Garcia;LM Garcia Raffi;;;;
M Mallejac;T Cavalieri;V Romero Garcia;A Merkel;D Torrent;;;
MS Escarti Guillem;P Barriuso Feijoo;A Cebrecos;M Chimeno Manguan;;;;
J Leng;A Pelat;V Romero Garcia;R Pico;JP Groby;F Gautier;;
V Romero Garcia;E Fuster Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;
L Morin;M Nolan;T Cavalieri;M Gaborit;K Horoshenkov;;;
J Boulvert;T Humbert;V Romero Garcia;G Gabard;ER Fotsing;A Ross;;
J Boulvert;T Cavalieri;V Romero Garcia;G Gabard;JP Groby;;;
VR Garcia;;;;;;;
L De Ryck;J Cuenca;K Jambrosic;C Glorieux;M Rychtarikova;;;
N Jimenez;V Romero Garcia;V Pagneux;JP Groby;AO Messiaen;;;
W Huang;L Schwan;V Romero Garcia;JM Genevaux;JP Groby;;;
N Jimenez;TJ Cox;V Romero Garcia;JP Groby;;;;
V Romero Garcia;G Theocharis;O Richoux;A Merkel;V Tournat;;;
V Romero Garcia;JO Vasseur;LM Garcia Raffi;AC Hladky Hennion;;;;
M Lazaro;R Wiltshaw;RV Craster;V Romero Garcia;;;;
Y Meng;T Humbert;V Romero Garcia;JP Groby;G Gabard;;;
Y Meng;T Humbert;V Romero Garcia;JP Groby;G Gabard;;;
D Lecoq;NA Gauthier;C Lagarrigue;V Romero Garcia;C Pezerat;;;
T Cavalieri;V Romero Garcia;M Melon;JP Groby;JC Chamard;;;
N Jimenez;J Ealo;RD Muelas Hurtado;A Duclos;V Romero Garcia;;;
E Ballestero;B Hamilton;N Jimenez;V Romero Garcia;JP Groby;;;
J Plisson;A Pelat;F Gautier;V Romero Garcia;T Bourdon;;;
I Herrero Dura;R Pico;VJ Sanchez Morcillo;LM Garcia Raffi;;;;
JP Groby;N Jimenez;L Schwan;C Lagarrigue;W Huang;VR Garcia;;
V Romero Garcia;C Bricault;C Pezerat;M Collet;A Pyskir;P Perrard;;
LM Garcia Raffi;LJ Salmeron Contreras;I Herrero Dura;R Pico Vila;;;;
I Herrero Dura;R Pico Vila;VJ Sanchez Morcillo;LM Garcia Raffi;;;;
V Romero Garcia;R Pico;A Cebrecos;LM Garcia Raffi;;;;
SC Ibanez;CR Michavilla;JVS Perez;VR Garcia;LM Garcia Raffi;;;
LM Garcia Raffi;V Romero Garcia;JV Sanchez Perez;;;;;
Y Jin;D Torrent;B Djafari Rouhani;L He;Y Xiang;FZ Xuan;Z GU;H Xue
MC Manguan;FS Hidalgo;PB Feijoo;MS Escarti Guillem;P Nieto;;;
V Romero Garcia;N Jimenez;JP Groby;V Pagneux;;;;
M Lazaro;R Wiltshaw;RV Craster;V Romero Garcia;;;;
E Ballestero;Y Meng;P Sheng;V Tournat;V Romero Garcia;JP Groby;;
J Boulvert;T Cavalieri;JP Groby;A Ross;EF ROLAND;JN Mardjono;;
JC Chamard;M Melon;V Romero Garcia;JP Groby;T Cavalieri;;;
M Marechal;JP Groby;O Dazel;V Romero Garcia;;;;
J Boulvert;JP Groby;G Gabard;V Romero Garcia;;;;
