B Arnau;RR Jimenez Munguia;RA Martinez Avendano;;;;
JAC Casares;FM Gimenez;A Peris;FR Escriba;;;
O Baranova;A Peris Manguillot;;;;;
TDJ Bermudez De Leon;AL Bonilla Ramirez;V Muller;A Peris;;;
B Arnau;F Martinez Jimenez;A Peris Manguillot;FDA Rodenas Escriba;;;
R Aron;J Bonet;CG Collado;D Jornet;M Maestre;M Acosta;O Blasco
B Arnau;F Martinez Jimenez;A Peris Manguillot;;;;
EM Perez Garcia;A Peris Manguillot;;;;;
A Peris;;;;;;
P Oprocha;A Peris;;;;;
A Peris;M Maestre;YS Choi;A Domoshnitsky;R Shklyar;V Stolbov;
A Peris;;;;;;
A Peris;M Maestre;M Martin;YS Choi;;;
A Peris;;;;;;
R Abu Saris;F Allan;M Kulenovic;A Peris;;;
B Arnau;F Martinez Jimenez;A Peris Manguillot;;;;
A Peris;;;;;;
KG Grosse Erdmann;A Peris;;;;;
A Peris Manguillot;;;;;;
A Peris Manguillot;;;;;;
A Peris Manguillot;;;;;;
A Peris Manguillot;;;;;;
JB Solves;VC Rosello;AP Manguillot;FR Escriba;;;
A Gasull;S Kolyada;L Snoha;C Mira;A Peris;P Raith;JA Rodriguez
G Costakis;A Peris;;;;;
A Peris;;;;;;
KD Bierstedt;J Bonet;A Peris;;;;
A Peris;;;;;;
JA Conejero;A Peris;R Vicente Arevalo;;;;
A Peris;MJ Rivera;;;;;
S Bartoll;F Martinez Gimenez;A Peris;F Rodenas;;;
A Peris;;;;;;
F Clifford Gilmore;A Peris;;;;;
A Peris;;;;;;
A Peris;;;;;;
A Peris;MJ Rivera;;;;;
C Lizama;M Murillo Arcila;A Peris;;;;
A Peris;;;;;;
JA Conejero;A Peris;;;;;
A Peris;;;;;;
M Murillo;A Peris;;;;;
V Muller;A Peris;;;;;
