G Munoz-Gil;G Volpe;MA Garcia-March;E Aghion;A Argun;CB Hong
JA Conejero;A Velichko;O Garibo i Orts;Y Izotov;VT Pham;
Y Ahsini;P Diaz Masa;B Ingles;A Rubio;A Martinez;A Magraner
MEI Martinez;J Antonino Daviu;C Platero;L Dunai;JA Conejero;
ME Iglesias Martinez;P Fernandez de Cordoba;J Antonino Daviu;;;
C Rodero;JA Conejero;I Garcia Fernandez;;;
CC Chen;JA Conejero;M Kostic;M Murillo Arcila;;
JA Conejero;JB Seoane Sepulveda;P Sevilla Peris;;;
JA Marin Garcia;JP Garcia Sabater;J Morant Llorca;;;
JA Conejero;V Muller;;;;
J Bonet;J Conejero;;;;
S Asensio-Cuesta;A Sanchez-Garcia;T Soria Comes;I Maestu;;
JA Conejero;A Falco;M Mora-Jimenez;;;
L Goiriz;R Ruiz;O Garibo i Orts;JA Conejero;G Rodrigo;
FJ Perez Benito;JM Garcia Gomez;E Navarro Pardo;JA Conejero;;
D Alarcon;E Balvis;R Bendana;AJ Conejero;CP Fernandez;JLD Higon
JA Conejero;JP Garcia-Sabater;J Maheut;JA Marin-Garcia;;
JA Conejero;C Jordan;E Sanabria-Codesal;;;
E Vendrell;A Terrasa;JA Conejero;E Sanchis;;
A Akgul;JA Conejero;;;;
D Fuente;D Hervas;M Rebollo;JA Conejero;N Oliver;
JG Carmenate;MEI Martinez;J Antonino Daviu;C Platero;;
ME Iglesias Martinez;PM Velasco Pla;J Antonino Daviu;JG Carmenate;;
J Amo-Navarro;R Vinuesa;JA Conejero;S Hoyas;;
F Florez Montes;P Fernandez de Cordoba;JL Higon Calvet;JA Conejero;;
D Gamermann;A Montagud;JA Conejero;P Fernandez de Cordoba;;
C Jordan Lluch;E Sanabria Codesal;JR Torregrosa Sanchez;;;
X Barrachina;JA Conejero;C Jordan-Lluch;M Murillo Arcila;;
JA Conejero;E Garcia Felix;MC Rodriguez-Monzonis;V Vivancos;;
X Barrachina;JA Conejero;S Terrasa;E Vendrell;E Garcia Felix;
JA Conejero;E Vendrell;A Terrasa;E Sanchis;;
MEI Martinez;JG Carmenate;J Antonino Daviu;L Dunai;;
JA Conejero;O Garibo i Orts;C Lizama;;;
PA Solares-Hernandez;O Garibo i Orts;JA Conejero;FA Manzano;;
MEI Martinez;J Antonino Daviu;CA Platero;L Dunai;JA Conejero;
