Elemento,Valor
Investigadores con representación temática,42.0
Revistas con representación temática,643.0
Palabras clave únicas en matriz de investigadores,103.0
Palabras clave únicas en matriz de revistas,103.0
Relaciones investigador-palabra clave activas,1916.0
Relaciones revista-palabra clave activas,4410.0
Densidad matriz investigador-palabra clave,0.4429
Densidad matriz revista-palabra clave,0.0666
