title,journal,year
Immersion in products of regular topological spaces,Archiv der Mathematik,1983.0
Sobre la existencia de las topologias Tf regulares,Collectanea Mathematica,1978.0
Characteristics of the Mackey topology for abelian topological groups Chapter 7 of the book:Descriptive Topology and Functional Analysis Eds: Juan Carlos Ferrando and Manuel,Springer,
Classifying topologies through G bases,Axioms,2022.0
Laurent Schwartz (1915 2002). Resumen de su vida y obra matematica,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2018.0
Two Classes of Metrizable Spaces  Invariant,Descriptive Topology and Functional Analysis,2014.0
Descriptive Topology and Functional Analysis: In Honour of Jerzy Kakol's 60th Birthday,Springer,2014.0
The density character of the space Cp(X),Descriptive Topology and Functional Analysis,2014.0
Compactness and Distances to Spaces of Continuous Functions and Frechet Spaces,Descriptive Topology and Functional Analysis,2014.0
Ramanujan: Un matematico ejemplar para todos,ConCIENCIAS. digital: revista de divulgacion cientifica de las Facultad de,2012.0
Corsons Property (C) and Tightness,Descriptive Topology and Functional Analysis,2011.0
La obra de Euler: tricentenario del nacimiento de Leonhard Euler (1707 1783),No indexada,2009.0
Oriente y Occidente en la Formacion de la Ciencia,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2005.0
Bounded tightness for locally convex spaces and spaces C(X),Journal of Mathematical Analysis and Applications,2004.0
Complemented copies of c0 in C0 (Î©).,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2001.0
A Bator's question on dual Banach spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1999.0
Banach.,No indexada,1998.0
On the ideal of all subsets on N of density zero,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1998.0
Metrizable barrelled spaces,Bulletin of the American Mathematical Society,1997.0
On exhaustive vector measures,Revista Colombiana de Matematicas,1994.0
Clases de toneiacion y medidas acotadas,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1990.0
A generalization of Tong's theorem and properties of pairwise perfectly normal spaces,Journal of the Australian Mathematical Society,1985.0
Una nota sobre la propiedad de Blumberg.,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1984.0
Covering properties in spaces of continuous functions,,2024.0
Compact Resolutions and Analyticity,Mathematics Journal,2024.0
Covering properties of ,AIMS Mathematics,2024.0
Two Velichko like Theorems for C(X),Mathematics Journal,2023.0
Revisiting Mazur separable quotient problem (1932).,Mathematical Foundations of Computing,2023.0
