title,journal,year
Human reaction times: Linking individual and collective behaviour through physics modeling,Symmetry,2021.0
Correlations between background radiation inside a multilayer interleaving structure geomagnetic activity and cosmic radiation: A fourth-order cumulant-based correlation analysis,Mathematics Journal,2020.0
A probabilistic classification procedure based on response time analysis towards a quick pre-diagnosis of students attention deficit,Mathematics Journal,2019.0
Feature extraction and similarity of movement detection during sleep based on higher order spectra and entropy of the actigraphy signal: Results of the Hispanic Community,Sensors,2018.0
On a single server queue with arrivals in batches of variable size general service in three fluctuating modes balking random breakdowns and a stand-by server during,Investigacion Operacional,2014.0
Aequorin-expressing yeast emits light under electric control,Journal of biotechnology,2011.0
Estudio estadistico sobre los factores de riesgo en la formacion de cataratas,Universitat Politecnica de Valencia,1999.0
Analysis of the influence subjective human parameters in the calculation of thermal comfort and energy consumption of buildings,Energies,2019.0
Neutrino mixing and masses in a leftâ€“right model with mirror fermions,The European Physical Journal C,2012.0
Calculation of some integrals arising in heat transfer in grinding,Mathematical Problems in Engineering,2010.0
Bispectrum analysis of stray flux signals for the robust detection of winding asymmetries in wound rotor induction motors,,2020.0
On the contact geometry and the Poisson geometry of the ideal gas,Entropy,2018.0
PyNetMet: Python tools for efficient work with networks and metabolic models,Arxiv preprint arXiv:,2012.0
A mechanics for the Ricci flow,International Journal of Geometric Methods in Modern Physics,2009.0
Estudio del patrimonio de la localidad de Vinales Republica de Cuba para la introduccion del turismo rural,CUADERNOS DE TURISMO,2005.0
Automatic Classification of Field Winding Faults in Synchronous Motors based on Bicoherence Image Segmentation and Higher Order Statistics of Stray Flux Signals,IEEE Transactions on Industry Applications,2023.0
Monte Carlo Simulation of a modified Chi distribution with unequal variances in the generating gaussians. A Discrete Methodology to Study Collective Response Times,Mathematics Journal,2020.0
Boltzmann entropy of a Newtonian Universe,Entropy,2017.0
Generalised complex geometry in thermodynamical fluctuation theory,Entropy,2015.0
The irreversible quantum,International Journal of Geometric Methods in Modern Physics,2015.0
Use of thermal conductivity from thermal response test for estimating steady-state temperatures in rock and stratified soil near a line source of heat,HVAC&R Research,2011.0
Dirac neutrino masses and mixing parameters in a left-right model with mirror fermions,International Journal of Modern Physics A,2007.0
Isoscalar Roper excitation in p (alpha alpha-prime) reactions in the 10GeV 15GeV region,Physics Letters A,
Photonic snake states in two-dimensional frequency combs,Nature,2023.0
Monte Carlo simulation of a modified Chi distribution considering asymmetry in the generating functions: Application to the Study of Health-Related Variables,Symmetry,2021.0
Machinery Failure Approach and Spectral Analysis to Study the Reaction Time Dynamics over Consecutive Visual Stimuli: An Entropy-Based Model,Mathematics Journal,2020.0
Sliding modes control for heat transfer in geodesic domes,Mathematics Journal,2020.0
Percentile Study of Ï‡ Distribution. Application to Response Time Data,Mathematics Journal,2020.0
Analysis of key variables for energy efficiency in warships,Proceedings of the Institution of Mechanical Engineers Part M: Journal of,2020.0
Use of statistical correlation for energy management in office premises adopting techniques of the industry 4.0,DYNA,2018.0
Detection of bar breakages in induction motor via spectral subtraction of stray flux signals,,2018.0
Entropy topological theories and emergent quantum mechanics,Entropy,2017.0
The holographic quantum,Arxiv preprint arXiv:,2015.0
Herramienta para la optimizacion de flujos metabolicos en un sistema biologico,Investigacion Operacional,2014.0
Yeast cultures with UCP1 uncoupling activity as a heating device,New biotechnology,2009.0
Heat transfer between a gas and an ultralow thermal conductivity porous structure,Applied Mathematics and Computation,2008.0
Noncommutative space and the low-energy physics of quasicrystals,International Journal of Modern Physics A,2008.0
Decay tâ†’ bWZ within the context of the left-right mirror model,Revista mexicana de fisica,2004.0
Multifractal spectrum and higher order statistics for the detection of field winding faults in wound field synchronous motors,,2021.0
The cosmological constant of emergent spacetime in the Newtonian approximation,International Journal of Modern Physics D,2020.0
On the holographic bound in Newtonian cosmology,Entropy,2018.0
The small-world of â€˜Le Petit Princeâ€™: Revisiting the word frequency distribution,Digital Scholarship in the Humanities,2017.0
The holographic quantum,Foundations of Physics,2016.0
Aplicaciones del modelado matematico en problemas energeticos: un recorrido desde la investigacion a la creacion de empresas,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2012.0
On the noncommutative Eikonal,International Journal of Geometric Methods in Modern Physics,2011.0
A generalized finite difference method using Coatmelec lattices,Computer Physics Communications,2009.0
The Ricci flow on Riemann surfaces,Arxiv preprint arXiv:,2008.0
Geothermal vertical effects in thermal response tests,Conferencia,2008.0
Vanillin cell sensor,IET Synthetic Biology,2007.0
Delta excitation in nuclei and coherent meson production,No indexada,1994.0
Detection of adjacent and non-adjacent bar breakages in induction motors based on power spectral subtraction and second order statistics of sound signals,Applied Sciences,2020.0
Stability assessment of stochastic differential-algebraic systems via Lyapunov exponents with an application to power systems,Mathematics Journal,2020.0
Mathematical modeling and numerical simulation of heat dissipation in led bulbs,Thermal Science,2020.0
A code to calculate high order legendre polynomials and functions,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2013.0
La regla de Simpson con mallados generales e integrales impropias,Boletin de la Sociedad Cubana de Matematica y Computacion,2010.0
Ansatz-independent solution of a soliton in a strong dispersion-management system,Physical Review Applied,2000.0
On the effect of the maximal proper acceleration in the inertia,Arxiv preprint arXiv:,2023.0
Bicoherence and Skewness-Kurtosis analysis for the detection of field winding faults in synchronous motors using stray flux signals,,2022.0
Multifractal 1-D wavelet leader based on spectral kurtosis of armature currents for sparking detection in DC motors,,2022.0
Spherical space in the Newtonian limit: The cosmological constant,International Journal of Modern Physics D,2021.0
A system to monitor and model the thermal isolation of coating compounds applied to closed spaces,Thermal Science,2020.0
Large scale evaluation of differences between network-based and pairwise sequence-alignment-based methods of dendrogram reconstruction,PloS one,2019.0
Uso de la correlacion estadistica para la gestion energetica en locales de oficina empleando tecnicas de la Industria 4.0,DYNA,2018.0
Desarrollo de una plataforma computacional para el modelado metabolico de microorganismos,,2011.0
Electrical Conductivity of Fullyâ€Ionized Multicomponent Real and Model Plasmas,Contributions to Plasma Physics,1999.0
Coherent semicoherent and incoherent pion production in heavy-ion reactions,No indexada,1996.0
A parallel algorithm for the partial single-input pole assignment problem,Applied Mathematics Letters,1994.0
Thermality of the zero-point length and gravitational selfduality,International Journal of Geometric Methods in Modern Physics,2024.0
Real-Time Indoor Air Quality Analysis using Recurrent Neural Networks: A Case Study of Environmental Variables,,2023.0
Spectral Entropy and Frequency Cepstral Coefficients of Stray Flux Signals for Sparking Detection in DC Motors,,2023.0
On the emergent origin of the inertial mass,Foundations of Physics,2023.0
Hyperbolic space in the Newtonian limit: The cosmological constant,International Journal of Modern Physics D,2022.0
Bispectrum and Kurtosis Analysis of Rotor Currents for the Detection of Field Winding Faults in Synchronous Motors,,2021.0
Brain reaction times: Linking individual and collective behaviour through Physics modelling,Arxiv preprint arXiv:,2019.0
Issues regarding the implementation of sliding controls for thermal regulation,,2019.0
Amplitude phase and complex analyticity,Arxiv preprint arXiv:,2017.0
Temperature stabilization of high-power led chips using low-cost passive heat sinks,Conferencia,2013.0
Characterization of different regimes in nonlinear liquid crystal models,Journal of Nonlinear Optical Physics & Materials,2012.0
Aportaciones de la metodologia bayesiana: depresion en personas mayores,,2012.0
Unisolvency for multivariate polynomial interpolation in Coatmelec configurations of nodes,Applied Mathematics and Computation,2011.0
Self-Trapped Localized Modes in Photonic Crystal Fibers,Conferencia,2002.0
Electronic correlations in real and model plasmas,Conferencia,2000.0
Bispectral Wavelet Time-Frequency Analysis for the Detection of Field Winding Faults in Synchronous Motors,,2024.0
Indoor air quality analysis using recurrent neural networks: a case study of environmental variables,Mathematics Journal,2023.0
Methodology for Modeling Multiple Non-Homogeneous Thermal Zones Using Lumped Parameters Technique and Graph Theory,Energies,2023.0
Design of an Algorithm for Modeling Multiple Thermal Zones Using a Lumped-Parameter Model,Energies,2023.0
On the cosmological constant of flat FLRW spacetime,International Journal of Geometric Methods in Modern Physics,2023.0
A method for the dynamics of vortices in a Bose-Einstein condensate: analytical equations of the trajectories of phase singularities,Condensed Matter,2023.0
Algorithms for Noise Reduction in Signals: Theory and practical examples based on statistical and convolutional analysis,IOP Publishing,2022.0
Variability of coil inductance measurements inside an interleaving structure,Scientific Reports,2022.0
Evaluation and mathematical analysis of a four-dimensional lotkaâ€“volterra-like equation designed to describe the batch nisin production system,Mathematics Journal,2022.0
Envelope Spectral Kurtosis and SVD Analysis of Stray Flux Signals for the Diagnosis of Field Winding Faults in Synchronous Motors,,2021.0
Passive strategies to improve the comfort conditions in a Geodesic dome,Mathematics Journal,2021.0
Detection of adjacent and non-adjacent bar breakages in induction motors via convolutional analysis of sound signals,Applied Sciences,2020.0
On the van der Waals gas contact geometry and the Toda chain,Entropy,2018.0
The Schrodinger Equation in the Context of Fluid Mechanics,Revista Cubana de Fisica,2016.0
Phylogenetic tree reconstruction from genome-scale metabolic models,Arxiv preprint arXiv:,2012.0
Desarrollo de una plataforma computacional para el modelado matabolico de microorganismos,,2011.0
Calculation of Some Integrals Arising in Heat Transfer in Grinding,Mathematical Problems in Engineering,2010.0
Remarks on the representation theory of the Moyal plane,Arxiv preprint arXiv:,2010.0
A note on the quantum of time,Modern Physics Letters A,2008.0
Quantum Dynamics on the Worldvolume from Classical su (n) Cohomology,SIGMA. Symmetry Integrability and Geometry: Methods and Applications,2008.0
Analysis of the temperature field in grinding: avoiding thermal damage,Journal of Engineering Mathematics,2008.0
Dirichlet branes and a cohomological definition of time flow,Arxiv preprint arXiv:,2007.0
Determinacion de las preferencias de los clientes internacionales para la practica del turismo rural en la Republica de Cuba,Instituto Universitario de Ciencias Politicas y Sociales. Universidad de La,2005.0
Fundamentos de fisica cuantica para ingenieria,Universitat Politecnica de Valencia,2004.0
Excitation in -nucleus collisions,Physical Review Applied,1998.0
Algoritmos de reconstruccion de funciones de distribucion,Universitat Politecnica de Valencia,1996.0
(3He t) reactions on unstable nuclei at intermediate energies,No indexada,1995.0
Estudio numerico de la evolucion de un paquete de ondas en mecanica cuantica,Revista espanola de fisica,1993.0
Combining Physics and Mathematics Learning: A Taylor Series Analysis of an Oscillating Magnetic Field,Arxiv preprint arXiv:,2025.0
Higher-Order Spectral Analysis and Artificial Intelligence for Diagnosing Faults in Electrical Machines: An Overview,Mathematics Journal,2024.0
Unfolding wall turbulence,Results in Engineering,2024.0
On the effect of the maximal proper acceleration in the inertia,,2024.0
A Wireless Li-Fi-Based Signal Generator and Its Use in a Series RC Circuit,The Physics Teacher,2024.0
AIoT-Based Cybernetic Framework for Environmental Risk Management in Mining Regions,,2024.0
La tesis que me pario. Manual para abordar elaborar y terminar un trabajo academico,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2024.0
Big science in Latin America: accelerate particles and progress,Nature,2024.0
Spectral analysis of anomalous capacitance measurements in interleaving structures: study of frequency distribution in photomultipliers,Symmetry,2023.0
Real-Time Indoor Air Quality Analysis using Recurrent Neural Networks: A Case Study of Environmental Variables,,2023.0
Thermality of the zero-point length and gravitational selfduality,International Journal of Geometric Methods in Modern Physics,2023.0
Smartphones para educar: hub de innovacion en la ensenanza de fisica experimental usando los sensores de los telefonos inteligentes,Conferencia,2023.0
Multifractal Spectrum and Complex Cepstrum Analysis of Armature Currents and Stray Flux Signals for Sparking Detection in DC Motors,IEEE Transactions on Industry Applications,2023.0
Frequency Combs and Photonic Snakes,Conferencia,2023.0
Bright and dark solitons in pure quartic Kerr resonators,Conferencia,2023.0
Spacetime metric from quantum-gravity corrected Feynman propagators,Arxiv preprint arXiv:,2023.0
Influence of the Flux Sensor Position for Rotor Fault Detection in WRIM: A Power Spectral Entropy Analysis,,2023.0
On the cosmological constant as a quantum operator,International Journal of Geometric Methods in Modern Physics,2023.0
Editorial of the Special Issue â€œSkewed (Asymmetrical) Probability Distributions and Applications across Disciplinesâ€,Symmetry,2023.0
Evaluation and Mathematical Analysis of a Four-Dimensional Lotka Volterra-like Equation Designed to Describe the Batch Nisin Production System,Mathematics Journal,2022.0
Percentile Study of chi Distribution. Application to Response Time Data,Mathematics Journal,2020.0
Contribution to the modelling of the light field distribution within Synechocystis sp. PCC 6803 cultures and its influence on cellular photosynthesis processes,Universitat Politecnica de Valencia,2019.0
Integral Involving Bessel Functions Arising in Propagation Phenomena,Mathematics Journal,2019.0
Tablas de probabilidad acumulada para la distribucion ex-Gaussiana,,2018.0
On the contact geometry and the Poisson geometry of the ideal gas,Arxiv preprint arXiv:,2018.0
Evaluacion del deficit de atencion en ninos mediante el analisis de tiempos de respuesta,Conferencia,2018.0
An example of company-university cooperation: Mathematical modeling and numerical simulation of heat dissipation in led bulbs,Universidad de Oviedo,2018.0
On the Contact Geometry and the Poisson Geometry of the Ideal Gas,,2018.0
Tables for cumulative probability of the ex-Gaussian distribution,,2018.0
