"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Castro-Company F.; Tirado P.","Castro-Company, Francisco (55972406100); Tirado, Pedro (16426596600)","55972406100; 16426596600","The bicompletion of intuitionistic fuzzy quasi-metric spaces","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883097093&doi=10.1063%2f1.4756271&partnerID=40&md5=1279116603bc50c2e2041ee92822c627",""
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","FIXED POINT THEOREMS THAT CHARACTERIZE COMPLETENESS OF G-METRIC SPACES","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144111459&partnerID=40&md5=6390ad05ebda446bcdb101cddb0c3aa1","Yokohama Publications"
"Alegre Gil C.; Karapınar E.; Marín Molina J.; Tirado Peláez P.","Alegre Gil, Carmen (7003769450); Karapınar, Erdal (16678995500); Marín Molina, Josefa (57211119963); Tirado Peláez, Pedro (16426596600)","7003769450; 16678995500; 57211119963; 16426596600","Revisiting Bianchini and Grandolfi Theorem in the Context of Modified ω -Distances","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069434970&doi=10.1007%2fs00025-019-1074-z&partnerID=40&md5=7c26f21fb8fe1f27f0a0217649c61d2f","Birkhauser Verlag AG"
"Alegre C.; Dağ H.; Romaguera S.; Tirado P.","Alegre, Carmen (7003769450); Dağ, Hacer (56642666100); Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7003769450; 56642666100; 7004365128; 16426596600","On the fixed point theory in bicomplete quasi-metric spaces","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994323110&doi=10.22436%2fjnsa.009.08.10&partnerID=40&md5=cbf4760bebbbbffb8944b8c7b2585739","International Scientific Research Publications"
"Tirado P.","Tirado, Pedro (16426596600)","16426596600","Contraction mappings in fuzzy quasi-metric spaces and [0,1]-fuzzy posets","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859045423&partnerID=40&md5=03c3ced172961bc86932169d857df952",""
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","The complexity probabilistic quasi-metric space","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650683669&doi=10.1016%2fj.jmaa.2010.11.056&partnerID=40&md5=5cd77c18eb20780b11b5ddb1bcc1a667",""
"Castro-Company F.; Romaguera S.; Tirado P.","Castro-Company, Francisco (55972406100); Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","55972406100; 7004365128; 16426596600","The banach contraction principle in fuzzy quasi-metric spaces and in product complexity spaces: Two approaches to study the cost of algorithms with a finite system of recurrence equations","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858033385&doi=10.1007%2f978-3-642-27534-0_17&partnerID=40&md5=29a122e9f7378d31318b309aa49ac04c",""
"Tirado P.; Valero O.","Tirado, Pedro (16426596600); Valero, Oscar (55959555900)","16426596600; 55959555900","The average running time of an algorithm as a midpoint between fuzzy sets","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63449096970&doi=10.1016%2fj.mcm.2008.08.003&partnerID=40&md5=fd30ddda0e99e801ef7e9cc809e69630",""
"Karaplnar E.; Romaguera S.; Tirado P.","Karaplnar, Erdal (16678995500); Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","16678995500; 7004365128; 16426596600","Characterizations of quasi-metric and G-metric completeness involving w-distances and fixed points","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144116320&doi=10.1515%2fdema-2022-0177&partnerID=40&md5=f2c636bfce7cd21e4e011a7301699efb","Walter de Gruyter GmbH"
"Castro-Company F.; Romaguera S.; Tirado P.","Castro-Company, Francisco (55972406100); Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","55972406100; 7004365128; 16426596600","Application of the banach fixed point theorem on fuzzy quasi-metric spaces to study the cost of algorithms with two recurrence equations","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651463971&partnerID=40&md5=60ce9b3ceddbd800708a3151ccff259d",""
"Alegre C.; Dağ H.; Romagueraz S.; Tirado P.","Alegre, Carmen (7003769450); Dağ, Hacer (56642666100); Romagueraz, Salvador (7004365128); Tirado, Pedro (16426596600)","7003769450; 56642666100; 7004365128; 16426596600","Characterizations of quasi-metric completeness in terms of kannan-type fixed point theorems","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012070474&doi=10.15672%2fHJMS.2016.395&partnerID=40&md5=b6d4aa5b4f2f5d8a8cf8613b0c2b53e1","Hacettepe University"
"Castro-Company F.; Tirado P.","Castro-Company, Francisco (55972406100); Tirado, Pedro (16426596600)","55972406100; 16426596600","Some classes of t-norms and fuzzy metric spaces","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883122274&doi=10.1063%2f1.4756272&partnerID=40&md5=930373711ddc81c67044ab008eaccfb9",""
"Karapinar E.; Romaguera S.; Tirado P.","Karapinar, Erdal (16678995500); Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","16678995500; 7004365128; 16426596600","Contractive multivalued maps in terms of Q-functions on complete quasimetric spaces","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899788093&doi=10.1186%2f1687-1812-2014-53&partnerID=40&md5=2f1f10824d4141f2fe68031d9af545db","Hindawi Publishing Corporation"
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","Partial Metrics Viewed as w-Distances: Extending Some Powerful Fixed-Point Theorems","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213205624&doi=10.3390%2fmath12243991&partnerID=40&md5=ec97abdb48e9b212c8e02841e1486262","Multidisciplinary Digital Publishing Institute (MDPI)"
