"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Beltrán A.; Camina R.D.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Camina, Rachel Deborah (6506556762); Felipe, María José (7005750167); Melchor, Carmen (56436446800)","7006241474; 6506556762; 7005750167; 56436446800","Powers of conjugacy classes in a finite group","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068893757&doi=10.1007%2fs10231-019-00885-2&partnerID=40&md5=c36f104214f5becde4c78281ba6e3f7a","Springer"
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, A. (7006241474); Felipe, M.J. (7005750167); Melchor, C. (56436446800)","7006241474; 7005750167; 56436446800","Squares of real conjugacy classes in finite groups","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024476031&doi=10.1007%2fs10231-017-0681-0&partnerID=40&md5=608cc1f51345e688e0a5815ab32d10b8","Springer Verlag"
"Felipe M.J.; Pérez-Ramos M.D.; Sotomayor V.","Felipe, M.J. (7005750167); Pérez-Ramos, M.D. (6701539740); Sotomayor, V. (57195401726)","7005750167; 6701539740; 57195401726","On G-character tables for normal subgroups","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128222753&doi=10.2989%2f16073606.2022.2040633&partnerID=40&md5=8b77f2b7d13927a6aff00e1bc8019fc5","Taylor and Francis Ltd."
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Finite groups with four conjugacy class sizes","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952974642&doi=10.1080%2f00927871003645417&partnerID=40&md5=40b51070524ab0a0e55386b355b8e12d",""
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Melchor, Carmen (56436446800)","7006241474; 7005750167; 56436446800","Landau's theorem on conjugacy classes for normal subgroups","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991228418&doi=10.1142%2fS0218196716500624&partnerID=40&md5=c09c107914d7cbc13af7f85d95da487a","World Scientific Publishing Co. Pte Ltd"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","A generalisation on the solvability of finite groups with three class sizes for normal subgroups","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954172526&doi=10.1017%2fCBO9781316227343.010&partnerID=40&md5=da556342a6a6b74f6fe522d354a7ebb4","Cambridge University Press"
"Felipe M.J.; Martínez-Pastor A.; Ortiz-Sotomayor V.M.","Felipe, M.J. (7005750167); Martínez-Pastor, A. (6602305095); Ortiz-Sotomayor, V.M. (57195401726)","7005750167; 6602305095; 57195401726","Square-free class sizes in products of groups","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027847597&doi=10.1016%2fj.jalgebra.2017.08.007&partnerID=40&md5=920f67227a8f83d62213db1e77bee56b","Academic Press Inc."
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Certain relations between p-regular class sizes and the p-structure of p-solvable groups","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11044220894&doi=10.1017%2fs144678870001452x&partnerID=40&md5=1854b1e7f615bfc86a080eaad6607b1b","Australian Mathematical Publishing Association"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","The structure of finite groups with three class sizes","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68349154256&doi=10.1515%2fJGT.2008.095&partnerID=40&md5=3d79b3a272549517054b6e536a1069ba",""
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Nilpotency of p-complements and p-regular conjugacy class sizes","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751438536&doi=10.1016%2fj.jalgebra.2006.10.007&partnerID=40&md5=37b85416e59799defeab759a07c59f1e",""
