"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Granero A.S.; Hájek P.; Montesinos Santalucía V.","Granero, A.S. (6602080695); Hájek, P. (56893916800); Montesinos Santalucía, V. (6504372496)","6602080695; 56893916800; 6504372496","Convexity and w*-compactness in Banach spaces","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842590578&doi=10.1007%2fs00208-003-0496-8&partnerID=40&md5=83a5c8a1427ca1f444fa1eecd6040079","Springer New York"
"Hájek P.; Santalucía V.M.; Vanderwerff J.; Zizler V.","Hájek, Petr (56893916800); Santalucía, Vicente Montesinos (6504372496); Vanderwerff, Jon (6603660902); Zizler, Václav (6602264208)","56893916800; 6504372496; 6603660902; 6602264208","Biorthogonal systems in banach spaces","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895393886&doi=10.1007%2f978-0-387-68915-9&partnerID=40&md5=5147aa65e1ed68e9d1e391ddbd65e7d8","Springer New York"
