"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Hoyas S.; Jiménez J.","Hoyas, Sergio (6508374001); Jiménez, Javier (7402489050)","6508374001; 7402489050","Scaling of the velocity fluctuations in turbulent channels up to Reτ=2003","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645656128&doi=10.1063%2f1.2162185&partnerID=40&md5=065b85d91347d18209e2d2c9ec6d7d55","American Institute of Physics Inc."
"Lluesma-Rodríguez F.; González T.; Hoyas S.","Lluesma-Rodríguez, Federico (57200722266); González, Temoatzin (57221234074); Hoyas, Sergio (6508374001)","57200722266; 57221234074; 6508374001","Cfd simulation of a hyperloop capsule inside a low-pressure environment using an aerodynamic compressor as propulsion and drag reduction method","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105479782&doi=10.3390%2fapp11093934&partnerID=40&md5=28ded859c8461b81471a3e3672ee9727","MDPI AG"
"Galindo J.; Hoyas S.; Fajardo P.; Navarro R.","Galindo, J. (7006963723); Hoyas, S. (6508374001); Fajardo, P. (24449439900); Navarro, R. (21834499500)","7006963723; 6508374001; 24449439900; 21834499500","Set-up analysis and optimization of cfd simulations for radial turbines","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890453938&doi=10.1080%2f19942060.2013.11015484&partnerID=40&md5=67bb02680a719bec6abb659b5cd23bee",""
"Lluesma F.; Arguedas A.; Hoyas S.; Sanchez A.; Vicen J.","Lluesma, Federico (57200722266); Arguedas, Antonio (57371122700); Hoyas, Sergio (6508374001); Sanchez, Alberto (57199979195); Vicen, Juan (57370701400)","57200722266; 57371122700; 6508374001; 57199979195; 57370701400","Evacuated-Tube, High-Speed, Autonomous Maglev (Hyperloop) Transport System for Long-Distance Travel: An overview","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121026251&doi=10.1109%2fMELE.2021.3115543&partnerID=40&md5=a43164ec032d173e0f385a8a059e60d5","Institute of Electrical and Electronics Engineers Inc."
"Margot X.; Hoyas S.; Gil A.; Patouna S.","Margot, X. (56618792700); Hoyas, S. (6508374001); Gil, A. (10641418800); Patouna, S. (35786348300)","56618792700; 6508374001; 10641418800; 35786348300","Numerical modelling of cavitation: Validation and parametric studies","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858654914&doi=10.1080%2f19942060.2012.11015399&partnerID=40&md5=4e42d8d66de1e2b26b6a9b6e060a26d5",""
"Sánchez-Roncero A.; Garibo-i-Orts Ò.; Conejero J.A.; Eivazi H.; Mallor F.; Rosenberg E.; Fuso-Nerini F.; García-Martínez J.; Vinuesa R.; Hoyas S.","Sánchez-Roncero, Alejandro (57966508700); Garibo-i-Orts, Òscar (57203263981); Conejero, J. Alberto (57219968950); Eivazi, Hamidreza (57197791286); Mallor, Fermín (57216918711); Rosenberg, Emelie (57967359500); Fuso-Nerini, Francesco (56074827200); García-Martínez, Javier (57222219411); Vinuesa, Ricardo (55553485100); Hoyas, Sergio (6508374001)","57966508700; 57203263981; 57219968950; 57197791286; 57216918711; 57967359500; 56074827200; 57222219411; 55553485100; 6508374001","The Sustainable Development Goals and Aerospace Engineering: A critical note through Artificial Intelligence","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148000793&doi=10.1016%2fj.rineng.2023.100940&partnerID=40&md5=f94e0c38324a5ade60303aecb8be254f","Elsevier B.V."
"Eivazi H.; Le Clainche S.; Hoyas S.; Vinuesa R.","Eivazi, Hamidreza (57197791286); Le Clainche, Soledad (55466824600); Hoyas, Sergio (6508374001); Vinuesa, Ricardo (55553485100)","57197791286; 55466824600; 6508374001; 55553485100","Towards extraction of orthogonal and parsimonious non-linear modes from turbulent flows","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129472624&doi=10.1016%2fj.eswa.2022.117038&partnerID=40&md5=1d5a4da1673b08d5eb25670a80aa9f9c","Elsevier Ltd"
"Plümacher D.; Oberlack M.; Hoyas S.","Plümacher, Dominik (57211156190); Oberlack, Martin (6603567719); Hoyas, Sergio (6508374001)","57211156190; 6603567719; 6508374001","INVARIANT MOMENT AND PDF SOLUTIONS OF WALL-BOUNDED TURBULENT SHEAR FLOWS","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143834792&partnerID=40&md5=d96e2827968d04a74bbbd6a98d06c6ae","International Symposium on Turbulence and Shear Flow Phenomena, TSFP"
"Gandía-Barberá S.; Hoyas S.; Oberlack M.; Kraheberger S.","Gandía-Barberá, Sergio (57201700442); Hoyas, Sergio (6508374001); Oberlack, Martin (6603567719); Kraheberger, Stefanie (56350781300)","57201700442; 6508374001; 6603567719; 56350781300","Letter: The link between the Reynolds shear stress and the large structures of turbulent Couette-Poiseuille flow","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045829922&doi=10.1063%2f1.5028324&partnerID=40&md5=f0d1574c28c73a5fa23f5d9ef7908a44","American Institute of Physics Inc."
"Desantes J.M.; Hoyas S.; Gil A.; Dung K.A.; Ravet F.","Desantes, José M. (6701653640); Hoyas, Sergio (6508374001); Gil, Antonio (10641418800); Dung, Khuong Anh (54410708900); Ravet, Frédéric (41261996700)","6701653640; 6508374001; 10641418800; 54410708900; 41261996700","A recent eulerian-lagrangian cfd methodology for modeling direct injection diesel sprays","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903391005&doi=10.1142%2fS0219876213430123&partnerID=40&md5=8057a5f5a8ca24864eeb98d357f4ed9a","World Scientific Publishing Co. Pte Ltd"
