"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Mayo P.; Rodenas F.; Verdú G.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Verdú, G. (7004736632)","7006925548; 6602421280; 7004736632","Comparing methods to denoise mammographic images","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11044221454&partnerID=40&md5=305c1ce9d8b2dc311366f76f4f4af20b",""
"Antonino-Daviu J.A.; Martínez-Giménez F.; Peris A.; Ramezanzadeh N.; Rodenas F.","Antonino-Daviu, Jose Alfonso (14420953500); Martínez-Giménez, Félix (56595619300); Peris, Alfred (7004199254); Ramezanzadeh, Nasrin (58983856200); Rodenas, Francisco (6602421280)","14420953500; 56595619300; 7004199254; 58983856200; 6602421280","Accurate Criteria for Broken Bar Detection in Induction Motors Based on the Wavelet (Packet) Transform","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190249722&doi=10.3390%2fmath12071057&partnerID=40&md5=84501d902cd182f0df91f6b6b98e54ca","Multidisciplinary Digital Publishing Institute (MDPI)"
"Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdú G.","Flores, Liubov A. (54893417500); Vidal, Vicent (7006001351); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280); Verdú, Gumersindo (7004736632)","54893417500; 7006001351; 7006925548; 6602421280; 7004736632","CT image reconstruction based on GPUs","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896994236&doi=10.1016%2fj.procs.2013.05.308&partnerID=40&md5=6bcd7dbff962757ed98c3bb9de8b1c39","Elsevier B.V."
"Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.","Flores, Liubov A. (54893417500); Vidal, Vicent (7006001351); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280); Verdu, Gumersindo (7004736632)","54893417500; 7006001351; 7006925548; 6602421280; 7004736632","Iterative reconstruction of CT images on GPUs","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886548260&doi=10.1109%2fEMBC.2013.6610706&partnerID=40&md5=500c3f71dfa837d9e0112f58df02658e",""
"Mayo P.; Rodenas F.; Verdú G.; Campayo J.M.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Verdú, G. (7004736632); Campayo, J.M. (8686784100)","7006925548; 6602421280; 7004736632; 8686784100","Digital image quality indexes for CIRS SP01 and CDMAM 3.4 mammographic phantoms","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950117931&doi=10.1007%2f978-3-642-03902-7_190&partnerID=40&md5=f646e8dcd413910c650881da2c727669","Springer Verlag"
"Conejero J.A.; Martínez-Giménez F.; Peris A.; Ródenas F.","Conejero, J. Alberto (57219968950); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254); Ródenas, Francisco (6602421280)","57219968950; 56595619300; 7004199254; 6602421280","Chaotic asymptotic behaviour of the solutions of the Lighthill–Whitham–Richards equation","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961161601&doi=10.1007%2fs11071-015-2245-4&partnerID=40&md5=e4ed841e69b810f762097283504b9989","Springer Netherlands"
"Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.","Flores, Liubov A. (54893417500); Vidal, Vicent (7006001351); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280); Verdu, Gumersindo (7004736632)","54893417500; 7006001351; 7006925548; 6602421280; 7004736632","Fast parallel algorithm for CT image reconstruction","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880934611&doi=10.1109%2fEMBC.2012.6346935&partnerID=40&md5=9418f225405d13b793a49bcb569f5a96",""
"Conejero J.A.; Lizama C.; Rodenas F.","Conejero, J. Alberto (57219968950); Lizama, Carlos (56036759500); Rodenas, Francisco (6602421280)","57219968950; 56036759500; 6602421280","Chaotic behaviour of the solutions of the Moore-Gibson-Thompson equation","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937894443&doi=10.12785%2famis%2f090503&partnerID=40&md5=629bb19c33c1dfecb33ae36891b2fa0c","Natural Sciences Publishing Co."
"Conejero J.A.; Rodenas F.; Trujillo M.","Conejero, J. Alberto (57219968950); Rodenas, Francisco (6602421280); Trujillo, Macarena (14830631100)","57219968950; 6602421280; 14830631100","Chaos for the Hyperbolic Bioheat equation","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907487587&doi=10.3934%2fdcds.2015.35.653&partnerID=40&md5=1843c49336f84de1e638cde86407ca70","Southwest Missouri State University"
"Mayo P.; Rodenas F.; Campayo J.M.; Marín B.; Verdú G.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Campayo, J.M. (8686784100); Marín, B. (57190244455); Verdú, G. (7004736632)","7006925548; 6602421280; 8686784100; 57190244455; 7004736632","Quality assurance applied to digital radiographic equipment by developed software for phantom images","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960682955&doi=10.13182%2fNT11-A12268&partnerID=40&md5=8e1aa461cfe2126b4a4f64f6a4f1ca77","American Nuclear Society"
"De Azcárraga J.A.; Kulish P.P.; Rodenas F.","De Azcárraga, J.A. (7003501949); Kulish, P.P. (7003915614); Rodenas, F. (6602421280)","7003501949; 7003915614; 6602421280","Reflection equations and q-Minkowski space algebras","1994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0011584615&doi=10.1007%2fBF00750660&partnerID=40&md5=d85444b7b0d4214e674087536656df8f","Kluwer Academic Publishers"
"Mayo P.; Rodenas F.; Campayo J.M.; Verdú G.","Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280); Campayo, Juan Manuel (8686784100); Verdú, Gumersido (7004736632)","7006925548; 6602421280; 8686784100; 7004736632","Quality assurance applied to mammographic equipments using phantoms and software for its evaluation","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650298533&doi=10.1016%2fj.nima.2010.01.015&partnerID=40&md5=ad4c95e66d7f67a13902fc00b17fa613","Elsevier B.V."
"Mayo P.; Rodenas F.; Verdú G.; Villaescusa J.I.; Campayo J.M.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Verdú, G. (7004736632); Villaescusa, J.I. (6602631616); Campayo, J.M. (8686784100)","7006925548; 6602421280; 7004736632; 6602631616; 8686784100","Automatic evaluation of the image quality of a mammographic phantom","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642538305&doi=10.1016%2fS0169-2607%2803%2900023-3&partnerID=40&md5=f05c061f2118abcc2c88cd5675a50a21","Elsevier Ireland Ltd"
"Bartoll S.; Martínez-Giménez F.; Peris A.; Rodenas F.","Bartoll, Salud (55180608800); Martínez-Giménez, Félix (56595619300); Peris, Alfred (7004199254); Rodenas, Francisco (6602421280)","55180608800; 56595619300; 7004199254; 6602421280","Orbit Tracing Properties on Hyperspaces and Fuzzy Dynamical Systems","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144713695&doi=10.3390%2faxioms11120733&partnerID=40&md5=71685b8856e8d9f372ce278e4c38f891","MDPI"
"Guadalupe Sánchez M.; Vidal V.; Verdú G.; Mayo P.; Rodenas F.","Guadalupe Sánchez, Ma. (55516815000); Vidal, Vicente (7006001351); Verdú, Gumersindo (7004736632); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280)","55516815000; 7006001351; 7004736632; 7006925548; 6602421280","Medical image restoration with different types of noise","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870853649&doi=10.1109%2fEMBC.2012.6346937&partnerID=40&md5=4e7a943702d1007598ca15557c7fca7a",""
"Gómez-Collado M.C.; Martínez-Giménez F.; Peris A.; Rodenas F.","Gómez-Collado, M. Carmen (6506072199); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254); Rodenas, Francisco (6602421280)","6506072199; 56595619300; 7004199254; 6602421280","Slow growth for universal harmonic functions","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955288956&doi=10.1155%2f2010%2f253690&partnerID=40&md5=a23a915c0ea307c11fcd08b14691d94a",""
"De Azcárraga J.A.; Rodenas F.","De Azcárraga, J.A. (7003501949); Rodenas, F. (6602421280)","7003501949; 6602421280","Deformed Minkowski spaces: Classification and properties","1996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038996610&doi=10.1088%2f0305-4470%2f29%2f6%2f009&partnerID=40&md5=15113509084bd59ad4f5ce75ac70d537","Institute of Physics Publishing"
"Flores L.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.","Flores, Liubov (54893417500); Vidal, Vicent (7006001351); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280); Verdu, Gumersindo (7004736632)","54893417500; 7006001351; 7006925548; 6602421280; 7004736632","Iterative reconstruction of CT images with PETSc","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855774410&doi=10.1109%2fBMEI.2011.6098313&partnerID=40&md5=68860cddbc957d240ea4ec612c5262ad",""
