"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Bartoll S.; Martínez-Giménez F.; Murillo-Arcila M.; Peris A.","Bartoll, Salud (55180608800); Martínez-Giménez, Félix (56595619300); Murillo-Arcila, Marina (55356253000); Peris, Alfredo (7004199254)","55180608800; 56595619300; 55356253000; 7004199254","Cantor sets, bernoulli shifts and linear dynamics","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927800306&doi=10.1007%2f978-3-319-05224-3_10&partnerID=40&md5=0b3ef6fcec800d39b0f048e519bd47e8","Springer New York LLC"
"Abu-Saris R.M.; Martínez-Giménez F.; Peris A.","Abu-Saris, Raghib M. (6602877125); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","6602877125; 56595619300; 7004199254","Erratum to ""Uniform convergence and chaotic behavior"" [Nonlinear Anal. TMA 65 (4) (2006) 933-937] (DOI:10.1016/j.na.2005.04.056)","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68049129439&doi=10.1016%2fj.na.2007.09.036&partnerID=40&md5=a9a5082e8124b0a7787ef559cb329d4f",""
"Cava D.; Lagarón J.M.; Martínez-Giménez F.; Gavara R.","Cava, David (56122362500); Lagarón, José M. (35583571800); Martínez-Giménez, Félix (56595619300); Gavara, Rafael (7003921714)","56122362500; 35583571800; 56595619300; 7003921714","Inverse gas chromatography study on the effect of humidity on the mass transport of alcohols in an ethylene-vinyl alcohol copolymer near the glass transition temperature","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36549088533&doi=10.1016%2fj.chroma.2007.10.050&partnerID=40&md5=271cdfcb2cab464d89f2fa424739af1f",""
"Conejero J.A.; Martínez-Giménez F.; Peris A.; Ródenas F.","Conejero, J. Alberto (57219968950); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254); Ródenas, Francisco (6602421280)","57219968950; 56595619300; 7004199254; 6602421280","Chaotic asymptotic behaviour of the solutions of the Lighthill–Whitham–Richards equation","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961161601&doi=10.1007%2fs11071-015-2245-4&partnerID=40&md5=e4ed841e69b810f762097283504b9989","Springer Netherlands"
"Bartoll S.; Martínez-Giménez F.; Peris A.; Rodenas F.","Bartoll, Salud (55180608800); Martínez-Giménez, Félix (56595619300); Peris, Alfred (7004199254); Rodenas, Francisco (6602421280)","55180608800; 56595619300; 7004199254; 6602421280","Orbit Tracing Properties on Hyperspaces and Fuzzy Dynamical Systems","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144713695&doi=10.3390%2faxioms11120733&partnerID=40&md5=71685b8856e8d9f372ce278e4c38f891","MDPI"
"Gómez-Collado M.C.; Martínez-Giménez F.; Peris A.; Rodenas F.","Gómez-Collado, M. Carmen (6506072199); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254); Rodenas, Francisco (6602421280)","6506072199; 56595619300; 7004199254; 6602421280","Slow growth for universal harmonic functions","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955288956&doi=10.1155%2f2010%2f253690&partnerID=40&md5=a23a915c0ea307c11fcd08b14691d94a",""
"Martínez-Giménez F.; Peris A.","Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","56595619300; 7004199254","Universality and chaos for tensor products of operators","2003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10744219940&doi=10.1016%2fS0021-9045%2803%2900118-7&partnerID=40&md5=a6a66f9eed29bce9ce89ca75a2dc0c5b","Academic Press Inc."
"Conejero J.A.; Martínez-Giménez F.; Peris A.; Rodenas F.","Conejero, J.A. (57219968950); Martínez-Giménez, F. (56595619300); Peris, A. (7004199254); Rodenas, F. (6602421280)","57219968950; 56595619300; 7004199254; 6602421280","Sets of periods for chaotic linear operators","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101023695&doi=10.1007%2fs13398-020-00996-z&partnerID=40&md5=52f1648a54be9c1241ab0e3ba1295f44","Springer-Verlag Italia s.r.l."
"Hernandez J.C.; Antonino-Daviu J.; Martinez-Gimenez F.; Peris A.","Hernandez, Jesus Corral (56295257100); Antonino-Daviu, Jose (14420953500); Martinez-Gimenez, F. (56595619300); Peris, A. (7004199254)","56295257100; 14420953500; 56595619300; 7004199254","Comparison of different wavelet families for broken bar detection in induction motors","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937713566&doi=10.1109%2fICIT.2015.7125574&partnerID=40&md5=a4a21fa6829fd24bf0eb13625ed82a67","Institute of Electrical and Electronics Engineers Inc."
"Antonino-Daviu J.; Riera-Guasp M.; Roger-Folch J.; Martínez-Giménez F.; Peris A.","Antonino-Daviu, J. (14420953500); Riera-Guasp, M. (14421626500); Roger-Folch, J. (24476634300); Martínez-Giménez, F. (56595619300); Peris, A. (7004199254)","14420953500; 14421626500; 24476634300; 56595619300; 7004199254","Application and optimization of the discrete wavelet transform for the detection of broken rotor bars in induction machines","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748325766&doi=10.1016%2fj.acha.2005.12.003&partnerID=40&md5=b78451f8d4b3cb5fdf873461b47348b3",""
"Bonet J.; Martínez-Giménez F.; Peris A.","Bonet, José (35576983700); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","35576983700; 56595619300; 7004199254","A Banach space which admits no chaotic operator","2001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0010566601&doi=10.1112%2fblms%2f33.2.196&partnerID=40&md5=171d717b2d21c574dd7c2be621ba3668","John Wiley and Sons Ltd"
"Martínez-Giménez F.; Peris A.","Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","56595619300; 7004199254","Existence of hypercyclic polynomials on complex Fréchet spaces","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349448116&doi=10.1016%2fj.topol.2009.02.010&partnerID=40&md5=f6623af3fcfa7a9a40b828798474de5b",""
"Martínez-Giménez F.","Martínez-Giménez, Félix (56595619300)","56595619300","Chaos for power series of backward shift operators","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56749151798&doi=10.1090%2fS0002-9939-07-08658-3&partnerID=40&md5=79892925cdacb91406f0b39ac08cf35e",""
"Bartoll S.; Martínez-Giménez F.; Peris A.","Bartoll, Salud (55180608800); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","55180608800; 56595619300; 7004199254","Operators with the specification property","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953318478&doi=10.1016%2fj.jmaa.2015.12.004&partnerID=40&md5=616a40e0c45ebe849526a6c2df3f2d8e","Academic Press Inc."
"Martínez-Giménez F.; Peris A.","Martínez-Giménez, F. (56595619300); Peris, A. (7004199254)","56595619300; 7004199254","Chaos for backward shift operators","2002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036696354&doi=10.1142%2fS0218127402005418&partnerID=40&md5=dad62665af7e6a2b5c8a607fa6a07a3d","World Scientific Publishing Co. Pte Ltd"
"Martínez-Giménez F.; Peris A.","Martínez-Giménez, F. (56595619300); Peris, A. (7004199254)","56595619300; 7004199254","Chaotic polynomials on sequence and function spaces","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78549270500&doi=10.1142%2fS0218127410027416&partnerID=40&md5=39d165e4b78d37bb118f36b7da7bde69","World Scientific Publishing Co. Pte Ltd"
