"Investigador","Cluster","UMAP1","UMAP2","Silhouette"
2,1,-2.37475610411849,-6.38279792324749,0.719735297201971
26,1,-2.55727848829288,-6.0828085460859,0.693205880366824
40,1,-2.3308134832198,-6.89787720268828,0.683119564429249
28,1,-1.94491938330174,-6.744387519159,0.679139729267516
35,1,-3.07889568657868,-6.2737654322992,0.65473260021283
1,1,-1.69974076657705,-6.5374234826513,0.649217161769511
8,1,-1.96082228038953,-5.84760056934491,0.589586612203235
34,1,-3.41661350256823,-6.07891839154554,0.576628135216781
36,1,-1.65667155884672,-5.99017848024359,0.567174872071259
4,1,-2.97783014394649,-5.68088866844339,0.567000207369031
21,1,-1.29827226975892,-6.2459117298127,0.516741555810555
3,1,-2.80724725730866,-5.33428174457853,0.424542972178767
5,2,-1.41632639383935,-2.96923539284417,0.610287198914701
19,2,-1.07288223558374,-3.07158498209882,0.609150634206897
15,2,-1.78955954498841,-3.38965141024333,0.592826025025532
18,2,-0.923399113297662,-2.54435834047323,0.581914542949143
37,2,-0.670008186365997,-2.50577952373354,0.562155931890559
41,2,-0.833012029590955,-2.24771639690616,0.551504241851788
27,2,-0.862262897156698,-3.82597019452049,0.537590718359565
31,2,-1.9947402155829,-3.83941072569408,0.532186818740724
30,2,-1.45990991110397,-4.23685995101089,0.475966230761903
24,2,-2.37290281985578,-3.89980138546766,0.447699070870751
25,2,-2.01944956459169,-4.37920084390123,0.358853992845925
42,2,-2.71735391497734,-4.16570882465201,0.273797234931536
16,2,-0.992591124707436,-4.8685154643714,0.193760122413033
10,2,-2.75158202242701,-4.49910480759267,0.085944618959351
23,2,-1.72055135030586,-5.06175133720888,-0.09217930976504
20,2,-1.32318903972319,-5.40239746583317,-0.248464250305913
9,3,3.5259477502341,9.62544509190962,0.940040790695224
39,3,3.85991784648628,9.21728238836208,0.935677348278558
11,3,3.30028727970471,9.91527009301475,0.934645209902046
32,3,4.15224826242913,10.1611730490948,0.933882945006726
7,3,4.31153828223078,9.33508195945823,0.932683682460132
6,3,4.3648509096244,9.97613991283256,0.93251108334441
17,3,3.77986317652403,10.352016275084,0.931106699081074
13,3,3.32367213655522,10.34010841986,0.925801299438649
22,3,4.66090773012847,9.7288197632091,0.922512440984574
12,3,4.2456817794029,8.90441204087373,0.91939888076144
33,3,3.5789465176383,8.76791781410269,0.911075804524134
38,3,2.78503182289058,10.2371961942571,0.907432420248008
29,3,2.66764016063183,9.81039108480601,0.904759119196079
14,3,4.46704763452444,8.63263264978689,0.898137061864539
