"title","author","journal","number","cites","year","cid","pubid"
"Maximal factorization of operators acting in Köthe–Bochner spaces","JM Calabuig, M Fernández-Unzueta, F Galaz-Fontes, EA Sánchez-Pérez","The Journal of Geometric Analysis","31, 560-578",4,2021,"18358732854134561994","k_IJM867U9cC"
"Optimal extensions of compactness properties for operators on Banach function spaces","JM Calabuig, EJ Fernández, MA Juan, EAS Pérez","Topology and its Applications","203, 57-66",4,2016,"3778234813143153977","mVmsd5A6BfQC"
"Álgebra lineal y descomposición en valores singulares","JM Calabuig, LM Garcia Raffi, EA Sánchez-Perez","Modelling in Science Education and Learning","8 (2), 133-144",4,2015,"5608452852435712009","Wp0gIr-vW9MC"
"Hölder inequality for functions that are integrable with respect to bilinear maps","O Blasco, JM Calabuig","Mathematica scandinavica","101-110",4,2008,"9049902930940792400","UeHWp8X0CEIC"
"Modeling hospital resource management during the covid-19 pandemic: An experimental validation","JM Calabuig, E Jiménez-Fernández, EA Sánchez-Pérez, S Manzanares","Econometrics","9 (4), 38",3,2021,"15980735775068878340","g5m5HwL7SMYC"
"Tensor product representation of Köthe-Bochner spaces and their dual spaces","JM Calabuig, E Jiménez Fernández, MA Juan, EA Sánchez Pérez","Positivity","20 (1), 155-169",3,2016,"16337994666202477048","4DMP91E08xMC"
"The weak topology on q‐convex Banach function spaces","L Agud, JM Calabuig, EA Sánchez Pérez","Mathematische Nachrichten","285 (2‐3), 136-149",3,2012,"462271181520805215","WF5omc3nYNoC"
"Extension procedures for lattice Lipschitz operators on Euclidean spaces","R Arnau, JM Calabuig, E Erdoğan, EA Sánchez Pérez","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …","",2,2023,"11875991478040606767","u_35RYKgDlwC"
"Absolutely (q, 1)-summing operators acting in C(K)-spaces and the weighted Orlicz property for Banach spaces","JM Calabuig, EA Sánchez Pérez","Positivity","25 (3), 1199-1214",2,2021,"10510520850119247834","lSLTfruPkqcC"
"Weighted -regular kernels for reproducing kernel Hilbert spaces and Mercer Theorem","L Agud, JM Calabuig, EA Sánchez Pérez","Analysis and Applications","18 (03), 359-383",2,2020,"17255422958020400199","YFjsv_pBGBYC"
"Representation and factorization theorems for almost-Lp-spaces","JM Calabuig, OG Bravo, MA Juan, EAS Pérez","Indagationes Mathematicae","30 (5), 930-942",2,2019,"13597618338342710373","r0BpntZqJG4C"
"Equivalent norms in a Banach function space and the subsequence property","JM Calabuig, MF Unzueta, F Galaz-Fontes, EAS Pérez","arXiv preprint arXiv:",":1810.05714",2,2018,"13538785867464434024","4JMBOYKVnBMC"
"Differentiability of  of a vector measure and applications to the Bishop–Phelps–Bollobás property","L Agud, JM Calabuig, S Lajara, EA Sánchez-Pérez","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …","",2,2017,"6195906409323391532","dhFuZR0502QC"
"Vector-valued impact measures and generation of specific indexes for research assessment","JM Calabuig, A Ferrer-Sapena, EA Sánchez-Pérez","Scientometrics","108, 1425-1443",2,2016,"12021324442783482906","QIV2ME_5wuYC"
"Graph distances for determining entities relationships: a topological approach to fraud detection","JM Calabuig, H Falciani, AF Sapena, LMG Raffi, EAS Pérez","International Journal of Information Technology & Decision Making","22 (04 …",1,2023,"12568462140499953415","iH-uZ7U-co4C"
"Measure-Based Extension of Continuous Functions and p-Average-Slope-Minimizing Regression","R Arnau, JM Calabuig, EA Sánchez Pérez","Axioms","12 (4), 359",1,2023,"17664384056230349591","4OULZ7Gr8RgC"
"Govern obert i accés a la informació: un estudi de cas sobre l'impacte en l'economia local","A Ferrer-Sapena, JM Calabuig, EAS Pérez, C Vidal-Cabo","BiD","",1,2020,"3111927998711485033","RYcK_YlVTxYC"
"Evolution model for epidemic diseases based on the Kaplan-Meier curve determination","JM Calabuig, LM García-Raffi, A García-Valiente, EA Sánchez-Pérez","Mathematics","8 (8), 1260",1,2020,"9874832226650893077","GnPB-g6toBAC"
"Banach lattice structures and concavifications in banach spaces","L Agud, JM Calabuig, MA Juan, EA Sanchez Perez","Mathematics","8 (1), 127",1,2020,"3689625363660823956","JV2RwH3_ST0C"
"Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19","AF Sapena, JMC Rodríguez, MFP Mancebo, IS del Toro","El profesional de la información","29 (4), 11",1,2020,"1173844769374785094","J_g5lzvAfSwC"
"Detección y prevención de las malas prácticas y la corrupción desde la perspectiva de las matemáticas","JM Calabuig, H Falciani, A Ferrer Sapena, LM García-Raffi, E Raso, ...","Revista internacional de transparencia e integridad","1-8",1,2018,"4782937378402683720","j3f4tGmQtD8C"
"-variations of vector measures with respect to vector measures and integral representation of operators","O Blasco, JM Calabuig, EA Sánchez-Pérez","Banach Journal of Mathematical Analysis","9 (1), 273-285",1,2015,"16122508114579654466","ULOm3_A8WrAC"
"p-variation of vector measures with respect to bilinear maps","O Blasco, JM Calabuig","Bulletin of the Australian Mathematical Society","78 (3), 411-430",1,2008,"4305153577265443145","ufrVoPGSRksC"
"GRAPH DISTANCES FOR DETERMINING INTER-ENTITIES RELATIONS: A TOPOLOGICAL APPROACH TO FRAUD DETECTION (WORK IN PROGRESS)","JM Calabuig, H Falciani, A Ferrer-Sapena, LM Garcia-Raffi, ...","","",1,NA,"7010650136922722198","R3hNpaxXUhUC"
"A Bellman–Ford Algorithm for the Path-Length-Weighted Distance in Graphs","R Arnau, JM Calabuig, LM García-Raffi, EA Sánchez Pérez, S Sanjuan","Mathematics","12 (16), 2590",0,2024,NA,"_xSYboBqXhAC"
"Using neural networks and hierarchical cluster analysis to study goal kicks in football","AR Arnau Notari, JM Calabuig, C Catalan, LM Garcia Raffi, JM Pardo Gila, ...","International Journal of Sports Science & Coaching","19 (4), 1723-1737",0,2024,NA,"cFHS6HbyZ2cC"
"Lattice Lipschitz superposition operators on Banach function spaces","R Arnau, JM Calabuig, E Erdoğan, EAS Pérez","arXiv preprint arXiv:",":2406.03895",0,2024,NA,"D03iK_w7-QYC"
"Guía práctica¿ Cómo abrir los algoritmos públicos?","JM Calabuig","Universitat de València","",0,2024,NA,"EUQCXRtRnyEC"
