"Investigador","Cluster","UMAP1","UMAP2","Silhouette"
"ArnauNAR",1,-1.2400594308,-6.17455125628339,0.513288480891701
"RodenasEF",1,-1.78366049941242,-6.35101267384007,0.495381122780347
"SanchisLJM",1,-1.12325925829762,-5.71011691802797,0.494940523793949
"LazaroNM",1,-1.90797015284646,-6.02698491591537,0.493575009101486
"MilianEC",1,-2.24120608145649,-6.47710025677607,0.427109287927622
"AlegreGC",1,-0.562620085813429,-5.85783600061051,0.42501330825105
"MontesinosSV",1,-1.07021407930117,-6.57044336539956,0.407286009519318
"LopezMA",1,-0.30462741675088,-5.83663438958223,0.359429619603967
"CobolloGC",1,-0.542354561251239,-6.39022428267909,0.31575470897411
"PetrosyanL",1,-2.03158572840892,-7.05952363899735,0.313593090145411
"QuilisSA",1,-1.6054271134857,-7.21895826029273,0.207191437256693
"MartinezJF",1,-0.240838862984019,-6.54199599237703,0.0970205498457459
"MonserratDFJ",1,0.377158564879789,-6.27544242801417,-0.0529546825691624
"ArroyoJP",1,-1.00585928749331,-7.24891712414258,-0.107653876037461
"ArroyoJM",1,-1.31095725918683,-7.71169672384178,-0.248592236584497
"JordaME",2,1.43025444551944,-7.70088249731262,0.684955852232546
"RodriguezLJ",2,1.5791221012557,-7.40986519256025,0.673047657190355
"SevillaPP",2,1.7710458413678,-7.74507135170658,0.639051627954126
"JornetCD",2,1.06663630764819,-7.18960503950429,0.555756424088973
"BiviaC",2,0.831212385401663,-7.76952557929378,0.463809167689533
"GuiraoSAJ",2,0.477128808855244,-7.80052223438807,0.0192326714753505
"SanchezPEA",3,0.594228296122267,12.8242745558599,0.953508965526943
"ConejeroJA",3,1.04113593172348,12.543662204167,0.951170495215487
"CalabuigRJM",3,0.30730403883308,12.7679753972585,0.950895084717724
"FernandezCCPJ",3,1.28230535013884,12.9777245018444,0.946562243846147
"BonetSJ",3,0.266874371466724,12.1747465973353,0.942731554612334
"PesetMF",3,0.239199330700902,13.3415787352666,0.940462537157476
"GarciaRLM",3,1.50019434690819,12.3921236288213,0.939613215940406
"GuijarroMF",3,-0.0532808866893691,13.1714977811329,0.937985026258084
"LopezPM",3,-0.201547416448439,12.4134671515181,0.93405285485416
"IsidroSJJM",3,0.708688410794254,11.7711752816816,0.932589662152556
"RomeroGV",3,1.85607107934579,12.8564734793131,0.931593689260636
"PerisMA",3,0.394517074324365,11.7474576621929,0.929781224219883
"FerrerSA",3,-0.388464927065543,12.9663266270246,0.928590783410576
"MorillasGS",3,1.92919146782731,12.7061531005209,0.928546745883401
"HoyasCS",3,1.79994207793648,13.4723462566435,0.923377258120654
"FelipeRMJ",4,-0.630721985735794,-7.95639888695609,0.588137326001097
"TiradoPP",4,-0.805285172932686,-8.24305375140274,0.535609424461052
"MartinezPA",4,-0.113917841012614,-8.02754333295185,0.510912267623817
"OrtizSVM",4,-0.108130471376387,-7.41561645220859,0.408189241017158
"PedrazaAMC",4,0.158258729011087,-8.42687004468534,0.270646659523315
"MartinezUMJ",4,-0.338480441311288,-6.99059037083051,0.112007856194566
