title,journal,year
Semi Lipschitz functions and machine learning for discrete dynamical systems on graphs,Machine Learning,2022.0
Optimal Extensions for pth Power Factorable Operators,Mediterranean Journal of Mathematics,2016.0
Bartle Dunford Schwartz integration for positive vector measures and representation of quasi Banach lattices,Journal of Nonlinear and Convex Analysis,2016.0
Product spaces generated by bilinear maps and duality,Czechoslovak Mathematical Journal,2015.0
Factorizing kernel operators,Integral Equations and Operator Theory,2013.0
Spaces of p integrable functions with respect to a vector measure defined on a delta ring,Operators and Matrices,2012.0
A Komlos theorem for abstract Banach lattices of measurable functions,Journal of Mathematical Analysis and Applications,2011.0
Integration with respect to a vector measure and function approximation,Abstract and Applied Analysis,2000.0
Design trend forecasting by combining conceptual analysis and semantic projections: New tools for open innovation,Journal of Open Innovation: Technology Market and Complexity,2021.0
Closed injective ideals of multilinear operators related measures and interpolation,Mathematische Nachrichten,2020.0
Product factorability of integral bilinear operators on Banach function spaces,Positivity,2019.0
(p q) Regular operators between Banach lattices,Monatshefte fur Mathematik,2019.0
Tensor characterizations of summing polynomials,Mediterranean Journal of Mathematics,2018.0
Traced tensor norms and multiple summing multilinear operators,Linear and Multilinear Algebra,2017.0
Compact convex sets in 2 dimensional asymmetric normed lattices,Quaestiones Mathematicae,2016.0
Tensor product representation of the (pre) dual of the Lp space of a vector measure,Journal of the Australian Mathematical Society,2009.0
Commutative sequences of integrable functions and best approximation with respect to the weighted vector measure distance,Integral Equations and Operator Theory,2006.0
Normed semialgebras: a mathematical model for the complexity analysis of programs and algorithms,,2003.0
Ideales de operadores absolutamente continuos y normas tensoriales asociadas,Universitat Politecnica de Valencia,1997.0
Convolution continuous bilinear operators acting on Hilbert spaces of integrable functions,,2018.0
Compactness in spaces of  integrable functions with respect to a vector measure,,2015.0
Maurey Rosenthal domination for abstract Banach lattices,Journal of Inequalities and Applications,2013.0
Fourier Transform and Convolutions on Lp of a Vector Measure on a Compact Hausdorff Abelian Group,Journal of Fourier Analysis and Applications,2013.0
Vector measure orthonormal systems and self weighted functions approximation,Publications of the Research Institute for Mathematical Sciences,2005.0
Las practicas de modelizacion fisico matematica: innovacion universitaria desde un punto de vista internacional,Uno: Revista de didactica de las matematicas,2002.0
Algebra Calculo y Mecanica para ingenieros,,1997.0
Computing optimal distances to pareto sets of multi objective optimization problems in asymmetric normed lattices,Acta Applicandae Mathematicae,2019.0
