title,journal,year
Estudio probabilistico de confinamientos potenciales de grupos burbuja en educacion infantil y primaria en la Comunitat Valenciana,Conferencia,2021.0
Multiple objective optimization of sustainable pavement maintenance and rehabilitation strategies: a clustering procedure for selecting preferred Pareto optimal solutions,,2020.0
Diseno de filtros para procesamiento de imagenes basados en teoria de grafos,Universitat Politecnica de Valencia,2016.0
WATS 16,,2016.0
Graph theory methods for image processing: An image border detection method based on minimum spanning generating trees.,,2016.0
A note on convergence in fuzzy metric spaces,Iranian Journal of Fuzzy Systems,2014.0
A note on local bases and convergence in fuzzy metric spaces,Topology and its Applications,2014.0
Observer independent quantitative measurement for the interpretation of 123I mIBG Scintigraphy in pediatric neuroblastoma NB,European journal of cancer,2013.0
El concepto de metrica fuzzy a traves del filtrado de imagenes digitales,Conferencia,2013.0
On the importance of metrics in practical applications,Conferencia,2011.0
A Hybrid Real Time Vision Based Person Detection Method,Waves,2011.0
An application of graph theory to colour image processing,MODELLING FOR ADDICTIVE BEHAVIOUR MEDICINE AND ENGINEERING,2010.0
An application case for derivative learning: optimization in colour image filtering,IEEE EDUCON,2010.0
Derivative based optimization in colour image filtering: an application for derivative learning,Conferencia,2009.0
Avances en la evaluacion de diferencias de color,,2009.0
Nuevas tendencias de almacenamiento grafico en internet,Conferencia,2009.0
Deteccion de caminos libres de obstaculos mediante mapas de profundidad,Conferencia,2009.0
Examples of fuzzy metrics and applications,,2009.0
Metricas fuzzy: una forma inteligente de medir,Matematicalia,2008.0
We present a scheme for image fusion based on a 2D implementation of the Wigner Distribution WD combined with a multisize windows technique. The joint space–frequency ...,Journal of Visual Communication and Image Representation,2008.0
8 Contribution v,,2007.0
12 Contribution ix,,2007.0
9 Contribution vi,,2007.0
Research in Transportation Business & Management,,
Searching communities in badly conditioned graphs and 4,,
Searching border communities in badly conditioned graphs: some ideas about that.,,
Detection of border communities using convolution techniques,,
Simultaneous smoothing and sharpening of colour images,,
MSEL,Conferencia,
Metodo avanzado de deteccion de personas en secuencias de video,,
Perceptual color image similarity using fuzzy metrics,,
ISWAT 2014,,
Using Fuzzy Metrics in Color Image Filtering,,
Fuzzy peer groups for color image denoising,,
3D Environment Representation through Acoustic Images.,,
