title,journal,year,otros_investigadores
Machinery Failure Approach and Spectral Analysis to Study the Reaction Time Dynamics over Consecutive Visual Stimuli: An Entropy-Based Model,Mathematics,2020.0,ME Iglesias-Martinez;M Hernaiz-Guijarro;JC Castro-Palacio;...
Percentile Study of χ Distribution. Application to Response Time Data,Mathematics,2020.0,JC Castro-Palacio;P Fernandez-de-Cordoba;JM Isidro;E Navarro-Pardo;...
"Entropy, topological theories and emergent quantum mechanics",Entropy,2017.0,D Cabrera;P Fernandez de Cordoba;JM Isidro;J Vazquez Molina
The holographic quantum,arXiv preprint arXiv:,2015.0,PF de Cordoba;JM Isidro;JV Molina
Noncommutative space and the low-energy physics of quasicrystals,International Journal of Modern Physics A,2008.0,L Monreal;P Fernandez de Cordoba;A Ferrando;JM Isidro
Abelian gerbes as a gauge theory of quantum mechanics on phase space,Journal of Physics A: Mathematical and Theoretical,2007.0,JM Isidro;MA de Gosson
"Semiclassical expansions, the strong quantum limit, and duality",Modern Physics Letters A,2005.0,JM Isidro
Twisted K-theory in g> 1 from D-branes,Journal of Geometry and Physics,2002.0,JM Isidro
On the structure of noncommutative N= 2 super Yang-Mills theory,Journal of High Energy Physics,2000.0,D Bellisai;JM Isidro;M Matone
BF theories and group-level duality,Nuclear Physics B,1996.0,JM Isidro;JP Nunes;HJ Schnitzer
The cosmological constant of emergent spacetime in the Newtonian approximation,International Journal of Modern Physics D,2020.0,JC Castro-Palacio;P Fernandez de Cordoba;JM Isidro
On the holographic bound in Newtonian cosmology,Entropy,2018.0,JM Isidro;P Fernandez de Cordoba
The holographic quantum,Foundations of Physics,2016.0,P Fernandez de Cordoba;JM Isidro;J Vazquez Molina
On the noncommutative Eikonal,International Journal of Geometric Methods in Modern Physics,2011.0,JM Isidro;PF De COrdoba;JM RIVERA–REBOLLEDO;JLG Santander
The Ricci flow on Riemann surfaces,JP J.Geom.Topol.,2009.0,S Abraham;PF De Cordoba;JM Isidro;JLG Santander
Geothermal vertical effects in thermal response tests,Proceedings of the XXXIII Workshop Geothermal Reservoir Engineering,2008.0,TV Bandos;A Montero;JL Gonzalez;JM Isidro;J Perez;E Fernandez;...
Dirac brackets from magnetic backgrounds,International Journal of Geometric Methods in Modern Physics,2007.0,JM Isidro
Holomorphic invariants of continuous bounded symmetric Reinhardt domains,Acta Sci. Math.(Szeged),2004.0,JM Isidro;LL Stacho
Nonperturbative flipped SU (5) vacua in Horava-Witten theory,Proceedings of the,2003.0,AE Faraggi;R Garavuso;JM Isidro
Properties of period integrals of complex algebraic curves,Journal of Geometry and Physics,1999.0,JM Isidro
Causal fermion systems and octonions,Fortschritte der Physik,2024.0,F Finster;NG Gresnigt;JM Isidro;A Marciano;CF Paganini;TP Singh
Mathematical modeling and numerical simulation of heat dissipation in led bulbs,Thermal Science,2020.0,D Alarcon;E Balvis;R Bendana;AJ Conejero;CP Fernandez;JLD Higon;...
Generalized complex geometry and the Planck cone,International Journal of Modern Physics A,2006.0,JM Isidro
Quantum states from tangent vectors,Modern Physics Letters A,2004.0,JM Isidro
Quantum-Mechanical Dualities on the Torus,Modern Physics Letters A,2004.0,JM Isidro
The quantum mechanics of affine variables,Journal of Geometry and Physics,2002.0,JM Isidro
Superconformal current algebras and topological field theories,Physics Letters B,1994.0,JM Isidro;AV Ramallo
Structural characterization of compact operators,"Current topics in operator algebras,(Nara",,JM Isidro
A mechanism for dark matter and dark energy in the theory of causal fermion systems,Classical and Quantum Gravity,2023.0,F Finster;JM Isidro
Spherical space in the Newtonian limit: The cosmological constant,International Journal of Modern Physics D,2021.0,JM Isidro;P Fernandez de Cordoba;JC Castro-Palacio
QUANTUM MECHANICS AS A SPONTANEOUSLY BROKEN GAUGE THEORY ON AU (1) GERBE,International Journal of Geometric Methods in Modern Physics,2008.0,JM Isidro
A Quantum-Gravity Perspective on Semiclassical vs. Strong-Quantum Duality,International Journal of Geometric Methods in Modern Physics,2006.0,JM Isidro
Magnetic backgrounds from generalised complex manifolds,Journal of Geometry and Physics,2006.0,JM Isidro
"Topological Duality on the Functional Space (H [subscript B](U, F) T [subscript B)",Royal Irish Academy,1979.0,JM Isidro
Thermality of the zero-point length and gravitational selfduality,International Journal of Geometric Methods in Modern Physics,2024.0,PF De Cordoba;JM Isidro;R Roy
On the derivations of the quadratic Jordan product in the space of rectangular matrices,Journal of Algebra,2023.0,JM Isidro
On the emergent origin of the inertial mass,Foundations of Physics,2023.0,RG Torrome;JM Isidro;PF de Cordoba
Hyperbolic space in the Newtonian limit: The cosmological constant,International Journal of Modern Physics D,2022.0,JC Castro-Palacio;PF de Cordoba;RG Torrome;JM Isidro
Brain reaction times: Linking individual and collective behaviour through Physics modelling,arXiv preprint arXiv:,2019.0,JC Castro-Palacio;PF de Cordoba;JM Isidro;E Navarro-Pardo
Teaching classical mechanics using an applied example: Modelling and Software,Modelling in Science Education and Learning,2009.0,MA Garcia-March;JM Isidro;M Zacares;M Arevalillo;...
"Wigner functions, Fresnel optics, and symplectic connections on phase space",International Journal of Geometric Methods in Modern Physics,2008.0,JM Isidro
Moduli space of potentials in the Aharonov-Bohm effect,Advances in applied Clifford algebras,2004.0,MA Aguilar;JM Isidro;M Socolovsky
Holomorphic automorphisms of continuous products of balls,Mathematische Zeitschrift,2000.0,JM Isidro;LL Stacho
A new derivation of the Picard-Fuchs equation for N= 2 Seiberg-Witten theories,arXiv preprint hep-th/,,JM Isidro;A Mukherjee;JP Nunes;HJ Schnitzer
Theoretically Motivated Dark Electromagnetism as the Origin of Relativistic Modified Newtonian Dynamics,Universe,2024.0,F Finster;JM Isidro;CF Paganini;TP Singh
"Theoretically Motivated Dark Electromagnetism as the Origin of Relativistic Modified Newtonian Dynamics. Universe 2024, 10, 123",,2024.0,F Finster;JM Isidro;CF Paganini;TP Singh
Theoretically motivated dark electromagnetism as the origin of relativistic MOND,arXiv preprint arXiv:,2023.0,F Finster;JM Isidro;CF Paganini;TP Singh
On the derivations of the quadratic Jordan product in classical finite dimensional Cartan factors,Journal of Algebra,2023.0,JM Isidro
On the cosmological constant of flat FLRW spacetime,International Journal of Geometric Methods in Modern Physics,2023.0,PF De Cordoba;RG Torrome;S Gavasso;JM Isidro
"On the van der Waals gas, contact geometry and the Toda chain",Entropy,2018.0,D Alarcon;P Fernandez de Cordoba;JM Isidro;C Orea
On the holographic bound in Newtonian cosmology,"arXiv e-prints, arXiv:",2017.0,P Fernandez de Cordoba;JM Isidro
The Schrodinger Equation in the Context of Fluid Mechanics,Revista Cubana de Fisica,2016.0,D Cabrera;PF de Cordoba;JM Isidro;JM Valdes-Placeres;...
Remarks on the representation theory of the Moyal plane,arXiv preprint arXiv:,2010.0,JM Isidro;PF de Cordoba;JM Rivera-Rebolledo;JLG Santander
Positive curvature can mimic a quantum,AIP Conf. Proc.,2010.0,JM Isidro;JLG Santander;PF de Cordoba
A note on the quantum of time,Modern Physics Letters A,2008.0,JM Isidro;JL Gonzalez-Santander;P Fernandez de Cordoba
Quantum Dynamics on the Worldvolume from Classical su (n) Cohomology,"SIGMA. Symmetry, Integrability and Geometry: Methods and Applications",2008.0,JM Isidro;P Fernandez de Cordoba
Analytical Studies of Heat Conduction in Thermal Response Tests,"European Thermal-Sciences Conference, Eindhoven, Holanda",2008.0,TV Bandos;A Montero;E Fernandez;JLG Santander;JM Isidro;J Perez;...
Dirichlet branes and a cohomological definition of time flow,JP Journal of Geometry and Topology,2008.0,JM Isidro;PF De Cordoba
A quantum is a complex structure on classical phase space,International Journal of Geometric Methods in Modern Physics,2005.0,JM Isidro
Noncommutative manifolds from the Higgs sector of coincident D-branes,Modern Physics Letters A,2005.0,JM Isidro
Unfolding wall turbulence,Results in Engineering,2024.0,S Hoyas;R Vinuesa;M Oberlack;PF de Cordoba;JM Isidro;...
Gravitation as a Statistical Theory on the Light Cone,Classical and Quantum Gravity,2024.0,JM Isidro;CF Paganini;A Pesci
Thermality of the zero-point length and gravitational selfduality,International Journal of Geometric Methods in Modern Physics,2023.0,P Fernandez de Cordoba;JM Isidro;R Roy
Spacetime metric from quantum-gravity corrected Feynman propagators,arXiv preprint arXiv:,2023.0,PF De Cordoba;JM Isidro;R Roy
On the cosmological constant as a quantum operator,International Journal of Geometric Methods in Modern Physics,2023.0,PF De Cordoba;RG Torrome;S Gavasso;JM Isidro
On derivations of the Jordan triple product in classical Cartan factors,Journal of Algebra,2022.0,JM Isidro
Percentile Study of chi Distribution. Application to Response Time Data,MATHEMATICS,2020.0,J Carlos Castro-Palacio;P Fernandez-de-Cordoba;JM Isidro;...
Integral Involving Bessel Functions Arising in Propagation Phenomena,Mathematics,2019.0,YL Ratis;P Fernandez de Cordoba;JM Isidro;R Jaime
On the contact geometry and the Poisson geometry of the ideal gas,arXiv preprint arXiv:,2018.0,PF de Cordoba;JM Isidro
On the contact geometry and the Poisson geometry of the ideal gas,"arXiv e-prints, arXiv:",2018.0,P Fernandez de Cordoba;JM Isidro
An example of company-university cooperation: Mathematical modeling and numerical simulation of heat dissipation in led bulbs,Universidad de Oviedo,2018.0,D Alarcon;E Balvis;R Bendana;JA Conejero;P Fernandez de Cordoba;...
THE HOLOGRAPHIC BOUND IN NEWTONIAN COSMOLOGY,,2017.0,P Fernandez;JM Isidro
On admissible topologies in JB*‐triples,Mathematische Nachrichten,2015.0,JM Isidro
La regla de Simpson con mallados generales e integrales impropias,Ciencias Matematicas,2013.0,JLG Santander;JM Isidro;MA Garcia-March;PF de Cordoba;DA Iglesias
Research Article Exact Solution for the Time-Dependent Temperature Field in Dry Grinding: Application to Segmental Wheels,,2011.0,JL Gonzalez-Santander;JMV Placeres;JM Isidro
On linear isometries of Banach lattices in C0(Ω)-spaces,Proceedings-Mathematical Sciences,2009.0,JM Isidro
Basics in Noncommutative Geometry,Mathematical Physics Research Developments,2008.0,L Monreal;JM Isidro
On the Lie algebra of holomorphic infinitesimal isometries of some classical complex symmetric Banach manifolds,Central European Journal of Mathematics,2007.0,JM Isidro
Star products on generalized complex manifolds,International Journal of Geometric Methods in Modern Physics,2007.0,JM Isidro
