title,journal,year,otros_investigadores
DNS of Couette flows with wall transpiration up to Reτ = 1000,"International Symposium on Turbulence and Shear Flow Phenomena, TSFP10",2017,Kraheberger S.; Hoyas S.; Oberlack M.
Influence of geometrical parameters on the linear stability of a Bénard-Marangoni problem,American Physical Society,2016,Hoyas S.; Fajardo P.; Pérez-Quiles M.J.
NON-LINEAR ORTHOGONAL MODAL DECOMPOSITIONS IN TURBULENT FLOWS VIA AUTOENCODERS,"International Symposium on Turbulence and Shear Flow Phenomena, TSFP",2022,Eivazi H.; Le Clainche S.; Hoyas S.; Vinuesa R.
Predicting Coherent Turbulent Structures via Deep Learning,Frontiers Media SA,2022,Schmekel D.; Alcántara-Ávila F.; Hoyas S.; Vinuesa R.
Effect of the horizontal aspect ratio on thermocapillary convection stability in annular pool with surface heat dissipation,Elsevier Ltd,2020,López-Núñez E.; Pérez-Quiles M.J.; Fajardo P.; Hoyas S.
New scaling laws for turbulent poiseuille flow with wall transpiration,TSFP-8,2013,Avsarkisov V.S.; Oberlack M.; Hoyas S.
Basic networks: Definition and applications,,2009,Marín I.; Hoyas S.
Tracking Turbulent Coherent Structures by Means of Neural Networks,MDPI AG,2021,Aguilar-Fuertes J.J.; Noguero-Rodríguez F.; Jaen Ruiz J.C.; García-RAffi L.M.; Hoyas S.
Prediction of cancer risk based on study of genetic variants in healthy women in the Spanish population; [Predicción de riesgo de cáncer de mama en mujeres sanas de población española basado en el estudio de variantes genéticas],Elsevier Doyma,2019,Miñambres Herraiz R.; Pita Macpherson G.; Sánchez Guiu M.I.; Serra Esteve D.; Rosa Ferrero R.; Rubio Solsona E.; Palacios Gil-Antuñano S.; Llaneza-Folgueras A.; Marrón P.I.; Hoyas Calvo S.; Lluch Hernández A.; Cano Sánchez A.; Gonzalez-Neira A.; Triviño Pardo J.C.; Benítez Ortiz J.
Comparison of turbulent boundary layers and channels from direct numerical simulation,"International Symposium on Turbulence and Shear Flow Phenomena, TSFP",2009,Jiménez J.; Hoyas S.; Simens M.P.; Mizuno Y.
A code for simulating heat transfer in turbulent channel flow,MDPI AG,2021,Lluesma-Rodríguez F.; Álcantara-Ávila F.; Pérez-Quiles M.J.; Hoyas S.
Following Vortices in Turbulent Channel Flows,Springer Science and Business Media Deutschland GmbH,2021,Aguilar-Fuertes J.J.; Noguero-Rodríguez F.; Jaen-Ruiz J.C.; García-Raffi L.M.; Hoyas S.
Three-dimensional ESRGAN for super-resolution reconstruction of turbulent flows with tricubic interpolation-based transfer learning,American Institute of Physics Inc.,2022,Yu L.; Yousif M.Z.; Zhang M.; Hoyas S.; Vinuesa R.; Lim H.-C.
"Plane turbulent Couette flow: DNS, large scale structures and symmetry induced scaling laws",TSFP-9,2015,Avsarkisov V.; Oberlack M.; Hoyas S.; Rosteck A.; Garcia-Galache J.P.; Frank A.
Theoretical study of a Bénard-Marangoni problem,,2011,Pardo R.; Herrero H.; Hoyas S.
A large-eddy simulation of diesel-like gas jets,Inderscience Publishers,2011,Hoyas S.; Gil A.; Mompó-Laborda J.M.; Khuong-Anh D.
On the onset of instabilities in a Benard-Marangoni problem in an annular domain with temperature gradient,Serbian Society of Heat Transfer Engineers,2017,Hoyas S.; Ianiro A.; Perez-Quiles M.J.; Fajardo P.
Identifying regions of importance in wall-bounded turbulence through explainable deep learning,Nature Research,2024,Cremades A.; Hoyas S.; Deshpande R.; Quintero P.; Lellep M.; Lee W.J.; Monty J.P.; Hutchins N.; Linkmann M.; Marusic I.; Vinuesa R.
Utilizing indicator functions with computational data to confirm nature of overlap in normal turbulent stresses: Logarithmic or quarter-power,American Institute of Physics,2024,Nagib H.; Vinuesa R.; Hoyas S.
A study of the mesh effect on a rocket plume simulation,Elsevier B.V.,2022,Ramírez F.N.; Escarti-Guillem M.S.; García-Raffi L.M.; Hoyas S.
Application and evaluation of the Eulerian-Lagrangian Spray Atomization (ELSA) model on CFD diesel spray simulations,SAE International,2011,Hoyas S.; Pastor J.M.; Khuong-Anh D.; Mompó-Laborda J.M.; Ravet F.
Oberlack et al. Reply,American Physical Society,2023,Oberlack M.; Hoyas S.; Laux J.; Klingenberg D.
Assessment of Computational Fluid Dynamics acoustic prediction accuracy and deflector impact on launch aero-acoustic environment,Acoustical Society of America,2022,Escarti-Guillem M.S.; Garcia-Raffi L.M.; Hoyas S.; Gloth O.
New scaling laws for turbulent Poiseuille flow with wall transpiration,Cambridge University Press,2014,Avsarkisov V.; Oberlack M.; Hoyas S.
Deflector shape impact on aero-acoustic noise generation and propagation,Elsevier Ltd,2023,Escartí-Guillem M.S.; Hoyas S.; García-Raffi L.M.
Chebyshev Collocation for a Convective Problem in Primitive Variable Formulation,,2003,Herrero H.; Hoyas S.; Donoso A.; Mancho A.M.; Chacón J.M.; Portugués R.F.; Yeste B.
Evaluation and validation of ELSA model in diesel sprays: 3D cavitating nozzles case,"ILASS � Europe, Institute for Liquid Atomization and Spray Systems",2012,Hoyas S.; Gil A.; Fajardo P.; Khuong-Anh D.; Ravet F.
Aerodynamic optimization of a VTOL drone using winglets,Elsevier B.V.,2023,Prieto M.; Escarti-Guillem M.S.; Hoyas S.
Thermal Structures in Turbulent Couette Flows by DNS,Springer,2020,Alcántara-Ávila F.; Gandía-Barberá S.; Hoyas S.
A deep-learning approach for reconstructing 3D turbulent flows from 2D observation data,Nature Research,2023,Yousif M.Z.; Yu L.; Hoyas S.; Vinuesa R.; Lim H.C.
On the generation and destruction mechanisms of arch vortices in urban fluid flows,American Institute of Physics Inc.,2022,Lazpita E.; Martínez-Sánchez Á.; Corrochano A.; Hoyas S.; Le Clainche S.; Vinuesa R.
Chebyshev collocation for optimal control in a thermoconvective flow,Global Science Press,2009,Navarro M.C.; Herrero H.; Hoyas S.
Unfolding wall turbulence,Elsevier B.V.,2024,Hoyas S.; Oberlack M.; Vinuesa R.; Fernández de Córdoba P.; Isidro J.M.; Pérez-Quiles M.J.
Direct numerical simulation of thermal channel flow for medium–high Prandtl numbers up to Reτ=2000,Elsevier Ltd,2021,Alcántara-Ávila F.; Hoyas S.
Approximation of the Couette-Poiseuille flow on an annular domain in compressible regime for a hyperloop pod,Elsevier B.V.,2024,Lluesma-Rodríguez F.; Hoyas S.
WALL TURBULENCE AT HIGH FRICTION REYNOLDS NUMBERS,"International Symposium on Turbulence and Shear Flow Phenomena, TSFP",2022,Hoyas S.; Oberlack M.
Turbulent plane Couette flow with wall-transpiration,TU Delft,2015,Hoyas S.; Kraheberger S.V.; Oberlack M.
Analysis of bifurcations in a Bénard-Marangoni problem: Gravitational effects,,2014,Hoyas S.; Fajardo P.; Gil A.; Perez-Quiles M.J.
Thermal convection in a cylindrical annulus heated laterally,,2002,Hoyas S.; Herrero H.; Mancho A.M.
