"title","journal","year","otros_investigadores"
"Frequency Combs and Photonic Snakes","European Quantum Electronics Conference, ef_",2023,"SB Ivars;YV Kartashov;PF De Córdoba;JA Conejero;L Torner;C Milián"
"Bright and dark solitons in pure quartic Kerr resonators","European Quantum Electronics Conference, ef_p_",2023,"P Parra-Rivas;S Hetzel;YV Kartashov;PF De Córdoba;JA Conejero;..."
"High-order resonances of solitons in a passive coherently driven cavity with a parabolic potential","",2023,"Y Sun;P Parra-Rivas;C Milián;M Ferraro;F Mangini;S Wabnitz"
"Dissipative light bullet attractor in a passive coherently driven multimode Kerr cavity","CLEO: Fundamental Science, FTu",2023,"Y Sun;P Parra-Rivas;C Milián;YV Kartashov;M Ferraro;F Mangini;..."
"Spatiotemporal light bullets, breathers, and collapse in coherently driven passive nonlinear cavities with parabolic potentials","Real-time Measurements, Rogue Phenomena, and Single-Shot Applications VIII …",2023,"Y Sun;P Parra-Rivas;C Milián;YV Kartashov;M Ferraro;F Mangini;..."
"Cumulative effects in high-repetition-rate filaments","International Symposium on Filamentation",2022,"W TJ;E MH;I Afxenti;D Adamou;C Milián;D AC;Y Leng;D JC;D Faccio;..."
"Ecofriendly Perovskites with Giant Self-Defocusing Optical","",2021,"I Suárez;JP Martínez-Pastor;MF Oszajca;NA Lüchinger;B Graves;..."
"Kapitza pendulum effect with overclocked Raman comb solitons in a microring resonator","European Quantum Electronics Conference, ed_p_",2019,"DN Puzyrev;NV Alexeeva;IV Barashenkov;BA Malomed;C Milian;..."
"Dispersive wave emission from dark solitons and their collision in optical fibers","Days on Diffraction",2018,"T Marest;CM Arabí;M Conforti;A Mussot;A Kudlinski;C Milián;..."
"Cavitation dynamics induced by laser superfilaments in water","The European Conference on Lasers and Electro-Optics, CM_P_",2017,"V Jukna;C Milián;A Mysyrowicz;A Couairon;A Houard"
"Supercontinuum generation with bright and dark solitons in optical fibers","arXiv preprint arXiv:",2016,"C Milián;T Marest;A Kudlinski;DV Skryabin"
"Guiding Discharges along Curved Paths","Laser Science, LM",2015,"M Clerici;Y Hu;P Lassonde;C Milián;A Couairon;D Christodoulides;..."
"Acoustic sources in water designed and triggered by optical filamentation","The European Conference on Lasers and Electro-Optics, CD_P_",2015,"C Milián;V Jukna;A Couairon;A Houard;A Mysyrowicz"
"Imaging Energy Deposition of Femtosecond Pulses in Raman-Active Materials","The European Conference on Lasers and Electro-Optics, CM_",2015,"S Minardi;C Milián;D Majus;A Gopal;G Tamošauskas;A Couairon;..."
"Underdense channels generated in air by energetic femtosecond laser pulses","European Quantum Electronics Conference, EE_P_",2015,"G Point;C Milián;A Couairon;A Mysyrowicz;A Houard"
"Guiding Discharges Around Obstacles","The European Conference on Lasers and Electro-Optics, CD_",2015,"M Clerici;Y Hu;P Lassonde;C Milián;A Couairon;D Christodoulides;..."
"Bessel Vortex Filaments for Laser Material Processing","European Quantum Electronics Conference, EE_",2015,"C Xie;V Jukna;C Milián;R Giust;T Itina;A Couairon;JM Dudley;..."
"Accelerating and locked Raman solitons in micro-ring resonators: Role in supercontinuum generation","European Quantum Electronics Conference, EF_",2015,"C Milián;AV Gorbach;M Taki;DV Skryabin"
"Laser guided curved electric discharges","",2015,"M Clerici;Y Hu;P Lassonde;C Milián;A Couairon;D Christodoulides;..."
"Bessel filamentation in glass","SPIE Photonics West",2015,"C Xie;V Jukna;IO Idrissi;C Milian;R Giust;L Furfaro;P Lacourt;..."
"Curved and self-healing discharges guided by optical beams","Latin America Optics and Photonics Conference, LTu",2014,"M Clerici;Y Hu;P Lassonde;C Milián;A Couairon;D Christodoulides;..."
"Interferometric analysis of plasmas induced by filamentation guided electric discharges in air","",2014,"G Point;Y Brelet;C Milián;L Arantchouk;B Prade;J Carbonnel;..."
"Filamentation with Bessel beams and Bessel vortices","ISUILS",2014,"A Couairon;V Jukna;C Milian;CL Arnold;S Akturk;A Mysyrowicz;..."
"Bessel beam propagation in transparent solids for micromachining applications: theory, simulations and experiments","The",2014,"A Couairon;V Jukna;C Milian;CL Arnold;S Akturk;A Mysyrowicz;..."
