"title","journal","year","otros_investigadores"
"Metrizability of precompact sets: an elementary proof.","RACSAM",2005,"JC Ferrando;J Kakol;ML Pellicer"
"On suprabarrelledness of c0 (Ω, X).","RACSAM",2003,"M López Pellicer;S Moll"
"Barrelled spaces of class ℵ0 which are not totally barrelled","Math. Jpn",1992,"JC Ferrando;M López-Pellicer"
"Sobre ciertos espacios topológicos no completamente regulares","Revista matemática hispanoamericana",1976,"ML Pellicer"
"Baire-Type Properties in Metrizable c0(Ω, X)","Axioms",2021,"S López-Alfonso;M López-Pellicer;S Moll-López"
"On a three-space property for Lindelöf -spaces, (WCG)-spaces and the Sobczyk property","Functiones et Approximatio Commentarii Mathematici",2011,"J Ferrer;J Kąkol;ML Pellicer;M Wójtowicz"
"Algunos descubrimientos matemáticos del siglo XX","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2007,"ML Pellicer"
"Presentación de la obra de H. Poincaré (1854-1912)","Arbor",2004,"ML Pellicer"
"Unitary sequences and classes of barrelledness.","RACSAM",2003,"M López Pellicer;S Moll"
"Las construcciones de los números reales","Historia de la Matemática en el siglo XIX (II parte), Real Academia de Ciencias",1993,"ML Pellicer"
"On a result of Adasch and Ernst","Collectanea Mathematica",1989,"LMS Ruiz;ML Pellicer"
"Álgebra lineal y geometría: ejercicios","Marfil",1989,"JG García;ML Pellicer"
"Algunas propiedades del ejemplo de Tychonoff de un espacio regular que no es completamente regular","Collectanea mathematica",1974,"JLB Olcina;ML Pellicer"
"Una caracterización sucesional de los espacios C (X) ultrabornológicos","Rev. R. Academia de Ciencias de Madrid",1973,"ML Pellicer"
"Distinguished Property in Tensor Products and Weak* Dual Spaces","Axioms",2021,"S López-Alfonso;M López-Pellicer;S Moll-López"
"A Survey on Nikodým and Vitali-Hahn-Saks Properties","Montes Taurus Journal of Pure and Applied Mathematics",2021,"S López-Alfonso;M López-Pellicer;J Mas"
"Weak Sequential Convergence in Bounded Finitely Additive Measures","Vietnam Journal of Mathematics",2020,"S López-Alfonso;M López-Pellicer"
"Recuerdo de Julio Rey Pastor","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2015,"M López Pellicer"
"Ramanujan: Matemático genial desde la pobreza extrema","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2014,"M López Pellicer"
"NOTE ABOUT LINDELÖF Σ-SPACES υX","Bulletin of the Australian Mathematical Society",2012,"J Kakol;M LÓPEZ-PELLICER"
"Bertrand Russell: centenario de Principios de las Matemáticas","Revista de la Real Academia de las Ciencias Exactas, Físicas y Naturales",2010,"M Pellicer"
"A note on Fréchet-Urysohn locally convex spaces.","RACSAM",2007,"J Kąkol;ML Pellicer"
"Some remarks on  -sequences","Archiv der Mathematik",2002,"M López-Pellicer;V Montesinos"
"A theorem of insertion and extension of functions for normal spaces","Archiv der Mathematik",1993,"M López-Pellicer;S Romaguera;A Gutiérrez"
"An ordered suprabarrelled space","Journal of the Australian Mathematical Society",1991,"JC Ferrando;M López-Pellicer"
"On linearly topologized spaces and -spaces","Portugaliae mathematica",1991,"LM Sánchez Ruiz;M López Pellicer"
"Immersion in products of regular topological spaces","Archiv der Mathematik",1983,"M López-Pellicer;E Tarazona"
"Sobre la existencia de las topologías Tf regulares","Collectanea Mathematica",1978,"JAL Molina;ML Pellicer"
"Characteristics of the Mackey topology for abelian topological groups, Chapter 7 of the book:“Descriptive Topology and Functional Analysis” Eds: Juan Carlos Ferrando and Manuel …","Springer Proceedings in Mathematics and Statistics",NA,"JMD Nieto;E Martın-Peinador"
"Classifying topologies through G-bases","Axioms",2022,"JC Ferrando;M López-Pellicer"
"Laurent Schwartz (1915-2002). Resumen de su vida y obra matemática","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2018,"M López Pellicer"
"Two Classes of Metrizable Spaces -Invariant","Descriptive Topology and Functional Analysis: In Honour of Jerzy Kakol’s …",2014,"M López-Pellicer"
"Descriptive Topology and Functional Analysis: In Honour of Jerzy Kąkol's 60th Birthday","Springer",2014,"ML Pellicer;JC Ferrando"
"The density character of the space Cp (X)","Descriptive Topology and Functional Analysis",2014,"MM Guillermo;JC Ferrando;M López-Pellicer"
"Compactness and Distances to Spaces of Continuous Functions and Fréchet Spaces","Descriptive Topology and Functional Analysis: In Honour of Jerzy Kakol’s …",2014,"C Angosto;M López-Pellicer"
"NOTE ABOUT LINDELÖF Σ-SPACES υX","Bull. Aust. Math. Soc",2012,"JKA KOL;M LÓPEZ-PELLICER"
"Ramanujan: Un matemático ejemplar para todos","ConCIENCIAS. digital: revista de divulgación científica de las Facultad de …",2012,"ML Pellicer"
"Corson’s Property (C) and Tightness","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"La obra de Euler: tricentenario del nacimiento de Leonhard Euler (1707-1783)","Instituto de España",2009,"AG Tixaire;JMS Ron;ML Pellicer"
"Oriente y Occidente en la Formación de la Ciencia","REAL ACADEMIA DE CIENCIAS EXACTAS, FISICAS Y NATURALES",2005,"M López Pellicer"
"Bounded tightness for locally convex spaces and spaces C (X)","Journal of mathematical analysis and applications",2004,"JC Ferrando;J Kąkol;ML Pellicer"
"Complemented copies of c0 in C0 (Ω).","RACSAM",2001,"JC Ferrando;M López Pellicer"
"A Bator's question on dual Banach spaces","Revista de la Real Academia de Ciencias Exactas Físicas y Naturales",1999,"ML Pellicer"
"Banach.","Historia de la Matemática",1998,"ML Pellicer"
"ON THE IDEAL OF ALL SUBSETS ON N OF DENSITY ZERO","Revista de la Real Academia de Ciencias Exactas Físicas y Naturales",1998,"JC Ferrando;ML Pellicer"
"Metrizable barrelled spaces","Bulletin of the American Mathematical Society",1997,"J Kakol;JC Ferrando;M Lopez Pellicer;LM Sanchez Ruiz"
"On exhaustive vector measures","Revista Colombiana de Matemáticas",1994,"JC Ferrando;M López-Pellicer"
"Clases de toneíación y medidas acotadas","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",1990,"ML Pellicer"
"A generalization of Tong's theorem and properties of pairwise perfectly normal spaces","Journal of the Australian Mathematical Society",1985,"M López-Pellicer;A Gutiérrez"
"Una nota sobre la propiedad de Blumberg.","Revista de la Real Academia de Ciencias Exactas Físicas y Naturales",1984,"M López Pellicer"
"Covering properties in spaces of continuous functions","PROCEEDINGS BOOK",2024,"JC Ferrando;S López-Alfonso;M López-Pellicer;S Moll-López"
"Compact Resolutions and Analyticity","Mathematics",2024,"S López-Alfonso;M López-Pellicer;S Moll-López"
"Covering properties of ","AIMS Mathematics",2024,"JC Ferrando;M López-Pellicer;S Moll-López"
"Two Velichko-like Theorems for C(X)","Mathematics",2023,"S López-Alfonso;M López-Pellicer;S Moll-López"
"Revisiting Mazur separable quotient problem (1932).","Mathematical Foundations of Computing",2023,"M López-Pellicer;S López-Alfonso;S Moll-López"
"Functional Analysis and Continuous Optimization: In Honour of Juan Carlos Ferrando's 65th Birthday, Elche, Spain, June 16–17, 2022","Springer Nature",2023,"JM Amigó;MJ Cánovas;MA López-Cerdá;M López-Pellicer"
"The Mathematical Research of Juan Carlos Ferrando Check for updates","Functional Analysis and Continuous Optimization: In Honour of Juan Carlos …",2023,"M López-Pellicer"
"Equivalences with the separable quotient problem","Proceedings Book of the",2022,"S López-Alfonso;M López-Pellicer;S Moll-López"
"A Survey on Valdivia Open Question on Nikodým Sets","Mathematics",2022,"S López-Alfonso;M López-Pellicer;S Moll-López;LM Sánchez-Ruiz"
"On Nikodým, Grothendieck, Vitali-Hahn-Saks and Valdivia measure theorems","BOOK OF ABSTRACTS",2022,"S LOPEZ-ALFONSO;M LOPEZ-PELLICER;S MOLL-LOPEZ"
"The Mathematical Research of Juan Carlos Ferrando","International Meeting on Functional Analysis and Continuous Optimization",2022,"M López-Pellicer"
"Jorge Juan y Antonio de Ulloa en el problema de la forma de la Tierra","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2022,"M López Pellicer;G Mora Martínez"
"Baire-type properties in c0 (Ω, X)","PROCEEDINGS BOOK OF MICOPAM",2021,"M López-Pellicer;S López-Alfonso;S Moll-López"
"Some Applications of Grothendieck Sets","BP International",2020,"JC Ferrando;S Lopez-Alfonso;M Lopez-Pellicer"
"On the Grothendieck property for algebras of sets","Book of proceedings",2019,"JCF Pérez;ML Pellicer;SL Alfonso"
"On Nikodym and Rainwater sets for Banach spaces of measures","Book of proceedings",2019,"JCF Pérez;ML Pellicer;SL Alfonso"
"Infinite Dimensional","",2018,"R Aron;J Bonet;CG Collado;D Jornet;M Maestre;M Acosta;O Blasco;..."
"On spaces.","Mathematische Nachrichten",2017,"JC Ferrando;J Ka̧kol;M López‐Pellicer"
"Paradojas y la duplicación de la superficie esférica","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2017,"ML Pellicer"
"Recuerdo al Excmo. Sr. D. Darío Maravall Casesnoves, académico de honor de la Real Academia de Cultura Valenciana (1923-2016)","Anals de la Real Acadèmia de Cultura Valenciana",2017,"ML Pellicer"
"5th Workshop on Functional Analysis 15","General schedule",2017,"A Lissitsin;M López-Pellicer;J Losada;GM Cervantes;J Martsinkevitš;..."
"recuerdo de Julio rey Pastor.","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2015,"ML Pellicer"
"In memoriam: Manuel Valdivia Ureña","La Gaceta de la RSME",2014,"ML Pellicer"
"In memoriam: Manuel Valdivia Ureña (1928-2014)","Gaceta de la Real Sociedad Matemática Española",2014,"M López Pellicer"
"Some Aspects in the MathematicalWork of Jerzy K a̧ kol","Descriptive Topology and Functional Analysis: In Honour of Jerzy Kakol’s …",2014,"M López-Pellicer;S Moll"
"Homenaje a Turing: de las máquinas de Turing a problemas criptográficos","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2013,"ML Pellicer"
"Las matemáticas de Jorge Juan","Serie histórica",2012,"ML Pellicer"
"Elementos finitos en problemas mecánicos","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales de …",2012,"M López Pellicer;S López Alfonso"
"Webs and barrelledness","",2011,"S Moll"
"Developments in Mathematics","Springer US",2011,"J Kąkol;W Kubiś;M López-Pellicer"
"Elementos finitos en fenómenos de transmisión","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales de …",2011,"M López Pellicer;S López Alfonso"
"Metrizability of Compact Sets in the Class","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer"
"Weakly Analytic Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"K-analytic and Analytic Spaces C                         p             (X)","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Fréchet–Urysohn Spaces and Groups","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Weakly Realcompact Locally Convex Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer"
"Tightness and Distinguished Fréchet Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"K-analytic and Quasi-Suslin Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Elementary Facts about Baire and Baire-Type Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Banach Spaces with Many Projections","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Strongly Web-Compact Spaces and a Closed Graph Theorem","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"A Three-Space Property for Analytic Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Web-Compact Spaces and Angelic Theorems","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"K-analytic Baire Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Compact Spaces Generated by Retractions","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Precompact Sets in (LM)-Spaces and Dual Metric Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Complementably Universal Banach Spaces","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Sequential Properties in the Class","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer"
"Spaces of Continuous Functions over Compact Lines","Descriptive Topology in Selected Topics of Functional Analysis",2011,"J Kąkol;W Kubiś;M López-Pellicer;J Kąkol;W Kubiś;M López-Pellicer"
"Astronomía y mecánica celeste en Muñoz, Zaragozá y Laplace","Serie histórica",2010,"ML Pellicer"
"Los números base de la Ciencia y de la transmisión actual de la información","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales",2010,"M López Pellicer"
"About an example of a Banach space not weakly K-analytic","RACSAM-Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales …",2009,"J Kąkol;M López Pellicer"
