"title","journal","year","otros_investigadores"
"Angeleri Hügel, Lidia, 519 Aranda Pino, Gonzalo, 408","Journal of Algebra",2005,"JO Araujo;A Ballester-Bolinches;MJJ Barry;E Beneish;Y Berkovich;..."
"Departament d'Algebra, Universitat de València; Dr. Moliner, 50, E-46100 Burjassot (València, Spain)","Advances in Algebra: Proceedings of the ICM Satellite Conference in Algebra …",2003,"R ESTEBAN-ROMERO;MC PEDRAZA-AGUILERA"
"SOME RESULTS ON FINITE FACTORIZED GROUPS","Groups Saint Andrews",2003,"MC PEDRAZA-AGUILERA"
"Jaligot, Eric, 413","Journal of Algebra",2001,"MA Alawode;MJ Alejandre;ES Allman;MH Almeida Santos;JA Anquela;..."
"Article ID jabr. 1999.8075, available online at http://www. idealibrary. com on","Journal of Algebra",1999,"A Ballester-Bolinches;CP Bendel;C Bonnafé;W Bruns;RM Bryant;..."
"Article ID jabr. 1999.7906, available online at http://www. idealibrary. com on","Journal of Algebra",1999,"D Allcock;A Ballester-Bolinches;G Benkart;M Benslimane;C Blondel;..."
"Anquela, José A., 295","Journal of Algebra",1998,"YA Bahturin;A Ballester-Bolinches;L Barker;N Cantarini;P Carbonne;..."
"André, Michel, 32","Journal of Algebra",1996,"A Ballester-Bolinches;MK Bardoe;MC Beltrametti;Y Berkovich;..."
"SOME RESULTS ON FINITE FACTORIZED GROUPS","This page intentionally left blank",NA,"A BALLESTER-BOLINCHES;J COSSEY;X GUO;..."
"PERMUTABILITY AND SUBNORMALITY IN FINITE GROUPS","This page intentionally left blank",NA,"MJ ALEJANDRE;A BALLESTER-BOLINCHES;R ESTEBANROMERO;..."
