"title","journal","year","otros_investigadores"
"Weighted -regular kernels for reproducing kernel Hilbert spaces and Mercer Theorem","Analysis and Applications",2020,"L Agud;JM Calabuig;EA Sánchez Pérez"
"Equivalent norms in a Banach function space and the subsequence property","arXiv preprint arXiv:",2018,"JM Calabuig;MF Unzueta;F Galaz-Fontes;EAS Pérez"
"Detección y prevención de las malas prácticas y la corrupción desde la perspectiva de las matemáticas","Revista internacional de transparencia e integridad",2018,"JM Calabuig;H Falciani;A Ferrer Sapena;LM García-Raffi;E Raso;..."
"Differentiability of  of a vector measure and applications to the Bishop–Phelps–Bollobás property","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2017,"L Agud;JM Calabuig;S Lajara;EA Sánchez-Pérez"
"Vector-valued impact measures and generation of specific indexes for research assessment","Scientometrics",2016,"JM Calabuig;A Ferrer-Sapena;EA Sánchez-Pérez"
"Lattice Lipschitz superposition operators on Banach function spaces","Journal of Mathematical Analysis and Applications",2025,"R Arnau;JM Calabuig;E Erdoğan;EAS Pérez"
"A Bellman–Ford Algorithm for the Path-Length-Weighted Distance in Graphs","Mathematics",2024,"R Arnau;JM Calabuig;LM García-Raffi;EA Sánchez Pérez;S Sanjuan"
"Approximation of almost diagonal non-linear maps by lattice Lipschitz operators","Bulletin of the Brazilian Mathematical Society, New Series",2024,"R Arnau;JM Calabuig;E Erdoğan;EA Sánchez Pérez"
"Measure-Based Extension of Continuous Functions and p-Average-Slope-Minimizing Regression","Axioms",2023,"R Arnau;JM Calabuig;EA Sánchez Pérez"
"Representation of Lipschitz Maps and Metric Coordinate Systems","Mathematics",2022,"R Arnau;JM Calabuig;EA Sánchez Pérez"
"Govern obert i accés a la informació: un estudi de cas sobre l'impacte en l'economia local","BiD",2020,"A Ferrer-Sapena;JM Calabuig;EAS Pérez;C Vidal-Cabo"
"Evolution model for epidemic diseases based on the Kaplan-Meier curve determination","Mathematics",2020,"JM Calabuig;LM García-Raffi;A García-Valiente;EA Sánchez-Pérez"
"Banach lattice structures and concavifications in banach spaces","Mathematics",2020,"L Agud;JM Calabuig;MA Juan;EA Sanchez Perez"
"Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19","El profesional de la información",2020,"AF Sapena;JMC Rodríguez;MFP Mancebo;IS del Toro"
"-variations of vector measures with respect to vector measures and integral representation of operators","Banach Journal of Mathematical Analysis",2015,"O Blasco;JM Calabuig;EA Sánchez-Pérez"
"p-variation of vector measures with respect to bilinear maps","Bulletin of the Australian Mathematical Society",2008,"O Blasco;JM Calabuig"
"GRAPH DISTANCES FOR DETERMINING INTER-ENTITIES RELATIONS: A TOPOLOGICAL APPROACH TO FRAUD DETECTION (WORK IN PROGRESS)","",NA,"JM Calabuig;H Falciani;A Ferrer-Sapena;LM Garcia-Raffi;..."
"Metric symmetry and distance distribution functions on graphs","Aequationes mathematicae",2025,"JM Calabuig;EA Sánchez Pérez;S Sanjuan"
"Mathematical Modeling and Machine Learning for Predicting Shade-Seeking Behavior in Cows Under Heat Stress","arXiv preprint arXiv:",2025,"S Sanjuan;DA Méndez;R Arnau;JM Calabuig;X Aguirre;F Estellés"
"A Mathematical Model to Study Defensive Metrics in Football: Individual, Collective and Game Pressures","Mathematics",2024,"JM Calabuig;C Catalán;LM García-Raffi;EA Sánchez-Pérez"
"Lattice Lipschitz operators on space","arXiv preprint arXiv:",2024,"R Arnau;JM Calabuig;EA Sánchez-Pérez"
"Guía práctica¿ Cómo abrir los algoritmos públicos?","Universitat de València",2024,"JM Calabuig"
"Guía práctica¿ Cómo abrir los algoritmos públicos?. Recomendaciones para la implantación de registros de algoritmos públicos","Universitat Politècnica de València-Universitat de València",2024,"JM Calabuig Rodriguez;L Cotino Hueso;A Ferrer-Sapena;..."
"Moduli of Continuity in Metric Models and Extension of Livability Indices","Axioms",2024,"R Arnau;JM Calabuig;Á González;EA Sánchez Pérez"
"Enseñanza del aprendizaje por refuerzo con un sencillo ejemplo de minimización de funciones","Editorial Universitat Politècnica de València",2023,"AR Arnau Notari;LM García Raffi;JM Calabuig Rodriguez;..."
"Extension procedures for lattice Lipschitz operators on Euclidean spaces","Revista de la Real Academia de Ciencias Exactas Físicas y Naturales Serie A …",2023,"AR Arnau-Notari;JM Calabuig;E Erdogan;EA Sánchez Pérez"
"Neural networks as universal approximators","Selected aspects of complex, hypercomplex and fuzzy neural networks",2023,"JM Calabuig;LM Garcıa-Raffi"
"Selected aspects of complex, hypercomplex and fuzzy neural networks","arXiv preprint arXiv:",2022,"A Niemczynowicz;RA Kycia;M Jaworski;A Siemaszko;JM Calabuig;..."
"Modeling Hospital Resource Management during the COVID-19 Pandemic: An Experimental Validation","MDPI",2021,"JM Calabuig Rodríguez;E Jiménez Fernández;EA Sánchez Pérez;..."
"Where should I submit my work for publication? An asymmetrical classification model to optimize choice","Journal of Classification",2020,"A Ferrer-Sapena;JM Calabuig;LM García Raffi;EA Sánchez Pérez"
"Govern obert i accés a la informació: un estudi de cas sobre l'impacte en l'economia local","BiD: Textos universitaris de biblioteconomia i documentació",2020,"AF Sapena;JMC Rodríguez;EAS Pérez;CV Cabo"
"Completability and optimal factorization norms in tensor products of Banach function spaces","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2019,"JM Calabuig;M Fernández-Unzueta;F Galaz-Fontes;EA Sánchez-Pérez"
"Document downloaded from","",2018,"JM Calabuig;M Fernández-Unzueta;F Galaz-Fontes;EA Sánchez Pérez"
"Hacia nuevos modelos de comunicación científica. Sciechain: propuesta para la revalorización del trabajo científico basada en tecnología blockchain","",2018,"JS Bejarano-Ballen;F Peset;JM Calabuig;A Ferrer-Sapena;..."
"QUASI-PSEUDO-METRICS AND EXTENSION OF LIPSCHITZ-TYPE FUNCTIONS IN MACHINE LEARNING (WORK IN PROGRESS)","",2018,"JM CALABUIG;H FALCIANI;EA SÁNCHEZ-PÉREZ"
