"title","journal","year","otros_investigadores"
"Function spaces and operators between them","Springer",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Global wave front sets in ultradifferentiable classes","Results in Mathematics",2022,"V Asensio;C Boiti;D Jornet;A Oliaro"
"Análisis matemático","Universidad Politécnica de Valencia",2003,"D Jornet;V Montesinos;A Roca"
"Nuclear weighted composition operators on weighted Banach spaces of analytic functions","Proceedings of the American Mathematical Society",2021,"J Bonet;M Gómez-Collado;E Jordá;D Jornet"
"A note on supercyclic operators in locally convex spaces","Mediterranean Journal of Mathematics",2019,"AA Albanese;D Jornet"
"Perturbations of surjective convolution operators","Proceedings of the American Mathematical Society",2002,"C Fernandez;A Galbis;D Jornet"
"On the inclusion relations of global ultradifferentiable classes defined by weight matrices","Mediterranean Journal of Mathematics",2024,"C Boiti;D Jornet;A Oliaro;G Schindl"
"Construction of the log-convex minorant of a sequence ","arXiv preprint arXiv:",2024,"C Boiti;D Jornet;A Oliaro;G Schindl"
"Compact weighted composition operators on spaces of holomorphic functions on Banach spaces","Journal of Operator Theory",2023,"J Bonet;D Jornet;D Santacreu;P Sevilla-Peris"
"Fredholm Weighted Composition Operators on Weighted Banach Spaces of Analytic Functions of Type H-infinity","Journal of Function Spaces",2015,"MC Gómez Collado;D Jornet Casanova"
"Operadores Pseudodiferenciales en Clases no Casianalíticas de Tipo Beurling","Universitat Politècnica de València",2004,"DJ Casanova"
"On the compactness of the Weyl operator in Sω","Journal of Mathematical Analysis and Applications",2025,"V Asensio;C Boiti;D Jornet;A Oliaro"
"Construction of the log-convex minorant of a sequence ","Mathematische Nachrichten",2024,"B Chiara;J David;A Oliaro;S Gerhard"
"Correction to: A simple proof of Kotake–Narasimhan theorem in some classes of ultradifferentiable functions","Journal of Pseudo-Differential Operators and Applications",2024,"C Boiti;D Jornet"
"Mean-dispersion principles and the Wigner transform","The Journal of Geometric Analysis",2024,"C Boiti;D Jornet;A Oliaro"
"Duality and Linear Operators","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Spaces of Holomorphic and Differentiable Functions and Operators Between Them","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Locally Convex Spaces","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Schwartz Distributions and Linear Partial Differential Operators","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Convergence of Sequences of Functions","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Transitive and Mean Ergodic Operators","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Infinite Dimensional","",2018,"R Aron;J Bonet;CG Collado;D Jornet;M Maestre;M Acosta;O Blasco;..."
"Секция VI. КЛИФФОРДОВ, КВАТЕРНИОННЫЙ И ГАРМОНИЧЕСКИЙ АНАЛИЗЫ И ИХ ПРИЛОЖЕНИЯ","VIII МЕЖДУНАРОДНАЯ КОНФЕРЕНЦИЯ ПО МАТЕМАТИЧЕСКОМУ МОДЕЛИРОВАНИЮ",2017,"E Buzano;C Boiti;D Jornet;A Oliaro"
"WIGNER TYPE TRANSFORMS AND APPLICATIONS TO PDE","",2017,"E Buzano;C Boiti;D Jornet;A Oliaro"
"Mean Ergodic Composition Operators on Banach spaces of holomorphic functions","arXiv e-prints, arXiv:",2016,"M José Beltrán;MC Gómez;E Jordá;D Jornet"
"Topics in Complex Analysis and Operator Theory: Third Winter School in Complex Analysis and Operator Theory, February 2-5, 2010, Universidad Politécnica de Valencia, Valencia …","American Mathematical Soc.",2012,"O Blasco"
"Construction of the log‐convex minorant of a sequence M α α∈ N 0 d {M_α}_α∈N_0^d","Mathematische Nachrichten",NA,"C Boiti;D Jornet;A Oliaro;G Schindl"
"Workshop on Global and Microlocal Analysis","",NA,"M Cappiello;S Coriasco;S Fürdös;M Hitrik;H Jacobowitz;MR Jahnke;..."
"Mean ergodic composition operators on spaces of holomorphic functions","",NA,"DS Ferra"
"REGULARITY OF PDOAND WIGNER","",NA,"C BOITI;D JORNET"
