"title","journal","year","otros_investigadores"
"The effects of age and emotional valence on recognition memory: An ex‐Gaussian components analysis","Scandinavian journal of psychology",2014,"C Moret‐Tatay;A Moreno‐Cid;IIL Argimon;T Quarti Irigaray;..."
"A code to calculate (high order) Bessel functions based on the continued fractions method","Computer physics communications",1993,"YL Ratis;PF de Córdoba"
"Automation on the generation of genome-scale metabolic models","Journal of Computational Biology",2012,"R Reyes;D Gamermann;A Montagud;D Fuente;J Triana;JF Urchueguia;..."
"Proton and light ion induced charge exchange reactions in nuclei","Physica Scripta",1993,"E Oset;PF de Córdoba;J Nieves;MJ Vicente-Vacas"
"Hollow gold nanoparticles produced by femtosecond laser irradiation","The journal of physical chemistry letters",2020,"JC Castro-Palacio;K Ladutenko;A Prada;G González-Rubio;..."
"The role of age and emotional valence in word recognition: an ex-gaussian analysis","Studia Psychologica",2015,"A Moreno Cid;C Moret-Tatay;TQ Irigaray;IIL Argimon;M Murphy;..."
"Isoscalar Roper excitation in p (α, α′) reactions in the 10–15 GeV region","Physics Letters B",1996,"S Hirenzaki;E Oset;PF de Cordoba"
"Nodal solitons and the nonlinear breaking of discrete symmetry","Optics Express",2005,"A Ferrando;M Zacarés;P Andreés;PF de Córdoba;JA Monsoriu"
"Fluctuations in measured radioactive decay rates inside a modified Faraday cage: Correlations with space weather","Scientific Reports",2020,"V Milián-Sánchez;F Scholkmann;P Fernández de Córdoba;..."
"Emergent quantum mechanics as a thermal ensemble","International Journal of Geometric Methods in Modern Physics",2014,"PF De Córdoba;JM Isidro;MH Perea"
"Automatic classification of winding asymmetries in wound rotor induction motors based on bicoherence and fuzzy C-means algorithms of stray flux signals","IEEE Transactions on Industry Applications",2021,"MEI Martínez;JA Antonino-Daviu;PF de Córdoba;JA Conejero;L Dunai"
"Introductory quantum physics courses using a LabVIEW multimedia module","Computer Applications in Engineering Education",2007,"I Orquín;MÁ García‐March;PF De Córdoba;JF Urcheguía;JA Monsoriu"
"Evaluation of Fresnel integrals based on the continued fractions method","Applied Mathematics Letters",2005,"JL Bastardo;SA Ibrahim;PF De Córdoba;JFU Schölzel;YL Ratis"
"An analysis of the temperature field of the workpiece in dry continuous grinding","Journal of Engineering Mathematics",2010,"JL González–Santander;J Pérez;PF de Córdoba;JM Isidro"
"Synechocystis sp. PCC6803 metabolic models for the enhanced production of hydrogen","Critical reviews in biotechnology",2015,"A Montagud;D Gamermann;P Fernandez de Cordoba;JF Urchueguia"
"Detailed modelling of evaporators and condensers","",2000,"JM Corberán;PF De Cordoba;S Ortuno;V Ferri;P Montes"
"Teorıa de la Decisión: Contribuciones de von Neumann","Divulgaciones Matemáticas",1998,"C Gastaldi;M Urrea;PF de Córdoba"
"Perturbation analysis of the heat transfer in porous media with small thermal conductivity","Journal of mathematical analysis and applications",2011,"FR Villatoro;J Pérez;JLG Santander;MA Borovsky;YL Ratis;..."
"Determinación de las preferencias de los clientes internacionales para la práctica del turismo rural en la República de Cuba","PASOS Revista de Turismo y Patrimonio Cultural",2005,"IAC Toribio;PF de Córdoba Castellá;IO Serrano"
"The VHE SED modelling of Markarian 501 in 2009","Monthly Notices of the Royal Astronomical Society",2020,"S Sahu;CE Lopez Fortin;ME Iglesias Martinez;S Nagataki;..."
"Schroedinger vs. Navier–Stokes","Entropy",2016,"P Fernández de Córdoba;JM Isidro;J Vázquez Molina"
"Analysis of a passive heat sink for temperature stabilization of high-power LED bulbs","Journal of Physics: Conference Series",2015,"E Balvís;R Bendana;H Michinel;PF de Córdoba;A Paredes"
"A code to evaluate modified bessel functions based on thecontinued fraction method","Computer physics communications",1997,"J Segura;PF de Córdoba;YL Ratis"
"The imaginary part of the nucleon self-energy in hot nuclear matter","Nuclear Physics A",1996,"L Alvarez-Ruso;PF De Cordoba;E Oset"
"Limiting properties of the radial distribution function in electronic liquids","Journal of Physics A: Mathematical and General",1996,"IM Tkachenko"
"Ricci flow, quantum mechanics and gravity","International Journal of Geometric Methods in Modern Physics",2009,"JM Isidro;JLG Santander;P Fernandez De Cordoba"
"Modelling of compact evaporators and condensers","WIT Transactions on Engineering Sciences",2000,"JM Corberán;PF de Cordoba;SOVFJ Gonzalvez;T Setaro;G Boccardi"
"A mesonic decay in nuclei and the occupation number","Nuclear Physics A",1991,"PF De Córdoba;E Oset"
"Modeling, simulation, and temperature control of a thermal zone with sliding modes strategy","Mathematics",2019,"F Florez;P Fernández de Córdoba;JL Higón;G Olivar;J Taborda"
"New approach for phylogenetic tree recovery based on genome-scale metabolic networks","Journal of Computational Biology",2014,"D Gamermann;A Montagud;JA Conejero;JF Urchueguía;..."
"A note on the quantum-mechanical Ricci flow","International Journal of Modern Physics A",2009,"JM Isidro;JLG Santander;PFÁ De CÓrdoba"
"The Nevanlinna theorem of the classical theory of moments revisited","Journal of Applied Analysis",2001,"M Urrea;IM Tkachenko;P Fernández de Córdoba"
"Real-time scheduling and guidance of mobile robots on factory floors using monte carlo methods under windows nt","ETFA",2001,"M Zaera;M Esteve;CE Palau;JC Guerri;FJ Martinez;PF de Cordoba"
"Human reaction times: Linking individual and collective behaviour through physics modeling","Symmetry",2021,"JC Castro-Palacio;P Fernández-de-Córdoba;JM Isidro;S Sahu;..."
"Correlations between background radiation inside a multilayer interleaving structure, geomagnetic activity, and cosmic radiation: A fourth-order cumulant-based correlation analysis","Mathematics",2020,"ME Iglesias-Martínez;JC Castro-Palacio;F Scholkmann;..."
"A probabilistic classification procedure based on response time analysis towards a quick pre-diagnosis of student’s attention deficit","Mathematics",2019,"M Hernaiz-Guijarro;JC Castro-Palacio;E Navarro-Pardo;JM Isidro;..."
"Feature extraction and similarity of movement detection during sleep, based on higher order spectra and entropy of the actigraphy signal: Results of the Hispanic Community …","Sensors",2018,"ME Iglesias Martínez;JM García-Gomez;C Sáez;..."
"On a single server queue with arrivals in batches of variable size, general service in three fluctuating modes, balking, random breakdowns and a stand-by server during …","Investigación Operacional",2014,"KC Madan"
"Aequorin-expressing yeast emits light under electric control","Journal of biotechnology",2011,"C Vilanova;Á Hueso;C Palanca;G Marco;M Pitarch;E Otero;J Crespo;..."
"Estudio estadístico sobre los factores de riesgo en la formación de cataratas","Servicio de Publicaciones, Universidad Politécnica",1999,"LG Estornell;PF de Córdoba;RS Moscardó"
