"title","journal","year","otros_investigadores"
"Impulsive noise filters for colour images","Color Image and Video Enhancement",2015,"S Morillas;V Gregori;A Sapena;JG Camarena;B Roig"
"Fuzzy quasi-metrics for the Sorgenfrey line","Fuzzy Sets and Systems",2013,"V Gregori;S Morillas;B Roig"
"Fuzzy directional-distance vector filter","Applications of Fuzzy Sets Theory:",2007,"S Morillas;V Gregori;J Riquelme;B Defez;G Peris-Fajarnés"
"A study of neural network-based LCD display characterization","London Imaging Meeting",2021,"J Prats-Climent;L Gòmez-Robledo;R Huertas;S García-Nieto;..."
"Fuzzy free path detection based on dense disparity maps obtained from stereo cameras","International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems …",2012,"N Ortigosa;S Morillas;G Peris-Fajarnes;L Dunai"
"Flexural Strength Evaluation of Nonconstant Thickness Ceramic Floorings by Means of the Finite‐Element Method","International Journal of Applied Ceramic Technology",2010,"B Defez;G Peris‐Fajarnés;I Tortajada;F Brusola;S Morillas"
"Proposal of a new fidelity measure between computed image quality and observers quality scores accounting for scores variability","Journal of Visual Communication and Image Representation",2023,"P Latorre-Carmona;R Huertas;M Pedersen;S Morillas"
"Colour image denoising by eigenvector analysis of neighbourhood colour samples","Signal, Image and Video Processing",2020,"P Latorre-Carmona;JJ Miñana;S Morillas"
"Fuzzy metrics application in video spatial deinterlacing","Applications of Fuzzy Sets Theory:",2007,"J Riquelme;S Morillas;G Peris-Fajarnés;D Castro"
"New method for fast detection and removal of impulsive noise using fuzzy metrics","Image Analysis and Recognition: Third International Conference, ICIAR",2006,"JG Camarena;V Gregori;S Morillas;G Peris-Fajarnés"
"Mode choice support through an integrated Delphi-fuzzy logic model","Research in Transportation Business & Management",2024,"S Asgarpour;A Hartmann;S Morillas;J Santos"
"Graphs based methods for simultaneous smoothing and sharpening","MethodsX",2020,"C Pérez-Benito;C Jordán;JA Conejero;S Morillas"
"Cálculo de cubicaciones mediante aproximación funcional e integración: Un caso práctico para alumnos de ingeniería","Modelling in Science Education and Learning",2012,"FJ Cisneros;S Morillas;JG Camarena"
"On the importance of the choice of the (fuzzy) met-ric for a practical application","Applied Topology: Recent progress for Computer Science, Fuzzy Mathematics …",2010,"JG Camarena;S Morillas"
"Assessment of the learning competence of mathematics for freshmen of the computer science degree","IEEE EDUCON",2010,"JA Conejero;J Juan-Huguet;S Morillas;J Más;E Vendrell"
"Fuzzy metrics and color image filtering","Proceedings of the XVI Encuentro de Topología, Almería, Spain",2009,"S Morillas;A Sapena"
"A Fuzzy Logic Inference System for Display Characterization","Iberian Conference on Pattern Recognition and Image Analysis",2023,"K Almutairi;S Morillas;P Latorre-Carmona;M Dansoko"
"Fuzzy Inference System in a Local Eigenvector Based Color Image Smoothing Framework.","IMPROVE",2023,"K Almutairi;S Morillas;PL Carmona"
"A procedure for detection of border communities using convolution techniques","Modelling for Engineering & Human Behaviour",2021,"JM Montañana;A Hervás;S Morillas;PP Soriano Jiménez"
"Some aspects of the standard fuzzy metric","Proceedings of the Workshop in Applied Topology WiAT",2012,"V Gregori;JJ Minana;S Morillas"
"A new approach to occupancy map modeling in navigation assisted by computer vision","International Journ Engineering Intelligent Systems Electrical Engineering …",2011,"J Riquelme;N Ortigosa;T Magal-Royo;S Morillas;G Peris-Fajarnés"
"Disparity Maps for Free Path Detection.","VISAPP",2010,"N Ortigosa;S Morillas;G Peris-Fajarnés;L Dunai"
"A real-time person detection method for moving cameras","International Conference on Hybrid Artificial Intelligence Systems",2009,"J Oliver;A Albiol;S Morillas;G Peris-Fajarnés"
"A new fuzzy similarity measure for multichannel image processing","Actas del I Simposio sobre Lógica Fuzzy y Soft Computing",2005,"S Morillas;AJ Sánchez;P Latorre;GP Fajarnés"
"A comparative analysis of machine learning methods for display characterization","Displays",2024,"K Almutairi;S Morillas;P Latorre-Carmona;M Dansoko;MJ Gacto"
"Fuzzy Inference Systems to Fine-Tune a Local Eigenvector Image Smoothing Method","Electronics",2024,"K Almutairi;S Morillas;P Latorre-Carmona"
"Using fuzzy logic for analysis and optimization of color-difference databases","CEUR workshop proceedings. Proceedings of the",2024,"R Huertas;D Arranz;P Latorre-Carmona;S Morillas"
"PRESENTACIÓN DEL TEMA. Innovación educativa en arte, ciencia y sociedad.","Innovación educativa",2023,"DG Salom;SM Gómez"
"Image Noise Reduction by Means of Bootstrapping-Based Fuzzy Numbers","Applied Sciences",2022,"R Ghasemi;S Morillas;A Nezakati;M Rabiei"
"Detection of border communities using convolutiontechniques","Mathematical Modelling in Engineering & Human Behaviour: MME&HB",2022,"JMM Aliaga;AH Jorge;S Morillas;A Méndez"
"A new iterative inverse display model","Mathematical Modelling in Engineering & Human Behaviour: MME&HB",2022,"MJP Peñalver;SW Lee;C Jordan;ES Codesal;S Morillas"
"Using STRESS to compute the agrement between computed image quality measures and observers scores: advantages and open issues","Modelling for Engineering & Human Behaviour",2021,"S Morillas;P Latorre-Carmona;R Huertas;M Pedersen"
"Estudio probabilístico de confinamientos potenciales de grupos burbuja en educación infantil y primaria en la Comunitat Valenciana","Modelling in Science Education and Learning",2021,"A Fernández-Baíllo;C Jordán;S Morillas"
"Multiple objective optimization of sustainable pavement maintenance and rehabilitation strategies: a clustering procedure for selecting preferred Pareto optimal solutions","",2020,"JMO dos Santos;C Torres-Machi;S Morillas;V Cerezo"
"Diseño de filtros para procesamiento de imágenes basados en teoría de grafos","Universitat Politècnica de València",2016,"C Pérez Benito"
"WATS'16","WATS'",2016,"S Morillas;A Sapena"
"Graph theory methods for image processing: An image border detection method based on minimum spanning generating trees.","",2016,"CPBJA Conejero;C Jordán;S Morillas"
"A note on convergence in fuzzy metric spaces","Iranian Journal of Fuzzy Systems",2014,"V Gregori Gregori;JJ Miñana;S Morillas"
"A note on local bases and convergence in fuzzy metric spaces","TOPOLOGY AND ITS APPLICATIONS",2014,"JJ Miñana;S Morillas"
"Observer-independent quantitative measurement for the interpretation of 123I-mIBG Scintigraphy in pediatric neuroblastoma (NB)","EUROPEAN JOURNAL OF CANCER",2013,"R Martinez-Diaz;J Balaguer;S Morillas;P Bello;V Castel;A Canete;..."
"El concepto de métrica fuzzy a través del filtrado de imágenes digitales","Modelling in Science Education and Learning",2013,"JG Camarena;V Gregori;S Morillas;A Sapena"
"On the importance of metrics in practical applications","Modelling in Science Education and Learning",2011,"JG Camarena;S Morillas;FJ Cisneros"
"A Hybrid Real-Time Vision-Based Person Detection Method","Waves",2011,"J Oliver Moll;A Albiol Colomer;S Morillas;G Peris Fajarnes"
"An application of graph theory to colour image processing","MODELLING FOR ADDICTIVE BEHAVIOUR, MEDICINE AND ENGINEERING",2010,"C Jordán;S Morillas;E Sanabria-Codesal"
"An application-case for derivative learning: optimization in colour image filtering","IEEE EDUCON",2010,"S Morillas;A Sapena;JA Conejero;J Camacho"
"Derivative-based optimization in colour image filtering: an application for derivative learning","Modelling in Science Education and Learning",2009,"A Sapena;S Morillas;J Camacho"
"Avances en la evaluación de diferencias de color","",2009,"L Gómez Robledo;R Huertas Roa;M Melgosa Latorre;E Hita Villaverde;..."
"Nuevas tendencias de almacenamiento gráfico en internet","Caminando desde la idea hacia las alternativas del diseño: Congreso …",2009,"I Lengua;TM Royo;S Morillas;B Defez"
"Detección de caminos libres de obstáculos mediante mapas de profundidad","Caminando desde la idea hacia las alternativas del diseño: Congreso …",2009,"NO Araque;S Morillas;GP Fajarnés;B Defez"
"Examples of fuzzy metrics and applications","",2009,"S Morillas"
"Métricas fuzzy: una forma inteligente de medir","Matematicalia",2008,"S Morillas;A Sapena Piera;V Gregori Gregori"
"We present a scheme for image fusion based on a 2D implementation of the Wigner Distribution (WD) combined with a multisize windows technique. The joint space–frequency …","Journal of Visual Communication and Image Representation",2008,"R Redondo;S Fischer;F Šroubek;G Cristóbal"
"8 Contribution (v)","Fuzzy metrics and fuzzy logic for colour image filtering",2007,"S Morillas;V Gregori;G Peris-Fajarnés;A Sapena"
"12 Contribution (ix)","Fuzzy metrics and fuzzy logic for colour image filtering",2007,"S Morillas;S Schulte;EE Kerre;G Peris-Fajarnés"
"9 Contribution (vi)","Fuzzy metrics and fuzzy logic for colour image filtering",2007,"S Morillas;V Gregori;G Peris-Fajarnés;A Sapena"
"Research in Transportation Business & Management","",NA,"S Asgarpour;A Hartmann;S Morillas;J Santos"
"Searching communities’ in badly conditioned graphs (and 4)","",NA,"JM Montanana;A Hervás;S Morillas"
"Searching border communities’ in badly conditioned graphs: some ideas about that.","",NA,"JM Montañana;A Hervás;S Morillas;J Pellicer"
"Detection of border communities using convolution techniques","",NA,"JM Montanana;A Hervás;S Morillas;A Méndez"
"SIMULTANEOUS SMOOTHING AND SHARPENING OF COLOUR IMAGES","",NA,"C PÉREZ-BENITO;JA CONEJERO;C JORDÁN;S MORILLAS"
"MSEL","Modelling in Science Education and Learning",NA,"C Pérez-Benito;S Morillas;C Jordán;JA Conejero"
"MSEL","",NA,"FJ Cisneros;IESBA Alicante;S Morillas;JG Camarena"
"MSEL","",NA,"A Sapena;S Morillas;J Camacho"
"MSEL","",NA,"JG Camarena;V Gregori;S Morillas;A Sapena"
"Método avanzado de detección de personas en secuencias de vídeo","",NA,"J Oliver;A Albiol;S Morillas;G Peris-Fajarnés"
"PERCEPTUAL COLOR IMAGE SIMILARITY USING FUZZY METRICS","",NA,"S GRECOVA;S MORILLAS;A ŠOSTAK"
"ISWAT 2014","Workshop in Applied Topology",NA,"S Morillas;A Sapena"
"Using Fuzzy Metrics in Color Image Filtering","",NA,"S Morillas;A Sapena"
"FUZZY PEER GROUPS FOR COLOR IMAGE DENOISING","Proceedings of the",NA,"S Morillas;V Gregori;A Sapena;N Ortigosa"
"3D Environment Representation through Acoustic Images.","",NA,"DC Toledo;S Morillas;T Magal;G Peris-Fajarnés"
