"title","journal","year","otros_investigadores"
"Complex interpolation of spaces of integrable functions with respect to a vector measure","Collectanea mathematica",2010,"A Fernandez;F Mayoral;F Naranjo;EA Sánchez-Pérez"
"Domination of operators on function spaces","Mathematical Proceedings of the Cambridge Philosophical Society",2009,"A Defant;EAS Pérez"
"Kaplan-Meier type survival curves for Covid-19: a health data based decision-making tool","Frontiers in public health",2021,"JM Calabuig;LM García-Raffi;A García-Valiente;EA Sánchez-Pérez"
"Maurey–Rosenthal factorization for p-summing operators and Dodds–Fremlin domination","Journal of operator theory",2012,"C Palazuelos;EAS Perez;P Tradacete"
"The canonical partial metric and the uniform convexity on normed spaces","Applied general topology",2005,"S Oltra;S Romaguera;EA Sánchez-Pérez"
"A characterization of generalized monotone normed cones","Acta Mathematica Sinica, English Series",2007,"S Romaguera;EA Sánchez-Pérez;O Valero"
"SPACES L₂ (λ) OF A POSITIVE VECTOR MEASURE λ AND GENERALIZED FOURIER COEFFICIENTS","The Rocky Mountain Journal of Mathematics",2005,"S Oltra;EAS Pérez;O Valero"
"Lattice copies of  and  in spaces of integrable functions for a vector measure","Dissertationes mathematicae",2014,"S Okada;WJ Ricker;EAS Pérez"
"Quasi-normed monoids and quasi-metrics","Publ. Math. Debrecen",2003,"S Romaguera;EA Sánchez-Pérez;O Valero"
"Extensions of asymmetric norms to linear spaces","Università degli Studi di Trieste. Dipartimento di Scienze Matematiche",2001,"LM García-Raffi;S Romaguera;EA Sánchez Pérez"
"Unsupervised machine learning approach for building composite indicators with fuzzy metrics","Expert Systems with Applications",2022,"E Jiménez-Fernández;A Sánchez;EAS Pérez"
"Asymmetric distances to improve n-dimensional Pareto fronts graphical analysis","Information Sciences",2016,"X Blasco;G Reynoso-Meza;EAS Pérez;JVS Pérez"
"Mathematical properties of weighted impact factors based on measures of prestige of the citing journals","Scientometrics",2015,"A Ferrer-Sapena;EA Sánchez-Pérez;LM González;F Peset;..."
"Factorization of absolutely continuous polynomials","Journal of Mathematical Analysis and Applications",2013,"D Achour;E Dahia;P Rueda;EAS Pérez"
"Optimal range theorems for operators with p-th power factorable adjoints","Banach Journal of Mathematical Analysis",2012,"OGBG Bravo;EAS Perez"
"On the Structure of L1 of a Vector Measure via its Integration Operator","Integral Equations and Operator Theory",2009,"JM Calabuig;J Rodríguez;EA Sánchez-Pérez"
"Aplicaciones de la tecnología blockchain en la documentación científica: situación actual y perspectivas","Profesional de la información",2019,"A Ferrer-Sapena;EA Sánchez-Pérez"
"Extreme points and geometric aspects of compact convex sets in asymmetric normed spaces","Topology and its Applications",2016,"N Jonard-Pérez;EAS Perez"
"Compactness in L1 of a vector measure","Studia Mathematica",2014,"JM Calabuig Rodriguez;S Lajara;J Rodríguez Ruiz;EA Sánchez Pérez"
"Iniciación a la programación para la resolución de problemas matemáticos con Turbo Pascal","Universidad Politécnica, Servicio de Publicaciones",1995,"EA Martínez;EAS Pérez"
"Gobierno abierto y acceso a la información: un estudio de caso sobre el impacto en la economía local","BiD: textos universitaris de biblioteconomia i documentació",2020,"A Ferrer Sapena;JM Calabuig;EA Sánchez Pérez;C Vidal-Cabo"
"Strong factorizations between couples of operators on Banach function spaces","Journal of Convex Analysis",2013,"O Delgado Garrido;EA Sánchez Pérez"
"Radon–Nikodým derivatives for vector measures belonging to Köthe function spaces","Journal of mathematical analysis and applications",2008,"JM Calabuig;P Gregori;EAS Pérez"
"Spaces of integrable functions with respect to a vector measure and factorizations through Lp and Hilbert spaces","Journal of mathematical analysis and applications",2007,"A Fernández;F Mayoral;F Naranjo;C Sáez;EA Sánchez-Pérez"
"The dual complexity space as the dual of a normed cone","Electronic Notes in Theoretical Computer Science",2006,"S Romaguera;EA Sánchez-Pérez;O Valero"
"Vector measure range duality and factorizations of (D, p)-summing operators from Banach function spaces","Bulletin of the Brazilian Mathematical Society, New Series",2004,"F Martínez-Giménez*;EA Sánchez Pérez**"
"Spaces of integrable functions with respect to vector measures of convex range and factorization of operators from Lp-spaces","Pacific journal of mathematics",2002,"EA Sánchez Pérez"
"On the structure of tensor norms related to -absolutely continuous operators","Collectanea Mathematica",1996,"EAS Pérez"
"Semi-Lipschitz functions and machine learning for discrete dynamical systems on graphs","Machine Learning",2022,"H Falciani;EA Sánchez-Pérez"
"Optimal Extensions for pth Power Factorable Operators","Mediterranean Journal of Mathematics",2016,"O Delgado;EA Sánchez Pérez"
"Bartle-Dunford-Schwartz integration for positive vector measures and representation of quasi-Banach lattices","Journal of Nonlinear and Convex Analysis",2016,"EA Sánchez Pérez;P Tradacete Pérez"
"Product spaces generated by bilinear maps and duality","Czechoslovak Mathematical Journal",2015,"EA Sánchez Pérez"
"Factorizing kernel operators","Integral Equations and Operator Theory",2013,"OG Bravo;EAS Pérez"
"Spaces of p-integrable functions with respect to a vector measure defined on a delta-ring","Operators and Matrices",2012,"JM Calabuig Rodriguez;MA Juan Blanco;EA Sánchez Pérez"
"A Komlós theorem for abstract Banach lattices of measurable functions","Journal of mathematical analysis and applications",2011,"EJ Fernández;MA Juan;EAS Pérez"
"Integration with respect to a vector measure and function approximation","Abstract and Applied Analysis",2000,"LM García-Raffi;D Ginestar;EA Sánchez-Pérez"
"Design trend forecasting by combining conceptual analysis and semantic projections: New tools for open innovation","Journal of Open Innovation: Technology, Market, and Complexity",2021,"A Manetti;A Ferrer-Sapena;EA Sánchez-Pérez;P Lara-Navarra"
"Closed injective ideals of multilinear operators, related measures and interpolation","Mathematische Nachrichten",2020,"A Manzano;P Rueda;EA Sánchez‐Pérez"
"Product factorability of integral bilinear operators on Banach function spaces","Positivity",2019,"E Erdoğan;EA Sánchez Pérez;Ö Gök"
"(p, q)-Regular operators between Banach lattices","Monatshefte für Mathematik",2019,"EA Sánchez Pérez;P Tradacete"
"Tensor characterizations of summing polynomials","Mediterranean Journal of Mathematics",2018,"D Achour;A Alouani;P Rueda;EA Sanchez Perez"
"Traced tensor norms and multiple summing multilinear operators","Linear and Multilinear Algebra",2017,"P Rueda;EA Sánchez-Pérez;A Tallab"
"Compact convex sets in 2-dimensional asymmetric normed lattices","Quaestiones Mathematicae",2016,"N Jonard-Pérez;EA Sánchez-Pérez"
"Tensor product representation of the (pre) dual of the Lp-space of a vector measure","Journal of the Australian Mathematical Society",2009,"I Ferrando;EAS Pérez"
"Commutative sequences of integrable functions and best approximation with respect to the weighted vector measure distance","Integral Equations and Operator Theory",2006,"LMG Raffi;EAS Pérez;JVS Pérez"
"Normed semialgebras: a mathematical model for the complexity analysis of programs and algorithms","Proc.",2003,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez;O Valero"
"Ideales de operadores absolutamente continuos y normas tensoriales asociadas","Tesis doctoral. Universidad Politécnica de Valencia. Valencia",1997,"EA Sánchez Pérez"
"Convolution-continuous bilinear operators acting on Hilbert spaces of integrable functions","",2018,"E Erdoğan;JM Calabuig;EA Sanchez Perez"
"Compactness in spaces of -integrable functions with respect to a vector measure","",2015,"P Rueda;EA Sánchez-Pérez"
"Maurey-Rosenthal domination for abstract Banach lattices","Journal of Inequalities and Applications",2013,"MA Juan;EA Sánchez Pérez"
"Fourier Transform and Convolutions on L               p                of a Vector Measure on a Compact Hausdorff Abelian Group","Journal of Fourier Analysis and Applications",2013,"JM Calabuig;F Galaz-Fontes;EM Navarrete;EA Sánchez-Pérez"
"Vector measure orthonormal systems and self-weighted functions approximation","Publications of the Research Institute for Mathematical Sciences",2005,"LM García-Raffi;D Ginestar;EAS Pérez"
"Las prácticas de modelización físico-matemática: innovación universitaria desde un punto de vista internacional","Uno: Revista de didáctica de las matematicas",2002,"EAS Pérez;JVS Pérez;F de Campo;LM García"
"Álgebra, Cálculo y Mecánica para ingenieros","RA-MA",1997,"E Checa;MJ Felipe;J Marín;EA Sánchez-Pérez;JV Sánchez-Pérez"
"Computing optimal distances to pareto sets of multi-objective optimization problems in asymmetric normed lattices","Acta Applicandae Mathematicae",2019,"X Blasco;G Reynoso-Meza;EA Sánchez-Pérez;JV Sánchez-Pérez"
"On p-Dunford integrable functions with values in Banach spaces","Journal of Mathematical Analysis and Applications",2018,"JM Calabuig;J Rodríguez;P Rueda;EA Sánchez-Pérez"
"The Daugavet equation for bounded vector-valued functions","The Rocky Mountain Journal of Mathematics",2017,"S Brach;EAS Pérez;D Werner"
"Factorization theorems for homogeneous maps on Banach function spaces and approximation of compact operators","Mediterranean Journal of Mathematics",2015,"P Rueda;EA Sánchez-Pérez"
"Multiplication operators in Köthe–Bochner spaces","Journal of mathematical analysis and applications",2011,"JM Calabuig;J Rodriguez;EA Sánchez-Pérez"
"Weak continuity of Riemann integrable functions in Lebesgue-Bochner spaces","Acta Mathematica Sinica, English Series",2010,"JM Calabuig;J Rodriguez;EA Sanchez-Perez"
"Asymmetric norms and optimal distance points in linear spaces","Topology and its Applications",2008,"LMG Raffi;EAS Pérez"
"Asymptotic domination of operators on Köthe function spaces and convergence of sequences","Mathematische Nachrichten",2006,"EA Sánchez Pérez"
"Domination spaces and factorization of linear and multilinear summing operators","Quaestiones Mathematicae",2016,"D Achour;E Dahia;P Rueda;EA Sánchez-Pérez"
"Strong extensions for q-summing operators acting in p-convex Banach function spaces for ","Positivity",2016,"O Delgado;EAS Pérez"
"Köthe dual of Banach lattices generated by vector measures","Monatshefte für Mathematik",2014,"M Mastyło;EA Sánchez-Pérez"
"On completely continuous integration operators of a vector measure","J. Convex Anal",2014,"JM Calabuig;J Rodríguez;EA Sánchez-Pérez"
"Positive Representations of L1 of a Vector Measure","Positivity",2007,"R del Campo;EA Sánchez-Pérez"
"Dominated extensions of functionals and V-convex functions of cancellative cones","Bulletin of the Australian Mathematical Society",2003,"S Romaguera;EAS Pérez;O Valero"
"Didáctica empírica de la forma molecular","Enseñanza de las ciencias: revista de investigación y experiencias …",1989,"F Torrens;ES Pérez;JS Marín"
"Eigenmeasures and stochastic diagonalization of bilinear maps","Mathematical Methods in the Applied Sciences",2021,"E Erdoğan;EA Sanchez Perez"
"Self-defined information indices: application to the case of university rankings","Scientometrics",2020,"A Ferrer-Sapena;E Erdogan;E Jiménez-Fernández;EA Sánchez-Pérez;..."
"Measuring Time-Dynamics and Time-Stability of Journal Rankings in Mathematics and Physics by Means of Fractional p-Variations","Publications",2017,"A Ferrer-Sapena;S Díaz-Novillo;EA Sánchez-Pérez"
"Improving integrability via absolute summability: a general version of Diestel’s Theorem","Positivity",2016,"D Pellegrino;P Rueda;EA Sánchez-Pérez"
"Factorization theorems for multiplication operators on Banach function spaces","Integral Equations and Operator Theory",2014,"EA Sánchez Pérez"
"Strongly embedded subspaces of p-convex Banach function spaces","Positivity",2013,"JM Calabuig;J Rodríguez;EA Sánchez-Pérez"
"Álgebra lineal y juegos de mesa","Modelling in Science Education and Learning",2013,"JM Calabuig;LM Garcia-Raffi;EA Sánchez-Pérez"
"Strong factorization of operators on spaces of vector measure integrable functions and unconditional convergence of series","Mathematische Zeitschrift",2007,"JM Calabuig;F Galaz-Fontes;E Jiménez-Fernández;EA Sánchez Pérez"
"A phenomenological model for sonic crystals based on artificial neural networks","The Journal of the Acoustical Society of America",2006,"E Fuster-Garcia;V Romero-Garcia;JVS Pérez;LM Garcia-Raffi;..."
"Extension of semi-Lipschitz maps on non-subadditive quasi-metric spaces: New tools for Artificial Intelligence","Quaestiones Mathematicae",2024,"R Arnau;N Jonard-Pérez;EA Sánchez Pérez"
"Index spaces and standard indices in metric modelling","Vilnius University",2022,"E Erdogan;E Jiménez Fernández"
"Closed surjective ideals of multilinear operators and interpolation","Banach Journal of Mathematical Analysis",2021,"A Manzano;P Rueda;EA Sánchez-Pérez"
"Applications of blockchain technology in scientific documentation: current situation and perspectives","El profesional de la información",2019,"A Ferrer Sapena;EA Sánchez Pérez"
"Summability in of a vector measure","Mathematische Nachrichten",2017,"JM Calabuig;J Rodríguez;EA Sánchez‐Pérez"
"Extending and factorizing bounded bilinear maps defined on order continuous Banach function spaces","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie …",2014,"JM Calabuig;M Fernandez Unzueta;F Galaz-Fontes;EA Sánchez-Pérez"
"Domination and factorization of multilinear operators","Journal of Convex Analysis",2013,"EAS Pérez"
"Interpolation subspaces of L^ 1 of a vector measure and norminequalities for the integration operator","Contemporary Mathematics",2012,"JM Calabuig Rodriguez;J Rodríguez Ruiz;EA Sánchez Pérez"
"First MPD Automated System Application in Offshore Gulf of Mexico Well Confirms Method, Huge Benefits","SPE Latin America and Caribbean Petroleum Engineering Conference, SPE-",2010,"S Ramirez;R Aguilar;R Herrera;V Vallejo;E Perez;L Giral;..."
"The Goldstine theorem for asymmetric normed linear spaces","Topology and its Applications",2009,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Rendimiento académico y modelos virtuales de enseñanza universitaria en Economía de la Empresa. Nuevos retos hacia la globalización docente en el marco del Espacio Europeo de …","Estableciendo puentes en una economía global. Escuela Superior de Gestión …",2008,"L Rivero;R Samino;E Pérez"
"On ultra-products of some families of composition operators between certain finite dimensional lp spaces","Revista Colombiana de Matemáticas",2001,"JA López Molina;EA Sánchez Pérez"
"A symmetric tensor norm extending the Hilbert-Schmidt norm to the class of Banach spaces","Note di Matematica",1994,"EA Sánchez Pérez"
"Didàctica empírica de la congelació de l'aigua","Actes del II Sympòsium sobre l’Ensenyament de les Ciències Naturals …",1989,"F Torrens;J Sánchez-Marín;E Sánchez-Pérez"
"Estudi interdisciplinari de la congelació de l'aigua","Actes del II Sympòsium sobre l’Ensenyament de les Ciències Naturals …",1989,"F Torrens;J Sánchez-Marín;E Sánchez-Pérez"
"Extension procedures for lattice Lipschitz operators on Euclidean spaces","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2023,"R Arnau;JM Calabuig;E Erdoğan;EA Sánchez Pérez"
"Approximate diagonal integral representations and eigenmeasures for Lipschitz operators on Banach spaces","Mathematics",2022,"E Erdoğan;EA Sánchez Pérez"
"Modeling hospital resource management during the covid-19 pandemic: An experimental validation","Econometrics",2021,"JM Calabuig;E Jiménez-Fernández;EA Sánchez-Pérez;S Manzanares"
"Extension of Lipschitz-type operators on Banach function spaces","",2021,"WV Cavalcante;P Rueda;EA Sánchez-Pérez"
"Maximal factorization of operators acting in Köthe–Bochner spaces","The Journal of Geometric Analysis",2021,"JM Calabuig;M Fernández-Unzueta;F Galaz-Fontes;EA Sánchez-Pérez"
"Integral representation of product factorable bilinear operators and summability of bilinear maps on C (K)-spaces","Journal of Mathematical Analysis and Applications",2020,"E Erdoğan;EAS Pérez"
"-Regularity and Weights for Operators Between -Spaces","Zeitschrift für Analysis und ihre Anwendungen",2020,"EAS Pérez;P Tradacete"
"Representation and factorization theorems for almost-Lp-spaces","Indagationes Mathematicae",2019,"JM Calabuig;OG Bravo;MA Juan;EAS Pérez"
"Factorization of operators through Orlicz spaces","Bulletin of the Malaysian Mathematical Sciences Society",2017,"M Mastyło;EA Sánchez Pérez"
"Optimal extensions of compactness properties for operators on Banach function spaces","Topology and its Applications",2016,"JM Calabuig;EJ Fernández;MA Juan;EAS Pérez"
"Álgebra lineal y descomposición en valores singulares","Modelling in Science Education and Learning",2015,"JM Calabuig;LM Garcia Raffi;EA Sánchez-Perez"
"Neural network for estimating energy expenditure in paraplegics from heart rate","International journal of sports medicine",2014,"X García-Massó;P Serra-Añó;L Garcia-Raffi;E Sanchez-Perez;..."
"Weak orthogonal sequences in  of a vector measure and the       Menchoff-Rademacher Theorem","Bulletin of the Belgian Mathematical Society-Simon Stevin",2012,"EJ Fernández;EAS Pérez"
"The p-Daugavet property for function spaces","Archiv der Mathematik",2011,"EA Sanchez Perez;D Werner"
"The geometry of Lp-spaces over atomless measure spaces and the Daugavet property","Freie Univ., Fachbereich Mathematik und Informatik",2010,"EAS Perez;D Werner"
"Métodos numéricos con Mathematica","Alfaomega",2005,"LMG Raffi"
"The complexity space of a valued linearly ordered set","Electronic Notes in Theoretical Computer Science",2003,"S Romaguera;EA Sánchez-Pérez;O Valero"
"The associated tensor norm to (q,p)-absolutely summing operators on C(K)-Spaces","Czechoslovak Mathematical Journal",1997,"JAL Molina;EAS Pérez"
"Lipschitz (q, p)-Summing Maps from C(K)-Spaces to Metric Spaces","The Journal of Geometric Analysis",2023,"M Mastyło;EAS Pérez"
"On vector measures with values in ","arXiv preprint arXiv:",2023,"S Okada;J Rodríguez;EA Sánchez-Pérez"
"When and where the Orlicz and Luxemburg (quasi-) norms are equivalent?","Journal of Mathematical Analysis and Applications",2020,"R del Campo;A Fernández;F Mayoral;F Naranjo;EA Sánchez-Pérez"
"Lorentz spaces of vector measures and real interpolation of operators","Quaestiones Mathematicae",2020,"R Del Campo;A Fernández;F Mayoral;F Naranjo;EA Sánchez Pérez"
"A class of summing operators acting in spaces of operators","arXiv preprint arXiv:",2020,"J Rodríguez;EA Sánchez-Pérez"
