"title","journal","year","otros_investigadores"
"Research Article The Polynomial Pivots as Initial Values for a New Root-Finding Iterative Method","",2015,"M Lázaro;P Martín;A Agüero;I Ferrer"
"A Teaching Experience: Aeroelasticity and the Finite Element Method","Modelling in Science Education and Learning",2015,"M Lázaro"
"La torsión alabeada como secuencia de infinitos problemas de flexión","Modelling in Science Education and Learning",2014,"M Lázaro;I Ferrer"
"Approximate Solutions for Visco-Elastically Damped Beams","CIVIL-COMP PROCEEDINGS БИБЛИОМЕТРИЧЕСКИЕ ПОКАЗАТЕЛИ: Входит в РИНЦ®: да …",2014,"M Lázaro;CF Casanova;L Pallarés;P Martín"
"Recursive Computation of Complex Frequencies of Vibrating Non-Viscous Damped Systems","CIVIL-COMP PROCEEDINGS БИБЛИОМЕТРИЧЕСКИЕ ПОКАЗАТЕЛИ: Входит в РИНЦ®: да …",2014,"M Lázaro;CF Casanova;P Fajardo;P Martín"
"The warping torsion as a sequence of infinite bending problems","Modelling in Science Education and Learning",2014,"M Lázaro;I Ferrer"
"Modelización no lineal de secciones aeronáuticas con Excel-Solver","Modelling in Science Education and Learning",2013,"M Lázaro;JL Pérez-Aparicio"
"On the Accuracy of a Four-Node Delaminated Composite Plate Element and Its Application to Damage Detection. Article 061003","Journal of Vibration and Acoustics",2013,"C Fernández Casanova;A Gallego-Molina;M Lázaro"
"A new quadrilateral delaminated composite plate element.","IX Congreso Nacional de Materiales Compuestos. Girona (Spain)",2011,"CF Casanova;JL Pérez-Aparicio;M Lázaro"
"Propuesta modelo viscoso equivalente para viga timoshenko con comportamiento viscoelástico","Congress on Numerical Methods in Engineering. Coimbra (Portugal)",2011,"M Lázaro;JL Pérez-Aparicio"
"An Analytical Approach to the Computation of the Frequency Response Function.","The",2010,"M Lázaro;JL Pérez-Aparicio;J Gómez"
"NEXT: A Neutrinoless Double Beta Decay Experiment with a Gaseous Xenon TPC","European Physical Society Europhysics Conference on High Energy Physics",2009,"T Lux;F Granena;F Nova;J Rico;DR Nygren;JAS Barata;F Borges;..."
"NEXT, a HPGXe TPC for neutrinoless double beta decay searches","arXiv e-prints, arXiv:",2009,"T Lux;F Nova;J Rico;F Sanchez;DR Nygren;JAS Barata;F Borges;..."
"Proyecto de ampliación de viaductos en zona sísmica. Principios de diseño y análisis sismorresistente","III Congreso de Puentes y Estructuras de Edificación. Zaragoza (Spain)",2005,"I Ferrer;M Lázaro;M Collado;R Martí"
