"title","journal","year","otros_investigadores"
"Bispectral Wavelet Time-Frequency Analysis for the Detection of Field Winding Faults in Synchronous Motors","",2024,"MEI Martínez;JA Antonino-Daviu;L Dunai;CA Platero;JA Conejero;..."
"A new paradigm in the logistic and similar maps: time stepping schemes","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2024,"JA Conejero;Ò Garibo-i-Orts;C Lizama"
"A method for the dynamics of vortices in a Bose-Einstein condensate: analytical equations of the trajectories of phase singularities","Condensed Matter",2023,"S De María-García;A Ferrando;JA Conejero;PF De Córdoba;..."
"A pre-processing procedure for the implementation of the Greedy-Rank One Algorithm to solve high–dimensional linear systems","AIMS Mathematics",2023,"JA Conejero;A Falcó;M Mora–Jiménez"
"When Does Chaos Appear While Driving? Learning Dynamical Systems via Car-Following Models","Mathematics Magazine",2022,"JA Conejero;M Murillo-Arcila;JM Seoane;JB Seoane-Sepúlveda"
"Envelope Spectral Kurtosis and SVD Analysis of Stray Flux Signals for the Diagnosis of Field Winding Faults in Synchronous Motors","",2021,"MEI Martínez;JA Antonino-Daviu;C Platero;L Dunai;A Conejero;..."
"Divisibility networks of the rational numbers in the unit interval","Symmetry",2020,"PA Solares-Hernández;MA García-March;JA Conejero"
"Rational Design of a Genetic Finite State Machine: Combining Biology, Engineering, and Mathematics for Bio-Computer Research","Mathematics",2020,"D Fuente;Ó Garibo i Orts;JA Conejero;JF Urchueguía"
"A SIR-based model for contact-based messaging applications supported by permanent infrastructure","Discrete and Continuous Dynamical Systems-S",2019,"JA Conejero;E Hernández-Orallo;P Manzoni;M Murillo-Arcila"
"Multiplicative structures of hypercyclic functions for convolution operators","J. Oper. Theory",2018,"L Bernal-Gonzalez;JA Conejero;G Costakis;JB Seoane-Sepulveda"
"5phero Kids. Una aplicación educativa para alumnos de Educación Infantil","Ediciones Universidad de Salamanca (España)",2016,"J Ruiz Calvo;S López Fernández"
"Telecochips: Promoviendo la Ingeniería en Telecomunicación entre los jóvenes estudiantes","VAEP-RITA. Versión Abierta Español-Portugués",2015,"MC Bachiller Martin;JA Conejero"
