"title","journal","year","otros_investigadores"
"Sound absorption and diffusion by 2D arrays of Helmholtz resonators","Applied Sciences",2020,"I Herrero-Durá;A Cebrecos;R Picó;V Romero-García;LM García-Raffi;..."
"Broadband quasi perfect absorption using chirped multi-layer porous materials","AIP Advances",2016,"N Jiménez;V Romero-García;A Cebrecos;R Pico;VJ Sánchez-Morcillo;..."
"Enhancement of sound by soft reflections in exponentially chirped crystals","AIP Advances",2014,"A Cebrecos;R Picó;VJ Sánchez-Morcillo;K Staliunas;V Romero-García;..."
"Targeted band gap creation using mixed sonic crystal arrays including resonators and rigid scatterers","Applied physics letters",2007,"E Fuster-Garcia;V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Evanescent waves and deaf bands in sonic crystals","Aip Advances",2011,"V Romero-García;LM Garcia-Raffi;JV Sánchez-Pérez"
"Stealth acoustic materials","Physical Review Applied",2019,"V Romero-García;N Lamothe;G Theocharis;O Richoux;LM Garcia-Raffi"
"High-order acoustic Bessel beam generation by spiral gratings","Physics Procedia",2015,"N Jiménez;VJ Sánchez-Morcillo;R Pico;LM Garcia-Raffi;..."
"Perfect, broadband, and sub-wavelength absorption with asymmetric absorbers: Realization for duct acoustics with 3D printed porous resonators","Journal of Sound and Vibration",2022,"J Boulvert;T Humbert;V Romero-García;G Gabard;ER Fotsing;A Ross;..."
"Limits of flexural wave absorption by open lossy resonators: reflection and transmission problems","New Journal of Physics",2019,"J Leng;F Gautier;A Pelat;R Pico;JP Groby;V Romero-García"
"Experimental evidence of absolute bandgaps in phononic crystal pipes","Applied Physics Letters",2020,"J Plisson;A Pelat;F Gautier;VR Garcia;T Bourdon"
"Theoretical and experimental evidence of level repulsion states and evanescent modes in sonic crystal stubbed waveguides","New Journal of Physics",2012,"V Romero-García;JO Vasseur;LM Garcia-Raffi;AC Hladky-Hennion"
"Overlapping of acoustic bandgaps using fractal geometries","Europhysics Letters",2010,"S Castiñeira-Ibáñez;V Romero-García;JV Sánchez-Pérez;..."
"Iridescent perfect absorption in critically-coupled acoustic metamaterials using the transfer matrix method","Applied Sciences",2017,"N Jiménez;JP Groby;V Pagneux;V Romero-García"
"Broadband transmission loss using the overlap of resonances in 3D sonic crystals","Crystals",2016,"A Lardeau;JP Groby;V Romero-García"
"Formation of collimated sound beams by three-dimensional sonic crystals","Journal of Applied Physics",2012,"A Cebrecos;V Romero-García;R Pico;I Pérez-Arjona;V Espinosa;..."
"Spiral sound-diffusing metasurfaces based on holographic vortices","Scientific reports",2021,"N Jiménez;JP Groby;V Romero-García"
"Multimodal reduction of acoustic radiation of thin plates by using a single piezoelectric patch with a negative capacitance shunt","Applied Acoustics",2019,"C Bricault;C Pézerat;M Collet;A Pyskir;P Perrard;G Matten;..."
"Analytical model to predict the effect of a finite impedance surface on the propagation properties of 2D sonic crystals","Journal of Physics D: Applied Physics",2011,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"The Transfer Matrix Method in Acoustics: Modelling One-Dimensional Acoustic Systems, Phononic Crystals and Acoustic Metamaterials","Acoustic Waves in Periodic Structures, Metamaterials, and Porous Media: From …",2021,"N Jiménez;JP Groby;V Romero-García"
"Numerical resolution of the hyperbolic heat equation using smoothed mathematical functions instead of Heaviside and Dirac delta distributions","International communications in heat and mass transfer",2013,"MJ Rivera;M Trujillo;V Romero-García;JAL Molina;E Berjano"
"Broadband reduction of the specular reflections by using sonic crystals: A proof of concept for noise mitigation in aerospace applications","Aerospace Science and Technology",2018,"LM García-Raffi;LJ Salmeron-Contreras;I Herrero-Durá;R Picó;..."
"Bright and gap solitons in membrane-type acoustic metamaterials","Physical Review E",2017,"J Zhang;V Romero-García;G Theocharis;O Richoux;V Achilleos;..."
"Rapid additive manufacturing of optimized anisotropic metaporous surfaces for broadband absorption","Journal of Applied Physics",2021,"T Cavalieri;J Boulvert;V Romero-García;G Gabard;M Escouflaire;..."
"3D-printed sound absorbing metafluid inspired by cereal straws","Scientific Reports",2019,"W Huang;L Schwan;V Romero-García;JM Génevaux;JP Groby"
"Subwavelength acoustic vortex beams using self-demodulation","Physical Review Applied",2021,"N Jiménez;J Ealo;RD Muelas-Hurtado;A Duclos;V Romero-García"
"Periodic systems as road traffic noise reducing devices: Prototype and standardization","Environmental Engineering and Management Journal",2015,"S Castiñeira-Ibáñez;V Romero-García;JV Sánchez-Pérez;..."
"Level repulsion and evanescent waves in sonic crystals","Physical Review B—Condensed Matter and Materials Physics",2011,"V Romero-García;JO Vasseur;AC Hladky-Hennion;LM Garcia-Raffi;..."
"Graded and anisotropic porous materials for broadband and angular maximal acoustic absorption","Materials",2020,"T Cavalieri;J Boulvert;G Gabard;V Romero-García;M Escouflaire;..."
"General method to retrieve all effective acoustic properties of fully-anisotropic fluid materials in three dimensional space","Journal of Applied Physics",2019,"A Terroir;L Schwan;T Cavalieri;V Romero-García;G Gabard;JP Groby"
"Experimental validation of deep-subwavelength diffusion by acoustic metadiffusers","Applied Physics Letters",2019,"E Ballestero;N Jiménez;JP Groby;S Dance;H Aygun;V Romero-García"
"Second-harmonic generation in membrane-type nonlinear acoustic metamaterials","Crystals",2016,"J Zhang;V Romero-García;G Theocharis;O Richoux;V Achilleos;..."
"Nonreciprocal and even Willis couplings in periodic thermoacoustic amplifiers","Physical Review B",2021,"C Olivier;G Poignand;M Malléjac;V Romero-García;G Penelet;A Merkel;..."
"Analytical modeling of one-dimensional resonant asymmetric and reciprocal acoustic structures as Willis materials","New Journal of Physics",2021,"JP Groby;M Mallejac;A Merkel;V Romero-García;V Tournat;D Torrent;..."
"Natural sonic crystal absorber constituted of seagrass (Posidonia Oceanica) fibrous spheres","Scientific Reports",2021,"L Barguet;V Romero-García;N Jiménez;LM Garcia-Raffi;..."
"Acoustic characterization of silica aerogel clamped plates for perfect absorption","Journal of Non-Crystalline Solids",2018,"A Geslain;JP Groby;V Romero-García;F Cervera;J Sánchez-Dehesa"
"High-amplitude sound propagation in acoustic transmission-line metamaterial","Applied Physics Letters",2021,"J Zhang;V Romero-García;G Theocharis;O Richoux;V Achilleos;..."
"Acoustic wave propagation in effective graded fully anisotropic fluid layers","The Journal of the Acoustical Society of America",2019,"T Cavalieri;J Boulvert;L Schwan;G Gabard;V Romero-Garcia;JP Groby;..."
"Dark solitons in acoustic transmission line metamaterials","Applied Sciences",2018,"J Zhang;V Romero-García;G Theocharis;O Richoux;V Achilleos;..."
"Analytical validation of COMSOL Multiphysics for theoretical models of Radiofrequency ablation including the Hyperbolic Bioheat transfer equation","",2010,"MJ Rivera;JAL Molina;M Trujillo;V Romero-García;EJ Berjano"
"Wave transport in 1D stealthy hyperuniform phononic materials made of non-resonant and resonant scatterers","APL Materials",2021,"V Romero-García;É Chéron;S Kuznetsova;JP Groby;S Félix;V Pagneux;..."
"Zero-phase propagation in realistic plate-type acoustic metamaterials","Applied Physics Letters",2019,"M Mallejac;A Merkel;J Sanchez-Dehesa;J Christensen;V Tournat;..."
"Evanescent modes in sonic crystals: Complex dispersion relation and supercell approximation. J. Appl. Phys., 108, 044907,(2010). V. Romero-Garcıa, JV Sánchez-Pérez, S …","Evidences of evanescent bloch waves in phononic crystals.” Appl. Phys. Lett …",2010,"V Romero-Garcıa"
"Compact resonant systems for perfect and broadband sound absorption in wide waveguides in transmission problems","Scientific Reports",2022,"J Boulvert;G Gabard;V Romero-García;JP Groby"
"The finite-element time-domain method for elastic band-structure calculations","Computer Physics Communications",2019,"A Cebrecos;D Krattiger;VJ Sánchez-Morcillo;V Romero-García;..."
"Nonlinear focusing of ultrasonic waves by an axisymmetric diffraction grating embedded in water","Applied Physics Letters",2015,"N Jimenez;V Romero-García;R Pico;LM Garcia-Raffi;K Staliunas"
"Unlocked evanescent waves in periodic structures","Optics Letters",2013,"M Botey;YC Cheng;V Romero-Garcia;R Picó;R Herrero;..."
"On the control of propagating acoustic waves in sonic crystals: analytical, numerical and optimization techniques","Universidad Politécnica de Valencia",2010,"V Romero García"
"Wave transport in stealth hyperuniform materials: The diffusive regime and beyond","Applied Physics Letters",2022,"É Chéron;S Félix;JP Groby;V Pagneux;V Romero-García"
"Fundamental constraints on broadband passive acoustic treatments in unidimensional scattering problems","Proceedings of the Royal Society A",2022,"Y Meng;V Romero-García;G Gabard;JP Groby;C Bricault;S Goudé;..."
"Localized interface modes in one-dimensional hyperuniform acoustic materials","Journal of Physics D: Applied Physics",2021,"SM Kuznetsova;JP Groby;LM García-Raffi;V Romero-García"
"Doping of a plate-type acoustic metamaterial","Physical Review B",2020,"M Malléjac;A Merkel;V Tournat;JP Groby;V Romero-García"
"Thermodynamic efficiency of solar photovoltaic modules","Environmental Engineering and Management Journal",2015,"D Rusirawan;I Farkas"
"Enhanced transmission band in periodic media with loss modulation","Applied Physics Letters",2014,"A Cebrecos;R Picó;V Romero-García;AM Yasser;L Maigyte;R Herrero;..."
"Angular band gaps in sonic crystals: Evanescent waves and spatial complex dispersion relation","Journal of Vibration and Acoustics",2013,"V Romero-García;R Picó;A Cebrecos;K Staliunas;VJ Sánchez-Morcillo"
"Analysis of the wave propagation properties of a periodic array of rigid cylinders perpendicular to a finite impedance surface","Europhysics Letters",2011,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Subwavelength Broadband Perfect Absorption for Unidimensional Open‐Duct Problems","Advanced Materials Technologies",2023,"Y Meng;V Romero‐García;G Gabard;JP Groby;C Bricault;S Goudé"
"Control of bending wave reflection at beam terminations by thermally tunable subwavelength resonators","Journal of Sound and Vibration",2022,"G Raybaud;M Ouisse;J Leng;A Pelat;JP Groby;V Romero-García;..."
"Asymmetric propagation using enhanced self-demodulation in a chirped phononic crystal","AIP Advances",2016,"A Cebrecos;N Jiménez;V Romero-García;R Pico;VJ Sánchez-Morcillo;..."
"Noise certification of a sonic crystal acoustic screen designed using a triangular lattice according to the standards EN 1793 (-1;-2;-3)","EuroNoise, Maastricht",2015,"JV Sánchez-Pérez;CR Michavila;LM García-Raffi;V Romero-Garcia;..."
"Stealth and equiluminous materials for scattering cancellation and wave diffusion","Waves in Random and Complex Media",2024,"S Kuznetsova;JP Groby;LM Garcia-Raffi;V Romero-García"
"Metadiffusers for quasi-perfect and broadband sound diffusion","Applied Physics Letters",2021,"E Ballestero;N Jimenez;JP Groby;H Aygun;S Dance;V Romero-García"
"Experimental evidence of a hiding zone in a density-near-zero acoustic metamaterial","Journal of Applied Physics",2021,"M Malléjac;A Merkel;J Sánchez-Dehesa;J Christensen;V Tournat;..."
"Acoustic metamaterial absorbers","Acoustic Waves in Periodic Structures, Metamaterials, and Porous Media: From …",2021,"JP Groby;N Jiménez;V Romero-García"
"Second-harmonic generation in acoustic waveguides loaded with an array of side holes","Acta Acustica united with Acustica",2018,"J Zhang;V Romero-García;G Theocharis;O Richoux;V Achilleos;..."
"Complex dispersion relation recovery from 2D periodic resonant systems of finite size","Applied Sciences",2019,"A Cebrecos;V Romero-García;JP Groby"
"Acoustically penetrable sonic crystals based on fluid-like scatterers","Journal of Physics D: Applied Physics",2014,"A Cebrecos;V Romero-García;R Picó;VJ Sánchez-Morcillo;M Botey;..."
"Sonic crystal acoustic barriers based on scatterers with added acoustical properties","INTER-NOISE and NOISE-CON Congress and Conference Proceedings",2010,"V Romero-García;E Ruster-Garcia;JV Sánchez-Pérez;LM Garcia-Raffi"
"Obtenció dels modes de resonancia a una geometria complexa: proposta didàctica de modelització amb elements finits","Modelling in Science Education and Learning",2009,"E Fuster-García;LM García-Raffi;V Romero-García"
"High optimization process for increasing the attenuation properties of acoustic metamaterials by means of the creation of defects","Applied Physics Letters",2008,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi;JM Herrero;..."
"Experimental characterization of rigid-scatterer hyperuniform distributions for audible acoustics","Physical Review B",2022,"E Chéron;JP Groby;V Pagneux;S Félix;V Romero-García"
"Matrix formulation in Acoustics: The transfer matrix method","Modelling in Science Education and Learning",2019,"I Herrero Durá;A Cebrecos Ruiz;LM García Raffi;V Romero-García"
"Design of wideband attenuation devices based on Sonic Crystals made of multi-phenomena scatterers","Acoustics",2012,"V Romero-García;S Castineira-Ibanez;JV Sanchez-Perez;..."
"Genetic algorithm in the optimization of the acoustic attenuation systems","International Work-Conference on Artificial Neural Networks",2007,"V Romero-García;E Fuster-García;JV Sánchez-Pérez;LM Garcia-Raffi;..."
