title,journal,year,otros_investigadores
Hypercyclicity criteria and the Mittag-Leffler theorem,Bulletin de la Societe Royale des Sciences de Liege,2001.0,A Peris
Topological tensor products of a Frechet Schwartz space and a Banach space,Studia Math,1993.0,A Peris
Cesaro bounded operators in Banach spaces,Journal d'Analyse Mathematique,2020.0,T Bermudez;A Bonilla;V Muller;A Peris
Operators with the specification property,Journal of Mathematical Analysis and Applications,2016.0,S Bartoll;F Martinez-Gimenez;A Peris
Product recurrence for weighted backward shifts,Applied Mathematics & Information Sciences,2015.0,VJ Galan;F Martinez Jimenez;P Oprocha;A Peris Manguillot
Linear dynamics of semigroups generated by differential operators,Open Mathematics,2017.0,J Alberto Conejero;C Lizama;M Murillo-Arcila;A Peris
Tratamiento de senales digitales mediante wavelets y su uso con Matlab,Editorial Club Universitario,2013.0,FM Gimenez;AP Manguillot;FR Escriba
Chaotic behaviour of birth-and-death models with proliferation,Journal of Difference Equations and Applications,2012.0,J Aroza;A Peris
Sums and products of bad functions,Contemporary Mathematics,2007.0,RM Aron;JA Conejero;A Peris;JB Seoane-Sepulveda
Vector-valued holomorphic germs on Frechet-Schwartz spaces,Proceedings of the Royal Irish Academy. Section A: Mathematical and Physical ...,1994.0,KD Bierstedt;J Bonet;A Peris
Finite intersection property and dynamical compactness,Journal of Dynamics and Differential Equations,2018.0,W Huang;D Khilko;S Kolyada;A Peris;G Zhang
Set-valued chaos in linear dynamics,Integral Equations and Operator Theory,2017.0,NC Bernardes Jr;A Peris;F Rodenas
Strong mixing measures for -semigroups,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2015.0,M Murillo-Arcila;A Peris
Chaotic translation semigroups,Conference Publications,2007.0,JA Conejero;A Peris
A projective description of the Nachbin-ported topology,Journal of mathematical analysis and applications,1996.0,C Boyd;A Peris
Nonlocal operators are chaotic,Chaos: An Interdisciplinary Journal of Nonlinear Science,2020.0,C Lizama;M Murillo-Arcila;A Peris
Operadores y semigrupos de operadores en espacios de Frechet y espacios localmente convexos,"PhD thesis, Universidad Politecnica de Valencia",2004.0,JA Conejero;J Bonet;A Peris
