title,journal,year
Filamentation with Bessel beams and Bessel vortices,No indexada,2014.0
Bessel beam propagation in transparent solids for micromachining applications: theory simulations and experiments,,2014.0
Imaging Ultrafast Light Matter Interaction with Inverse Raman Scattering,,2014.0
Study of the interaction between multiple filaments in air,Conferencia,2014.0
Nonlinear energy deposition in water from fs laser pulses: effect of the input chirp,Conferencia,2014.0
Maxwell's equations approach to soliton excitations of surface plasmonic resonances,Arxiv preprint arXiv:,2012.0
Optimisation of nonlinear photonic devices: design of optical fibre spectra and plasmonic systems,Universitat Politecnica de Valencia,2012.0
C. Milian DE Ceballos Herrera DV Skryabin and A. Ferrando Opt. Lett. 37 4221 (2012).,Opt. Lett.,2012.0
Novel properties of soliton plasmon interactions,,2011.0
Properties of 1D soliton plasmon interactions,Frontiers in Optics,2011.0
Stability of soliplasmon excitations at metal/dielectric interfaces,,2011.0
Modeling nonlinear waves in photonics plasmonics and cold atoms,Optica pura y aplicada. Revista en espanol de optica y fotonica,2011.0
Curved and self healing electric discharges,,
Bending Electric Discharges with Lasers,,
Filamentation of TW Ultra Short Laser Pulse in Water,,
Energy Deposition and Acoustic Wave Generation through Femtosecond Filamentation of a TW Laser Pulse,,
Soliplasmon resonances at metal dielectric interfaces,Conferencia,
