title,journal,year
Where should I submit my work for publication? An asymmetrical classification model to optimize choice,Journal of Classification,2020.0
Govern obert i acces a la informacio: un estudi de cas sobre l'impacte en l'economia local,BiD: Textos universitaris de biblioteconomia i documentacio,2020.0
"Completability and optimal factorization norms in tensor products of Banach function spaces,""Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ..."",2019.0"
Document downloaded from,,2018.0
Hacia nuevos modelos de comunicacion cientifica. Sciechain: propuesta para la revalorizacion del trabajo cientifico basada en tecnologia blockchain,,2018.0
Quasi-pseudo-metrics and extension of lipschitz-type functions in machine learning,,2018.0
Dreaming machine learning: quasi-distances and lipschitz extensions for modeling financial processes,,2018.0
Graph quasi-distances and extension of semi-lipschitz functions in machine learning,,2018.0
Visualizando la transformacion economica: fuentes de informacion abiertas para indicadores economicos,Anuario ThinkEPI,2018.0
factorization of operators through subspaces of lp spaces,Journal of the Australian Mathematical Society,2017.0
Contemporary Mathematics Volume 561,Topics in Complex Analysis and Operator Theory: Third Winter School in ...,2012.0
Topics in Complex Analysis and Operator Theory: Third Winter School in Complex Analysis and Operator Theory,American Mathematical Soc.,2012.0
"Optimal Domain Theorem and Bounded Bilinear Maps,""Integration, Vector Measures and Related Topics IV"",2011.0"
Fourier Analysis for L^ p of a vector measure,Functional Analysis Valencia,2010.0
Extension procedures for lattice lipschitz mappings,,
Gobierno abierto y acceso a la informaciÛn: un estudio de caso sobre el impacto en la economÌa local,BID,
Nuevos foros educativos para la docencia del siglo xxi: modelling in science education and learning,,
Surenet: A Distributed Compliance Network for Taboow,,
MSEL,,
Suavidad de los espacios Lp de una medida vectorial,,
Holder inequality for functions integrable with respect to bilinear maps,,
Radon-nikodym derivatives for vector measures belonging to banach function spaces,,
Fourier analysis with respect to bilinear maps.(English) Zbl 1173.42316,,
p-variation and p-semivariation on Lp of a vector measure,,
Lattice structure of L1 w (ŒΩ) and Representation Theorems of Banach Lattices,,
